episode,step,agent0_money,agent1_money
200, 9950, -29.899497487437184, -21.959798994974875
400, 19950, -30.415, -22.48
600, 29950, -30.47, -22.48
800, 39950, -30.76, -22.905
1000, 49950, -30.185, -22.645
1200, 59950, -26.345, -19.595
1400, 69950, -20.715, -23.83
1600, 79950, -15.58, -15.915
1800, 89950, -19.225, -3.055
2000, 99950, -7.8, -2.43
2200, 109950, -4.555, -0.74
2400, 119950, -1.785, -0.43
2600, 129950, -2.82, -0.105
2800, 139950, -3.6, -0.245
3000, 149950, -3.32, -1.01
3200, 159950, -5.785, -0.57
3400, 169950, -2.885, -1.99
3600, 179950, -1.22, -2.22
3800, 189950, -0.4, -2.2
4000, 199950, -1.315, -2.37
4200, 209950, -1.97, -7.755
4400, 219950, -2.46, -18.74
4600, 229950, -1.83, -21.28
4800, 239950, -1.55, -24.635
5000, 249950, -0.91, -24.965
5200, 259950, -3.99, -38.405
5400, 269950, -2.93, -39.925
5600, 279950, -3.91, -39.18
5800, 289950, -1.7, -43.465
6000, 299950, -0.14, -44.06
6200, 309950, -0.125, -45.555
6400, 319950, -0.385, -41.985
6600, 329950, -0.365, -45.395
6800, 339950, -1.595, -43.265
7000, 349950, -0.985, -44.785
7200, 359950, -0.38, -45.445
7400, 369950, -0.405, -46.67
7600, 379950, -0.245, -46.145
7800, 389950, -0.45, -46.31
8000, 399950, -1.165, -45.185
8200, 409950, -0.575, -46.455
8400, 419950, -0.395, -44.955
8600, 429950, -0.84, -46.255
8800, 439950, -0.205, -45.58
9000, 449950, -0.54, -47.195
9200, 459950, -0.155, -45.49
9400, 469950, -0.37, -44.335
9600, 479950, -0.235, -44.72
9800, 489950, -0.075, -41.895
10000, 499950, -0.09, -41.57
10200, 509950, -0.085, -38.305
10400, 519950, -0.155, -42.095
10600, 529950, -0.14, -41.74
10800, 539950, -0.06, -45.0
11000, 549950, -0.17, -42.55
11200, 559950, -0.21, -43.53
11400, 569950, -0.265, -38.92
11600, 579950, -0.17, -41.515
11800, 589950, -0.8, -38.875
12000, 599950, -0.66, -43.0
12200, 609950, -0.26, -44.87
12400, 619950, -2.8, -45.91
12600, 629950, -1.05, -44.205
12800, 639950, -0.435, -46.63
13000, 649950, -0.245, -46.275
13200, 659950, -0.325, -46.015
13400, 669950, -0.375, -45.985
13600, 679950, -1.415, -45.745
13800, 689950, -1.95, -44.74
14000, 699950, -3.67, -44.135
14200, 709950, -2.265, -41.15
14400, 719950, -2.275, -36.785
14600, 729950, -1.325, -35.26
14800, 739950, -0.72, -40.74
15000, 749950, -2.985, -40.48
15200, 759950, -2.605, -36.24
15400, 769950, -1.14, -38.87
15600, 779950, -3.63, -37.735
15800, 789950, -3.35, -36.44
16000, 799950, -3.805, -35.965
16200, 809950, -3.395, -34.115
16400, 819950, -3.75, -30.175
16600, 829950, -4.105, -26.195
16800, 839950, -2.575, -29.605
17000, 849950, -2.735, -31.73
17200, 859950, -1.97, -32.185
17400, 869950, -5.155, -27.685
17600, 879950, -5.81, -25.87
17800, 889950, -4.265, -28.395
18000, 899950, -4.54, -25.84
18200, 909950, -6.245, -24.65
18400, 919950, -4.68, -23.42
18600, 929950, -5.96, -22.37
18800, 939950, -4.37, -22.18
19000, 949950, -5.175, -20.865
19200, 959950, -5.375, -20.395
19400, 969950, -7.03, -21.955
19600, 979950, -5.08, -20.46
19800, 989950, -7.77, -22.025
20000, 999950, -8.645, -23.05
