episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg,agent1_energy_min,agent1_energy_max,agent1_energy_avg,agent2_energy_min,agent2_energy_max,agent2_energy_avg,agent3_energy_min,agent3_energy_max,agent3_energy_avg
200, 9950, -23.185929648241206, -0.5477386934673367, -12.066030150753775, -28.55276381909548, -0.5226130653266332, -14.385728643216074, -23.87437185929648, -0.48743718592964824, -12.182613065326638, -26.110552763819097, -0.4723618090452261, -13.093668341708547
400, 19950, -22.99, -0.43, -11.816099999999992, -28.24, -0.585, -14.306999999999999, -24.765, -0.43, -12.6404, -25.88, -0.525, -13.147599999999997
600, 29950, -23.395, -0.495, -12.102099999999997, -28.95, -0.52, -14.553500000000001, -24.025, -0.53, -12.215100000000009, -26.3, -0.515, -13.328299999999999
800, 39950, -22.925, -0.415, -11.7304, -28.21, -0.575, -14.301299999999996, -24.33, -0.48, -12.465500000000004, -26.06, -0.505, -13.150699999999997
1000, 49950, -23.75, -0.51, -12.163400000000003, -27.775, -0.545, -13.9222, -24.265, -0.505, -12.302500000000002, -26.205, -0.485, -13.365500000000003
1200, 59950, -21.68, -0.42, -10.934300000000006, -26.5, -0.52, -13.936399999999997, -36.88, -0.72, -18.834099999999992, -15.565, -0.315, -7.966600000000003
1400, 69950, -32.175, -0.525, -15.483599999999992, -17.695, -0.44, -9.307100000000002, -17.13, -0.605, -10.345100000000002, -21.88, -0.65, -13.044600000000012
1600, 79950, -23.6, -0.435, -10.862499999999988, -24.495, -0.68, -13.449900000000007, -31.155, -0.53, -16.133800000000008, -23.055, -0.555, -12.556
1800, 89950, -25.78, -0.65, -13.318599999999998, -25.75, -0.42, -11.919700000000002, -9.095, -0.275, -4.942800000000003, -30.115, -0.51, -14.372400000000003
2000, 99950, -33.725, -0.675, -17.5231, -8.32, -0.31, -4.937899999999998, -11.215, -0.36, -6.2257000000000025, -29.94, -0.49, -14.867299999999998
2200, 109950, -31.46, -0.57, -16.06359999999999, -9.005, -0.35, -5.281200000000002, -6.225, -0.23, -3.6137999999999995, -28.295, -0.48, -13.944799999999987
2400, 119950, -22.25, -0.395, -11.456700000000003, -11.005, -0.325, -6.4186999999999985, -8.85, -0.24, -4.707600000000002, -26.425, -0.485, -13.110400000000004
2600, 129950, -30.78, -0.39, -15.004099999999994, -18.795, -0.49, -9.979200000000004, -4.635, -0.175, -2.810599999999999, -29.36, -0.425, -13.654400000000004
2800, 139950, -34.57, -0.475, -16.90019999999999, -21.285, -0.33, -10.982899999999999, -4.785, -0.14, -2.5986000000000007, -32.22, -0.505, -15.675100000000008
3000, 149950, -31.185, -0.465, -15.200000000000003, -25.425, -0.445, -13.1, -3.1, -0.09, -1.7756, -33.07, -0.485, -15.351699999999996
3200, 159950, -37.52, -0.46, -18.012400000000007, -26.835, -0.405, -13.173900000000003, -8.465, -0.225, -4.4592, -37.425, -0.525, -17.3755
3400, 169950, -37.985, -0.535, -18.600899999999996, -27.41, -0.44, -13.644000000000004, -8.865, -0.135, -4.4331, -40.465, -0.54, -19.224400000000003
3600, 179950, -38.185, -0.51, -18.760699999999996, -26.055, -0.405, -12.975899999999992, -7.81, -0.16, -3.9607, -38.835, -0.51, -18.748199999999994
3800, 189950, -39.485, -0.5, -18.918099999999992, -27.35, -0.37, -13.468200000000001, -13.625, -0.3, -7.433999999999998, -42.795, -0.6, -20.564399999999992
4000, 199950, -38.895, -0.595, -18.925800000000002, -29.65, -0.375, -14.5246, -11.845, -0.265, -6.5247, -40.655, -0.63, -19.295999999999996
4200, 209950, -34.575, -0.515, -16.693100000000005, -31.345, -0.42, -14.7907, -8.02, -0.23, -4.5562000000000005, -37.615, -0.475, -17.687599999999996
4400, 219950, -37.47, -0.445, -17.785899999999998, -30.57, -0.375, -14.311999999999996, -6.02, -0.255, -3.5833, -42.35, -0.55, -20.179900000000004
4600, 229950, -38.695, -0.56, -18.73570000000001, -31.025, -0.35, -14.464100000000007, -7.78, -0.275, -4.699699999999998, -45.665, -0.705, -22.50540000000001
4800, 239950, -36.525, -0.51, -17.4719, -34.07, -0.46, -16.816999999999993, -6.605, -0.295, -4.272300000000002, -42.475, -0.575, -20.6256
5000, 249950, -40.575, -0.545, -19.365399999999998, -31.005, -0.385, -14.930799999999998, -10.155, -0.345, -5.8157999999999985, -42.885, -0.57, -20.8577
5200, 259950, -42.08, -0.585, -20.325399999999988, -29.945, -0.405, -15.020400000000004, -10.365, -0.34, -5.669900000000001, -44.86, -0.635, -22.0994
5400, 269950, -41.72, -0.495, -20.053200000000004, -30.455, -0.395, -15.108999999999998, -7.805, -0.31, -4.549599999999999, -44.925, -0.7, -22.172499999999992
5600, 279950, -41.415, -0.575, -19.791399999999992, -29.855, -0.39, -14.425500000000008, -7.385, -0.255, -4.179800000000001, -41.035, -0.61, -19.7587
5800, 289950, -39.005, -0.65, -19.231199999999994, -23.705, -0.355, -11.416199999999995, -7.98, -0.37, -4.9712999999999985, -42.82, -0.665, -21.04200000000001
6000, 299950, -39.37, -0.58, -19.4938, -25.21, -0.43, -11.978799999999994, -9.855, -0.47, -6.144500000000001, -46.05, -0.705, -22.9157
6200, 309950, -33.83, -0.54, -16.667300000000004, -26.78, -0.39, -13.265999999999993, -4.535, -0.3, -3.1790000000000016, -47.605, -0.745, -23.724799999999995
6400, 319950, -33.41, -0.64, -17.058900000000005, -29.275, -0.39, -14.3428, -7.405, -0.45, -5.010500000000001, -44.735, -0.785, -22.282200000000003
6600, 329950, -29.75, -0.565, -15.178199999999993, -32.69, -0.54, -15.843400000000013, -6.47, -0.46, -4.336599999999999, -43.885, -0.775, -22.1318
6800, 339950, -30.465, -0.6, -15.718100000000002, -30.78, -0.485, -15.561200000000003, -6.26, -0.365, -4.272000000000001, -43.8, -0.695, -21.9364
7000, 349950, -29.925, -0.665, -15.346500000000002, -32.26, -0.44, -15.739599999999994, -4.58, -0.325, -3.3832, -44.22, -0.74, -22.009899999999995
7200, 359950, -34.46, -0.71, -17.941499999999998, -33.165, -0.475, -16.556599999999996, -6.67, -0.4, -4.5996000000000015, -45.52, -0.775, -22.666499999999996
7400, 369950, -32.805, -0.67, -16.687099999999994, -32.85, -0.455, -16.11400000000002, -3.63, -0.345, -2.8593, -43.51, -0.78, -21.910500000000006
7600, 379950, -35.98, -0.685, -18.44980000000001, -35.395, -0.535, -17.724699999999988, -4.07, -0.32, -3.0474, -44.785, -0.81, -22.513299999999994
7800, 389950, -22.93, -0.555, -12.444, -34.535, -0.595, -17.315199999999994, -6.055, -0.44, -4.310899999999998, -44.935, -0.815, -22.6816
8000, 399950, -24.465, -0.505, -12.809700000000005, -39.245, -0.605, -19.650199999999998, -4.34, -0.33, -3.3983000000000003, -44.44, -0.795, -22.406699999999997
8200, 409950, -31.64, -0.71, -16.548099999999998, -37.88, -0.52, -18.23199999999999, -3.815, -0.29, -2.8435, -45.965, -0.82, -23.213300000000004
8400, 419950, -31.185, -0.625, -16.017100000000003, -39.88, -0.6, -19.532500000000006, -6.135, -0.415, -4.465700000000001, -46.545, -0.76, -23.111199999999993
8600, 429950, -31.495, -0.625, -15.53389999999999, -36.32, -0.56, -17.490400000000008, -5.625, -0.37, -4.141499999999999, -47.935, -0.835, -23.993199999999987
8800, 439950, -34.515, -0.65, -17.043600000000005, -36.575, -0.52, -17.834200000000003, -9.775, -0.485, -6.696700000000001, -47.82, -0.735, -23.723500000000005
9000, 449950, -29.275, -0.65, -14.441799999999995, -42.075, -0.585, -20.429399999999994, -9.75, -0.505, -6.440100000000001, -48.41, -0.875, -24.371999999999986
9200, 459950, -31.06, -0.58, -15.704700000000008, -38.49, -0.615, -18.85329999999999, -8.34, -0.48, -5.648900000000003, -47.845, -0.83, -24.033499999999993
9400, 469950, -29.46, -0.615, -15.125800000000003, -37.085, -0.67, -18.7004, -6.95, -0.38, -4.8614999999999995, -48.63, -0.865, -24.43039999999999
9600, 479950, -30.705, -0.66, -15.833700000000013, -38.79, -0.71, -19.912200000000006, -10.25, -0.39, -6.1343, -48.635, -0.87, -24.497400000000003
9800, 489950, -34.02, -0.705, -17.3248, -35.9, -0.65, -18.5599, -9.505, -0.365, -5.704499999999997, -48.555, -0.91, -24.528399999999998
10000, 499950, -29.335, -0.665, -15.488800000000001, -35.83, -0.66, -18.3738, -7.08, -0.4, -4.8619, -48.51, -0.8, -24.316700000000004
10200, 509950, -33.905, -0.615, -16.795799999999996, -35.015, -0.655, -17.5489, -5.495, -0.375, -4.058, -48.85, -0.83, -24.54860000000001
10400, 519950, -38.785, -0.695, -19.480900000000016, -36.545, -0.65, -18.2723, -11.06, -0.425, -6.7745, -48.14, -0.85, -24.133900000000004
10600, 529950, -38.45, -0.64, -19.208699999999993, -37.55, -0.685, -18.982299999999988, -4.56, -0.315, -3.4549000000000003, -48.415, -0.83, -24.231100000000016
10800, 539950, -27.835, -0.69, -15.103399999999988, -37.895, -0.635, -18.9073, -8.265, -0.38, -5.700299999999998, -48.31, -0.845, -24.249600000000004
11000, 549950, -41.19, -0.76, -21.09519999999999, -42.27, -0.68, -20.905, -11.735, -0.485, -7.959400000000003, -48.915, -0.85, -24.5854
11200, 559950, -34.41, -0.605, -17.237799999999993, -43.725, -0.755, -21.752299999999995, -12.55, -0.425, -8.079899999999999, -49.205, -0.895, -24.82890000000001
11400, 569950, -43.095, -0.625, -21.161499999999997, -37.82, -0.61, -18.828799999999998, -11.6, -0.46, -7.429900000000003, -48.74, -0.88, -24.526799999999998
11600, 579950, -38.275, -0.66, -19.146199999999997, -38.895, -0.6, -19.261299999999995, -13.625, -0.425, -8.407900000000005, -48.92, -0.84, -24.639999999999997
11800, 589950, -34.37, -0.655, -17.675, -43.645, -0.79, -21.729299999999984, -10.185, -0.415, -6.754999999999999, -48.86, -0.915, -24.620499999999996
12000, 599950, -45.255, -0.765, -22.893400000000007, -41.81, -0.64, -20.719599999999986, -6.285, -0.38, -4.790100000000002, -49.165, -0.885, -24.784899999999997
12200, 609950, -44.195, -0.76, -22.493599999999983, -42.25, -0.665, -21.072899999999994, -11.07, -0.485, -7.432099999999999, -49.205, -0.94, -24.8934
12400, 619950, -38.63, -0.71, -20.312399999999997, -42.285, -0.815, -21.06930000000001, -8.745, -0.41, -6.322200000000002, -49.1, -0.935, -24.849300000000003
12600, 629950, -24.245, -0.55, -13.082699999999997, -41.785, -0.655, -20.594500000000004, -8.405, -0.425, -5.951700000000001, -48.43, -0.91, -24.373300000000008
12800, 639950, -32.635, -0.54, -16.839799999999997, -42.455, -0.7, -20.95619999999999, -9.775, -0.48, -6.835200000000003, -49.155, -0.935, -24.905299999999997
13000, 649950, -24.265, -0.53, -12.840100000000005, -38.04, -0.66, -19.111999999999995, -11.915, -0.455, -7.810400000000004, -48.85, -0.93, -24.66379999999999
13200, 659950, -34.725, -0.615, -17.3846, -38.155, -0.725, -19.242599999999996, -7.68, -0.43, -5.3137, -49.035, -0.915, -24.770299999999985
13400, 669950, -35.725, -0.665, -18.037899999999997, -39.96, -0.78, -20.195099999999996, -7.695, -0.4, -5.318499999999999, -49.205, -0.94, -24.944699999999997
13600, 679950, -43.955, -0.79, -22.3403, -35.84, -0.74, -18.563699999999997, -9.175, -0.485, -6.638699999999999, -49.23, -0.935, -24.93749999999999
13800, 689950, -40.47, -0.685, -20.357699999999994, -35.67, -0.665, -17.697100000000006, -7.37, -0.38, -5.025500000000001, -49.065, -0.87, -24.779899999999994
14000, 699950, -36.375, -0.69, -18.1569, -41.03, -0.715, -20.397000000000002, -5.195, -0.385, -3.967300000000001, -48.545, -0.935, -24.5457
14200, 709950, -38.67, -0.585, -18.998300000000015, -42.885, -0.78, -21.485399999999995, -6.72, -0.435, -4.9656, -48.35, -0.93, -24.324899999999992
14400, 719950, -38.115, -0.58, -18.9073, -42.49, -0.775, -21.451900000000002, -10.715, -0.5, -7.226700000000002, -49.225, -0.975, -24.897499999999994
14600, 729950, -39.565, -0.695, -19.89089999999999, -38.72, -0.805, -19.419200000000007, -9.025, -0.56, -6.590000000000001, -49.005, -0.98, -24.816000000000013
14800, 739950, -31.19, -0.57, -15.698000000000011, -40.52, -0.74, -20.2474, -10.0, -0.525, -6.9191999999999965, -45.675, -0.95, -23.149700000000006
15000, 749950, -35.74, -0.73, -18.329000000000004, -43.435, -0.81, -21.5795, -7.92, -0.46, -5.762700000000001, -45.225, -0.94, -23.031899999999997
15200, 759950, -35.565, -0.685, -18.060699999999997, -43.43, -0.75, -21.445199999999996, -8.03, -0.55, -5.820400000000006, -45.245, -0.93, -23.014600000000005
15400, 769950, -26.765, -0.565, -13.704599999999994, -42.925, -0.84, -21.612799999999996, -8.67, -0.455, -5.921600000000001, -48.345, -0.955, -24.4369
15600, 779950, -36.23, -0.7, -18.386200000000002, -38.72, -0.76, -19.003600000000002, -8.255, -0.445, -5.892, -47.695, -0.915, -24.012199999999996
15800, 789950, -38.61, -0.7, -19.491399999999995, -42.945, -0.87, -21.325800000000022, -7.225, -0.495, -5.2951, -49.08, -0.925, -24.785
16000, 799950, -31.46, -0.67, -15.93859999999999, -42.225, -0.82, -20.700800000000008, -9.045, -0.505, -6.4462, -49.05, -0.89, -24.80039999999999
16200, 809950, -35.515, -0.685, -17.841300000000004, -44.055, -0.865, -21.90649999999999, -11.36, -0.47, -7.761600000000003, -48.05, -0.89, -24.290100000000006
16400, 819950, -44.15, -0.815, -21.803600000000007, -41.545, -0.9, -20.657900000000005, -11.18, -0.44, -7.189300000000003, -48.775, -0.85, -24.53
16600, 829950, -40.505, -0.72, -20.464799999999997, -38.825, -0.82, -19.380100000000013, -9.235, -0.37, -6.276400000000001, -48.485, -0.85, -24.393199999999993
16800, 839950, -35.005, -0.71, -18.272299999999994, -39.91, -0.84, -19.847500000000007, -14.375, -0.55, -9.7986, -48.47, -0.895, -24.406200000000002
17000, 849950, -33.195, -0.66, -16.916500000000003, -41.265, -0.845, -20.488599999999998, -15.9, -0.525, -9.700099999999997, -46.48, -0.895, -23.700399999999995
17200, 859950, -44.105, -0.775, -22.090399999999992, -42.16, -0.85, -20.879299999999997, -11.225, -0.445, -7.190000000000007, -46.615, -0.885, -23.710899999999995
17400, 869950, -33.995, -0.665, -17.384300000000017, -39.335, -0.81, -19.5793, -12.075, -0.48, -7.960900000000002, -45.705, -0.95, -23.295400000000008
17600, 879950, -39.31, -0.675, -19.605300000000003, -38.79, -0.77, -19.07070000000001, -18.79, -0.56, -10.815700000000007, -48.125, -0.9, -24.2877
17800, 889950, -32.37, -0.59, -16.543599999999998, -41.235, -0.84, -20.400800000000014, -10.68, -0.475, -6.621799999999997, -44.86, -0.945, -22.967399999999998
18000, 899950, -45.49, -0.805, -22.78699999999999, -43.32, -0.905, -21.908000000000005, -11.185, -0.405, -7.004200000000002, -40.575, -0.885, -21.031899999999993
18200, 909950, -30.94, -0.58, -15.761799999999996, -39.63, -0.845, -19.7472, -8.98, -0.55, -6.483200000000002, -45.945, -0.935, -23.263
18400, 919950, -41.225, -0.68, -20.522899999999996, -42.295, -0.845, -21.2225, -12.75, -0.5, -8.302699999999998, -45.365, -0.93, -23.2676
18600, 929950, -40.24, -0.715, -19.687300000000008, -40.72, -0.83, -20.701000000000004, -9.06, -0.43, -5.996500000000003, -46.105, -0.955, -23.49900000000001
18800, 939950, -42.27, -0.86, -21.095600000000005, -37.37, -0.785, -19.089800000000004, -9.785, -0.525, -6.8432000000000075, -45.105, -0.97, -22.83279999999999
19000, 949950, -41.8, -0.68, -20.38139999999999, -40.405, -0.87, -19.8545, -8.685, -0.465, -6.0725000000000025, -42.965, -0.925, -22.114699999999992
19200, 959950, -39.675, -0.76, -19.699499999999993, -39.19, -0.725, -19.590799999999994, -10.78, -0.53, -7.0837, -45.7, -0.94, -23.228699999999986
19400, 969950, -46.655, -0.915, -23.419800000000006, -38.975, -0.825, -19.70649999999999, -11.29, -0.47, -7.4747, -47.675, -0.93, -24.086100000000005
19600, 979950, -43.63, -0.72, -21.5338, -40.935, -0.77, -20.3453, -14.225, -0.535, -8.9405, -45.625, -0.93, -23.30880000000001
19800, 989950, -38.32, -0.675, -19.057800000000015, -39.78, -0.85, -19.963299999999993, -17.265, -0.595, -10.390799999999999, -46.29, -0.915, -23.469300000000004
20000, 999950, -34.95, -0.645, -16.7647, -40.625, -0.82, -20.505400000000005, -14.805, -0.57, -9.329500000000001, -47.22, -0.93, -23.938000000000002
20200, 1009950, -44.265, -0.715, -21.594300000000004, -37.67, -0.8, -19.11009999999999, -20.42, -0.495, -11.340199999999996, -47.255, -0.935, -23.870399999999997
20400, 1019950, -42.43, -0.795, -20.891900000000007, -41.59, -0.805, -21.0526, -15.605, -0.585, -9.793299999999999, -48.945, -0.965, -24.788400000000003
20600, 1029950, -45.205, -0.73, -22.168599999999998, -41.46, -0.865, -20.567199999999993, -9.92, -0.45, -6.321200000000005, -48.255, -0.96, -24.557
20800, 1039950, -45.765, -0.745, -22.699, -42.735, -0.86, -21.345399999999998, -13.75, -0.53, -8.658100000000003, -48.095, -0.945, -24.4521
21000, 1049950, -47.98, -0.93, -24.06330000000001, -43.93, -0.775, -21.593600000000006, -14.015, -0.555, -8.687499999999995, -48.04, -0.945, -24.3023
21200, 1059950, -37.2, -0.65, -18.316300000000002, -40.705, -0.74, -19.992400000000004, -14.3, -0.53, -8.943399999999999, -47.985, -0.96, -24.436700000000005
21400, 1069950, -44.68, -0.685, -21.984400000000004, -40.1, -0.72, -20.178999999999995, -15.39, -0.575, -9.170699999999997, -47.155, -0.985, -23.9252
21600, 1079950, -47.015, -0.78, -23.415400000000005, -41.345, -0.78, -21.078100000000003, -14.26, -0.525, -8.683599999999998, -45.165, -0.975, -23.354899999999997
21800, 1089950, -47.855, -0.785, -23.873699999999996, -41.345, -0.825, -21.577599999999997, -19.285, -0.62, -11.324199999999994, -45.33, -0.955, -23.4507
22000, 1099950, -45.64, -0.745, -22.3808, -42.905, -0.97, -22.329699999999992, -22.93, -0.74, -12.876900000000008, -48.46, -0.995, -24.749100000000002
22200, 1109950, -43.02, -0.63, -20.3134, -46.07, -0.975, -23.696899999999992, -21.96, -0.735, -12.338600000000001, -48.27, -0.99, -24.7405
22400, 1119950, -44.41, -0.71, -21.284599999999998, -44.84, -0.99, -23.11819999999999, -25.06, -0.825, -14.187700000000007, -48.515, -1.0, -24.844500000000007
22600, 1129950, -43.665, -0.675, -20.815699999999993, -40.01, -0.94, -21.187599999999996, -20.37, -0.765, -12.112600000000004, -47.725, -1.0, -24.497900000000005
22800, 1139950, -43.285, -0.69, -20.533499999999993, -45.69, -0.935, -23.3838, -21.39, -0.765, -12.713699999999996, -48.75, -0.995, -24.88249999999999
23000, 1149950, -41.715, -0.595, -19.40039999999999, -44.59, -0.99, -23.112099999999995, -24.4, -0.815, -14.001700000000005, -48.315, -0.995, -24.627500000000005
23200, 1159950, -43.37, -0.68, -20.452499999999993, -41.19, -0.895, -21.601899999999986, -24.775, -0.91, -14.490600000000004, -48.96, -1.0, -24.945899999999998
23400, 1169950, -39.79, -0.705, -18.776, -30.93, -0.99, -18.016700000000004, -20.155, -0.9, -12.6243, -46.435, -0.99, -23.985699999999998
23600, 1179950, -37.75, -0.695, -17.781799999999993, -33.14, -0.95, -18.635799999999996, -21.165, -0.845, -12.921500000000007, -48.52, -1.0, -24.72940000000001
23800, 1189950, -35.83, -0.6, -16.70349999999999, -36.065, -0.965, -19.631800000000005, -21.46, -0.875, -12.767400000000002, -47.7, -0.985, -24.36729999999999
24000, 1199950, -39.66, -0.765, -19.354799999999987, -34.955, -0.935, -18.928400000000007, -22.475, -0.85, -13.1004, -48.085, -0.98, -24.544399999999985
24200, 1209950, -39.3, -0.665, -18.99519999999999, -36.89, -0.95, -20.002200000000002, -26.73, -0.92, -15.1713, -48.045, -1.0, -24.516499999999997
24400, 1219950, -38.925, -0.69, -18.904099999999996, -34.225, -0.99, -19.045300000000008, -27.73, -0.915, -15.575699999999998, -43.975, -1.0, -22.747
24600, 1229950, -36.65, -0.71, -18.168899999999997, -30.61, -0.985, -17.68679999999999, -27.285, -0.83, -14.939600000000002, -44.415, -0.995, -23.277800000000003
24800, 1239950, -31.845, -0.62, -15.5318, -30.99, -0.965, -17.74289999999999, -25.77, -0.87, -14.468300000000006, -47.775, -1.0, -24.4549
25000, 1249950, -32.675, -0.72, -16.356099999999998, -30.555, -0.955, -17.671600000000012, -29.915, -0.925, -16.864099999999993, -44.93, -0.98, -23.14430000000001
25200, 1259950, -26.225, -0.55, -12.786800000000005, -30.29, -0.885, -16.5183, -25.445, -0.87, -14.483799999999997, -43.455, -0.975, -22.945899999999988
25400, 1269950, -35.0, -0.735, -17.1729, -26.615, -0.86, -15.179500000000003, -20.545, -0.92, -12.781700000000015, -45.98, -0.99, -23.743
25600, 1279950, -33.015, -0.72, -16.330699999999993, -24.365, -0.885, -14.84760000000001, -27.755, -0.89, -15.576200000000005, -43.76, -0.84, -21.532499999999995
25800, 1289950, -28.195, -0.655, -13.9406, -31.11, -0.97, -17.8867, -30.355, -0.845, -16.439899999999994, -44.725, -0.98, -23.200100000000003
26000, 1299950, -21.955, -0.625, -11.204200000000009, -24.06, -0.95, -15.061499999999997, -25.78, -0.925, -15.170300000000003, -39.375, -0.945, -20.887499999999996
26200, 1309950, -25.36, -0.7, -12.809699999999996, -27.815, -0.94, -16.5892, -23.5, -0.875, -13.727400000000006, -37.39, -0.755, -18.9959
26400, 1319950, -30.56, -0.66, -15.269200000000003, -29.125, -0.94, -16.9469, -28.44, -0.935, -15.691999999999997, -47.245, -0.995, -24.280299999999997
26600, 1329950, -26.66, -0.69, -13.422500000000003, -21.43, -0.97, -13.904299999999994, -25.935, -0.91, -14.937499999999991, -46.2, -0.92, -23.385899999999992
26800, 1339950, -22.975, -0.675, -11.8903, -28.1, -0.995, -16.943600000000007, -27.58, -0.965, -15.573799999999999, -46.645, -0.99, -23.975299999999997
27000, 1349950, -27.675, -0.79, -13.889699999999998, -32.155, -0.99, -17.853299999999997, -23.425, -0.935, -14.193400000000002, -45.41, -0.975, -23.42450000000001
27200, 1359950, -28.58, -0.725, -14.23349999999999, -28.465, -0.945, -16.288399999999992, -28.415, -0.905, -15.847600000000007, -38.66, -0.98, -20.75709999999999
27400, 1369950, -20.965, -0.69, -10.740100000000002, -25.665, -0.975, -15.344899999999996, -20.66, -0.925, -12.927800000000005, -36.61, -0.915, -19.349899999999998
27600, 1379950, -27.16, -0.715, -12.687199999999997, -19.59, -0.965, -12.468399999999999, -24.035, -0.975, -14.693700000000002, -32.83, -0.925, -18.162400000000005
27800, 1389950, -22.855, -0.645, -10.856899999999998, -22.56, -0.985, -13.734399999999994, -22.18, -0.94, -13.175799999999999, -37.49, -0.905, -19.671399999999995
28000, 1399950, -20.37, -0.66, -10.855600000000003, -30.985, -0.985, -17.477400000000003, -21.18, -0.89, -12.91129999999999, -30.455, -0.99, -17.11839999999999
28200, 1409950, -19.625, -0.605, -9.780999999999997, -22.305, -0.985, -13.999399999999989, -20.73, -0.89, -12.8081, -34.365, -1.0, -18.838599999999992
28400, 1419950, -21.38, -0.745, -11.414000000000003, -25.305, -0.875, -14.221400000000003, -20.12, -0.94, -13.090799999999993, -32.0, -0.995, -18.2596
28600, 1429950, -14.86, -0.625, -8.105900000000002, -22.595, -0.885, -13.416900000000004, -22.12, -0.85, -12.992800000000003, -30.805, -0.985, -17.6576
28800, 1439950, -13.675, -0.71, -8.211100000000005, -21.255, -0.96, -13.251000000000007, -22.13, -0.93, -13.172300000000005, -30.715, -1.0, -17.287200000000002
