episode,step,agent0_money,agent1_money
200, 9950, -24.08542713567839, -22.43718592964824
400, 19950, -23.675, -22.885
600, 29950, -24.37, -23.275
800, 39950, -23.545, -23.255
1000, 49950, -23.18, -22.86
1200, 59950, -17.275, -22.2
1400, 69950, -8.195, -8.55
1600, 79950, -4.505, -6.65
1800, 89950, -14.66, -10.915
2000, 99950, -16.97, -6.26
2200, 109950, -10.875, -5.41
2400, 119950, -10.725, -1.69
2600, 129950, -15.335, -0.445
2800, 139950, -14.89, -0.335
3000, 149950, -18.425, -0.385
3200, 159950, -16.63, -0.37
3400, 169950, -22.35, -0.12
3600, 179950, -28.115, -0.33
3800, 189950, -26.45, -0.065
4000, 199950, -23.97, -0.255
4200, 209950, -35.56, -0.055
4400, 219950, -26.74, -0.315
4600, 229950, -29.585, -0.25
4800, 239950, -25.78, -0.145
5000, 249950, -22.36, -0.21
5200, 259950, -28.34, -0.105
5400, 269950, -23.195, -0.215
5600, 279950, -20.415, -0.1
5800, 289950, -18.5, -0.06
6000, 299950, -22.03, -0.27
6200, 309950, -22.445, -0.25
6400, 319950, -21.09, -0.09
6600, 329950, -19.19, -0.06
6800, 339950, -22.22, -0.085
7000, 349950, -26.695, -3.02
7200, 359950, -24.38, -3.045
7400, 369950, -23.335, -1.855
7600, 379950, -25.155, -2.12
7800, 389950, -20.345, -2.745
8000, 399950, -20.1, -4.05
8200, 409950, -19.325, -4.03
8400, 419950, -20.585, -3.88
8600, 429950, -19.185, -5.22
8800, 439950, -18.015, -4.935
9000, 449950, -17.155, -6.635
9200, 459950, -20.49, -7.1
9400, 469950, -18.895, -8.32
9600, 479950, -14.935, -9.05
9800, 489950, -14.985, -8.915
10000, 499950, -14.295, -8.395
10200, 509950, -16.505, -7.87
10400, 519950, -17.45, -8.56
10600, 529950, -19.405, -7.31
10800, 539950, -17.855, -6.09
11000, 549950, -19.595, -7.54
11200, 559950, -19.13, -7.89
11400, 569950, -16.77, -7.495
11600, 579950, -20.22, -7.97
11800, 589950, -23.1, -8.605
12000, 599950, -15.69, -8.415
12200, 609950, -15.17, -8.09
12400, 619950, -15.005, -8.74
12600, 629950, -15.275, -11.16
12800, 639950, -15.38, -10.83
13000, 649950, -16.765, -10.665
13200, 659950, -17.85, -9.61
13400, 669950, -19.69, -8.675
13600, 679950, -16.295, -8.17
13800, 689950, -17.025, -8.63
14000, 699950, -16.425, -8.23
14200, 709950, -18.14, -9.405
14400, 719950, -17.635, -9.165
14600, 729950, -16.615, -10.84
14800, 739950, -19.845, -9.705
15000, 749950, -17.58, -11.76
15200, 759950, -18.53, -9.665
15400, 769950, -18.87, -10.355
15600, 779950, -21.155, -9.61
15800, 789950, -16.165, -9.355
16000, 799950, -17.075, -11.435
16200, 809950, -16.23, -11.245
16400, 819950, -13.955, -10.6
16600, 829950, -15.385, -9.995
16800, 839950, -17.695, -10.4
17000, 849950, -14.76, -11.48
17200, 859950, -16.095, -11.31
17400, 869950, -15.465, -10.405
17600, 879950, -19.3, -9.43
17800, 889950, -18.725, -10.46
18000, 899950, -15.7, -10.775
18200, 909950, -19.86, -9.985
18400, 919950, -19.13, -10.075
18600, 929950, -27.88, -11.34
18800, 939950, -30.49, -9.325
19000, 949950, -27.97, -9.395
19200, 959950, -16.335, -9.665
19400, 969950, -14.395, -9.35
19600, 979950, -14.695, -9.365
19800, 989950, -15.165, -9.44
20000, 999950, -18.46, -10.5
