episode,step,agent0_money
100, 4950, -24.838383838383837
200, 9950, -25.13
300, 14950, -24.63
400, 19950, -25.12
500, 24950, -24.69
600, 29950, -24.85
700, 34950, -24.77
800, 39950, -25.14
900, 44950, -25.11
1000, 49950, -25.12
1100, 54950, -35.56
1200, 59950, -9.79
1300, 64950, -18.75
1400, 69950, -11.14
1500, 74950, -17.19
1600, 79950, -20.89
1700, 84950, -29.19
1800, 89950, -36.24
1900, 94950, -35.45
2000, 99950, -26.79
2100, 104950, -27.65
2200, 109950, -7.91
2300, 114950, -7.91
2400, 119950, -4.07
2500, 124950, -2.63
2600, 129950, -0.96
2700, 134950, -1.35
2800, 139950, -10.51
2900, 144950, -2.35
3000, 149950, -0.61
3100, 154950, -0.28
3200, 159950, -0.63
3300, 164950, -0.92
3400, 169950, -1.31
3500, 174950, -1.07
3600, 179950, -0.8
3700, 184950, -0.51
3800, 189950, -0.13
3900, 194950, -0.28
4000, 199950, -0.54
4100, 204950, -0.89
4200, 209950, -3.84
4300, 214950, -7.47
4400, 219950, -19.78
4500, 224950, -15.52
4600, 229950, -2.35
4700, 234950, -2.64
4800, 239950, -1.37
4900, 244950, -2.49
5000, 249950, -3.61
5100, 254950, -1.81
5200, 259950, -0.82
5300, 264950, -4.62
5400, 269950, -3.28
5500, 274950, -14.67
5600, 279950, -27.62
5700, 284950, -24.03
5800, 289950, -26.85
5900, 294950, -30.52
6000, 299950, -28.8
6100, 304950, -28.77
6200, 309950, -28.65
6300, 314950, -29.49
6400, 319950, -28.86
6500, 324950, -28.3
6600, 329950, -25.54
6700, 334950, -25.68
6800, 339950, -27.57
6900, 344950, -23.06
7000, 349950, -24.39
7100, 354950, -29.0
7200, 359950, -27.75
7300, 364950, -26.83
7400, 369950, -30.25
7500, 374950, -24.88
7600, 379950, -26.98
7700, 384950, -28.17
7800, 389950, -36.19
7900, 394950, -44.94
8000, 399950, -44.3
8100, 404950, -45.75
8200, 409950, -37.55
8300, 414950, -13.68
8400, 419950, -4.57
8500, 424950, -6.09
8600, 429950, -8.66
8700, 434950, -25.55
8800, 439950, -12.13
8900, 444950, -2.0
9000, 449950, -21.77
9100, 454950, -13.95
9200, 459950, -5.77
9300, 464950, -16.94
9400, 469950, -21.91
9500, 474950, -18.78
9600, 479950, -21.44
9700, 484950, -25.2
9800, 489950, -27.28
9900, 494950, -37.53
10000, 499950, -20.23
