episode,step,agent0_money,agent1_money
200, 9950, -23.592964824120603, -25.44221105527638
400, 19950, -22.91, -25.215
600, 29950, -23.405, -25.255
800, 39950, -23.23, -24.89
1000, 49950, -23.5, -25.125
1200, 59950, -19.26, -21.995
1400, 69950, -21.74, -27.105
1600, 79950, -34.14, -0.895
1800, 89950, -8.01, -0.165
2000, 99950, -19.31, -0.755
2200, 109950, -19.7, -3.405
2400, 119950, -11.5, -1.51
2600, 129950, -2.01, -3.2
2800, 139950, -1.24, -4.43
3000, 149950, -0.7, -5.52
3200, 159950, -0.45, -5.58
3400, 169950, -1.435, -25.375
3600, 179950, -2.245, -32.045
3800, 189950, -2.475, -31.83
4000, 199950, -2.215, -36.095
4200, 209950, -1.625, -34.02
4400, 219950, -0.905, -29.165
4600, 229950, -1.535, -31.465
4800, 239950, -1.815, -30.465
5000, 249950, -0.96, -34.29
5200, 259950, -2.68, -32.32
5400, 269950, -3.0, -35.035
5600, 279950, -3.475, -35.52
5800, 289950, -3.43, -34.185
6000, 299950, -4.005, -36.915
6200, 309950, -3.945, -32.975
6400, 319950, -4.655, -35.22
6600, 329950, -3.48, -35.525
6800, 339950, -5.355, -35.65
7000, 349950, -3.905, -33.005
7200, 359950, -5.07, -33.445
7400, 369950, -4.125, -36.035
7600, 379950, -3.305, -37.415
7800, 389950, -3.36, -37.985
8000, 399950, -4.05, -38.91
8200, 409950, -2.55, -37.415
8400, 419950, -3.73, -31.135
8600, 429950, -4.62, -28.71
8800, 439950, -3.97, -32.64
9000, 449950, -4.025, -30.3
9200, 459950, -3.875, -35.58
9400, 469950, -6.42, -34.485
9600, 479950, -7.415, -36.34
9800, 489950, -3.885, -36.805
10000, 499950, -4.045, -38.195
10200, 509950, -6.5, -33.5
10400, 519950, -3.7, -37.16
10600, 529950, -4.55, -30.95
10800, 539950, -6.015, -40.355
11000, 549950, -4.74, -34.395
11200, 559950, -5.09, -36.465
11400, 569950, -4.71, -34.99
11600, 579950, -5.47, -39.77
11800, 589950, -5.14, -38.63
12000, 599950, -4.935, -36.7
12200, 609950, -2.825, -39.535
12400, 619950, -3.475, -35.62
12600, 629950, -4.345, -36.64
12800, 639950, -3.335, -36.765
13000, 649950, -2.8, -32.645
13200, 659950, -3.485, -30.055
13400, 669950, -4.025, -31.55
13600, 679950, -3.685, -30.58
13800, 689950, -3.42, -34.84
14000, 699950, -6.775, -22.54
14200, 709950, -3.445, -23.235
14400, 719950, -5.41, -27.425
14600, 729950, -7.55, -27.24
14800, 739950, -6.495, -26.06
15000, 749950, -4.605, -27.55
15200, 759950, -4.675, -25.655
15400, 769950, -4.49, -25.48
15600, 779950, -5.845, -23.475
15800, 789950, -5.145, -31.245
16000, 799950, -4.995, -26.89
16200, 809950, -3.9, -23.995
16400, 819950, -6.93, -24.595
16600, 829950, -7.52, -24.14
16800, 839950, -6.5, -25.235
17000, 849950, -3.9, -25.285
17200, 859950, -5.51, -24.06
17400, 869950, -6.42, -21.285
17600, 879950, -8.505, -22.79
17800, 889950, -11.185, -19.57
18000, 899950, -10.79, -17.97
18200, 909950, -14.95, -20.795
18400, 919950, -12.695, -24.275
18600, 929950, -14.145, -23.535
18800, 939950, -12.155, -23.14
19000, 949950, -11.26, -21.56
19200, 959950, -13.105, -17.56
19400, 969950, -11.135, -20.275
19600, 979950, -13.075, -18.18
19800, 989950, -12.35, -19.2
20000, 999950, -10.66, -18.58
