episode,step,agent0_money
100, 4950, -25.04040404040404
200, 9950, -25.15
300, 14950, -24.57
400, 19950, -24.49
500, 24950, -24.93
600, 29950, -24.87
700, 34950, -24.84
800, 39950, -24.98
900, 44950, -24.27
1000, 49950, -25.06
1100, 54950, -23.88
1200, 59950, -26.51
1300, 64950, -14.47
1400, 69950, -16.69
1500, 74950, -26.94
1600, 79950, -3.01
1700, 84950, -5.97
1800, 89950, -19.37
1900, 94950, -21.3
2000, 99950, -31.18
2100, 104950, -17.55
2200, 109950, -15.32
2300, 114950, -10.02
2400, 119950, -14.39
2500, 124950, -20.01
2600, 129950, -9.27
2700, 134950, -3.17
2800, 139950, -23.03
2900, 144950, -27.34
3000, 149950, -35.1
3100, 154950, -34.12
3200, 159950, -30.77
3300, 164950, -34.84
3400, 169950, -39.06
3500, 174950, -45.29
3600, 179950, -47.5
3700, 184950, -49.07
3800, 189950, -47.31
3900, 194950, -46.65
4000, 199950, -45.73
4100, 204950, -47.52
4200, 209950, -48.59
4300, 214950, -48.9
4400, 219950, -47.88
4500, 224950, -47.0
4600, 229950, -47.99
4700, 234950, -47.71
4800, 239950, -47.36
4900, 244950, -47.42
5000, 249950, -46.8
5100, 254950, -47.9
5200, 259950, -47.89
5300, 264950, -48.01
5400, 269950, -47.71
5500, 274950, -47.76
5600, 279950, -43.58
5700, 284950, -47.48
5800, 289950, -46.45
5900, 294950, -45.59
6000, 299950, -47.02
6100, 304950, -47.6
6200, 309950, -45.15
6300, 314950, -45.55
6400, 319950, -45.73
6500, 324950, -46.34
6600, 329950, -46.39
6700, 334950, -48.08
6800, 339950, -48.6
6900, 344950, -47.62
7000, 349950, -48.8
7100, 354950, -48.58
7200, 359950, -47.78
7300, 364950, -49.19
7400, 369950, -48.32
7500, 374950, -47.71
7600, 379950, -46.17
7700, 384950, -47.3
7800, 389950, -47.84
7900, 394950, -48.3
8000, 399950, -47.05
8100, 404950, -46.94
8200, 409950, -47.44
8300, 414950, -46.79
8400, 419950, -47.29
8500, 424950, -48.22
8600, 429950, -44.38
8700, 434950, -47.74
8800, 439950, -46.21
8900, 444950, -48.03
9000, 449950, -47.1
9100, 454950, -48.63
9200, 459950, -48.83
9300, 464950, -47.78
9400, 469950, -49.12
9500, 474950, -48.92
9600, 479950, -49.09
9700, 484950, -49.72
9800, 489950, -49.25
9900, 494950, -49.27
10000, 499950, -49.28
