episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min,agent2_energy_min,agent2_attention_min,agent3_energy_min,agent3_attention_min
1000, 49950, -18.534534534534533, -16.48948948948949, -17.67867867867868, -16.243243243243242, -16.7017017017017, -16.6026026026026, -15.003003003003004, -16.6006006006006
2000, 99950, -15.888, -11.698, -6.862, -11.088, -20.87, -19.762, -13.281, -21.507
3000, 149950, -18.911, -22.654, -26.552, -16.535, -10.351, -34.447, -9.039, -36.512
4000, 199950, -24.289, -23.144, -35.454, -10.736, -22.059, -25.569, -8.363, -40.723
5000, 249950, -29.183, -19.266, -40.759, -8.086, -34.456, -13.206, -7.561, -41.669
6000, 299950, -34.42, -14.689, -44.478, -5.083, -45.122, -1.458, -7.606, -41.832
7000, 349950, -41.029, -8.36, -45.503, -4.16, -47.101, -1.521, -9.382, -39.974
8000, 399950, -42.053, -6.509, -45.235, -3.386, -47.131, -2.037, -13.446, -35.799
9000, 449950, -42.951, -5.042, -42.38, -5.382, -47.342, -2.022, -23.683, -25.338
10000, 499950, -44.308, -3.33, -47.036, -1.794, -48.436, -0.767, -24.085, -25.202
11000, 549950, -46.958, -2.392, -48.031, -1.1, -48.516, -0.901, -25.857, -23.006
12000, 599950, -49.098, -0.672, -48.621, -0.966, -48.698, -0.929, -26.436, -22.689
13000, 649950, -49.689, -0.167, -48.709, -0.746, -48.78, -0.772, -28.364, -20.471
14000, 699950, -49.682, -0.097, -48.666, -0.447, -49.063, -0.582, -26.989, -22.041
15000, 749950, -49.772, -0.105, -48.276, -0.744, -49.365, -0.413, -27.847, -21.464
16000, 799950, -49.81, -0.069, -48.63, -0.208, -49.288, -0.315, -28.318, -20.41
17000, 849950, -49.529, -0.178, -48.895, -0.341, -49.445, -0.434, -28.296, -20.066
18000, 899950, -48.371, -0.175, -49.174, -0.111, -49.293, -0.667, -30.849, -17.619
19000, 949950, -49.095, -0.073, -47.874, -0.137, -48.677, -1.11, -30.865, -18.571
20000, 999950, -49.79, -0.039, -46.217, -0.071, -49.624, -0.176, -36.281, -12.742
21000, 1049950, -49.233, -0.133, -47.444, -0.053, -48.631, -1.113, -34.972, -14.229
22000, 1099950, -48.929, -0.196, -45.67, -0.134, -49.168, -0.613, -36.099, -13.186
23000, 1149950, -48.026, -0.825, -47.309, -0.442, -47.031, -0.651, -39.104, -9.765
24000, 1199950, -47.376, -1.703, -47.8, -0.171, -48.167, -0.363, -34.663, -11.213
25000, 1249950, -49.308, -0.21, -45.454, -2.1, -41.073, -2.909, -35.673, -12.76
26000, 1299950, -49.786, -0.134, -46.007, -2.398, -40.343, -3.327, -34.1, -14.526
27000, 1349950, -49.496, -0.468, -45.209, -2.229, -32.717, -3.972, -34.743, -14.248
28000, 1399950, -49.227, -0.313, -46.597, -2.03, -32.127, -6.81, -33.272, -15.707
29000, 1449950, -47.696, -1.552, -48.459, -0.459, -37.116, -7.677, -34.668, -14.431
30000, 1499950, -49.037, -0.762, -48.522, -0.22, -32.84, -11.876, -30.429, -18.791
31000, 1549950, -47.533, -1.587, -47.824, -0.673, -32.229, -13.486, -30.39, -18.868
32000, 1599950, -47.141, -0.238, -46.017, -1.258, -34.608, -10.872, -31.362, -18.112
33000, 1649950, -49.248, -0.146, -46.607, -1.219, -34.786, -10.877, -29.697, -19.402
34000, 1699950, -47.909, -0.484, -48.526, -0.301, -39.048, -8.754, -30.005, -19.832
35000, 1749950, -48.408, -1.535, -48.897, -0.219, -37.808, -8.702, -26.102, -23.855
36000, 1799950, -47.007, -2.944, -46.447, -0.604, -36.606, -9.175, -26.839, -23.096
37000, 1849950, -47.99, -0.97, -47.76, -0.97, -34.701, -8.391, -26.839, -23.1
38000, 1899950, -47.761, -1.218, -48.436, -0.533, -34.524, -6.972, -26.669, -23.276
39000, 1949950, -48.436, -0.838, -49.085, -0.359, -30.77, -9.55, -29.517, -20.424
40000, 1999950, -48.226, -1.182, -48.896, -0.387, -36.569, -6.518, -30.468, -19.449
