episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg
200, 9950, -26.452261306532662, -0.46733668341708545, -13.397185929648234
400, 19950, -26.625, -0.46, -13.415800000000004
600, 29950, -26.43, -0.445, -13.2898
800, 39950, -25.84, -0.555, -13.161900000000008
1000, 49950, -26.435, -0.5, -13.415499999999998
1200, 59950, -23.265, -0.495, -11.9265
1400, 69950, -20.89, -0.415, -10.6875
1600, 79950, -29.085, -0.605, -14.756300000000003
1800, 89950, -28.915, -0.685, -15.0348
2000, 99950, -43.93, -1.0, -22.535900000000005
2200, 109950, -33.31, -0.99, -17.914900000000006
2400, 119950, -41.33, -1.0, -21.778000000000002
2600, 129950, -38.09, -0.945, -20.35069999999999
2800, 139950, -40.015, -0.96, -21.020899999999994
3000, 149950, -45.185, -0.995, -23.39479999999999
3200, 159950, -33.64, -1.0, -18.44499999999999
3400, 169950, -30.135, -1.0, -17.246800000000004
3600, 179950, -30.195, -0.995, -17.616699999999998
3800, 189950, -31.13, -1.0, -17.662400000000005
4000, 199950, -24.605, -0.995, -14.917100000000003
4200, 209950, -28.605, -1.0, -16.190399999999993
4400, 219950, -29.615, -1.0, -16.600599999999996
4600, 229950, -29.33, -1.0, -16.274599999999992
4800, 239950, -33.31, -1.0, -17.81610000000001
5000, 249950, -34.69, -1.0, -18.497799999999998
5200, 259950, -34.05, -1.0, -18.630100000000006
5400, 269950, -32.035, -0.985, -17.756500000000003
5600, 279950, -28.36, -0.88, -16.677300000000006
5800, 289950, -25.65, -1.0, -15.465500000000002
6000, 299950, -25.8, -1.0, -15.132399999999993
6200, 309950, -27.14, -1.0, -16.038999999999998
6400, 319950, -33.08, -1.0, -17.742700000000003
6600, 329950, -31.435, -1.0, -16.992999999999995
6800, 339950, -29.735, -0.965, -16.763699999999996
7000, 349950, -32.16, -0.985, -17.825699999999998
7200, 359950, -24.135, -0.985, -14.771100000000004
7400, 369950, -20.48, -0.84, -12.347999999999999
7600, 379950, -18.58, -1.0, -12.733700000000004
7800, 389950, -15.88, -1.0, -11.884600000000011
8000, 399950, -14.295, -1.0, -10.619499999999995
8200, 409950, -16.35, -1.0, -11.846900000000003
8400, 419950, -11.785, -0.995, -9.375600000000002
8600, 429950, -15.39, -1.0, -11.17670000000001
8800, 439950, -14.37, -1.0, -10.9403
9000, 449950, -14.99, -1.0, -11.136000000000001
9200, 459950, -14.165, -1.0, -10.998800000000001
9400, 469950, -14.485, -1.0, -11.5029
9600, 479950, -13.805, -1.0, -11.028400000000007
9800, 489950, -15.075, -1.0, -11.743800000000011
10000, 499950, -17.465, -1.0, -12.871500000000012
