episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min,agent2_energy_min,agent2_attention_min,agent3_energy_min,agent3_attention_min
1000, 49950, -13.992992992992994, -17.976976976976978, -15.6006006006006, -16.59059059059059, -16.62162162162162, -15.787787787787789, -16.43243243243243, -16.266266266266268
2000, 99950, -12.506, -21.351, -11.007, -20.553, -7.326, -36.051, -14.135, -19.486
3000, 149950, -8.323, -37.21, -8.258, -36.747, -4.37, -37.712, -6.956, -40.742
4000, 199950, -5.447, -41.949, -8.483, -39.293, -6.75, -38.54, -1.412, -48.199
5000, 249950, -5.552, -42.894, -7.294, -41.105, -11.718, -35.527, -1.793, -47.782
6000, 299950, -2.744, -45.627, -7.829, -41.63, -14.115, -32.058, -1.919, -47.79
7000, 349950, -2.297, -46.147, -7.984, -41.491, -17.495, -30.647, -1.928, -47.783
8000, 399950, -2.196, -46.866, -9.378, -40.419, -23.162, -22.618, -2.023, -47.683
9000, 449950, -1.498, -48.102, -9.444, -40.393, -21.714, -26.115, -2.059, -47.756
10000, 499950, -3.836, -45.586, -12.221, -37.624, -25.645, -22.34, -2.576, -47.216
11000, 549950, -3.727, -45.757, -14.972, -34.866, -29.651, -18.995, -2.685, -47.072
12000, 599950, -5.698, -43.591, -20.7, -29.078, -35.847, -11.845, -4.021, -45.855
13000, 649950, -8.92, -40.522, -27.451, -22.312, -35.987, -11.965, -3.841, -45.985
14000, 699950, -8.542, -40.785, -32.387, -17.119, -41.54, -7.007, -4.31, -45.515
15000, 749950, -10.816, -38.948, -38.544, -11.114, -41.663, -5.112, -5.706, -43.776
16000, 799950, -10.807, -38.66, -36.965, -12.778, -40.358, -7.788, -4.454, -44.788
17000, 849950, -9.923, -39.375, -32.784, -17.165, -48.442, -0.55, -5.979, -43.66
18000, 899950, -9.274, -39.233, -28.299, -21.66, -42.63, -0.837, -6.206, -43.477
19000, 949950, -6.946, -41.494, -35.57, -14.397, -47.933, -0.236, -6.127, -43.57
20000, 999950, -7.514, -40.507, -35.855, -14.085, -47.348, -0.166, -4.843, -44.982
21000, 1049950, -7.856, -41.199, -29.488, -20.493, -47.958, -0.753, -2.456, -47.02
22000, 1099950, -6.907, -42.176, -30.503, -19.354, -47.368, -2.427, -3.943, -45.808
23000, 1149950, -5.405, -43.642, -23.879, -19.856, -42.003, -5.741, -4.142, -45.751
24000, 1199950, -2.328, -47.114, -22.283, -16.842, -30.103, -12.59, -5.434, -44.543
25000, 1249950, -2.385, -43.242, -25.078, -21.564, -25.915, -15.091, -5.136, -44.813
26000, 1299950, -4.083, -41.376, -24.698, -19.312, -31.702, -5.104, -5.901, -43.959
27000, 1349950, -3.881, -45.075, -26.598, -17.165, -29.19, -3.575, -6.978, -42.9
28000, 1399950, -4.562, -44.436, -23.419, -13.888, -25.742, -3.188, -6.13, -43.271
29000, 1449950, -4.525, -44.491, -14.263, -15.012, -25.553, -0.986, -4.059, -45.885
30000, 1499950, -6.836, -42.622, -14.169, -15.881, -20.929, -0.795, -4.123, -45.799
31000, 1549950, -5.139, -44.334, -16.715, -15.026, -19.605, -5.161, -3.979, -45.968
32000, 1599950, -5.881, -43.534, -16.346, -15.132, -23.172, -2.798, -4.387, -45.416
33000, 1649950, -5.504, -43.945, -16.614, -12.591, -22.548, -1.047, -4.611, -45.322
34000, 1699950, -7.109, -42.368, -15.497, -12.823, -24.44, -2.068, -5.163, -44.817
35000, 1749950, -4.492, -45.329, -14.544, -12.429, -24.001, -1.158, -4.164, -45.774
36000, 1799950, -6.235, -43.612, -16.967, -10.719, -24.661, -1.227, -4.752, -45.189
37000, 1849950, -4.616, -45.202, -15.273, -10.0, -25.197, -1.083, -4.509, -45.399
38000, 1899950, -6.482, -43.357, -17.313, -8.534, -26.725, -3.0, -5.231, -44.274
39000, 1949950, -5.608, -44.196, -16.385, -9.889, -26.789, -2.822, -4.181, -45.627
40000, 1999950, -5.779, -44.077, -18.825, -7.631, -23.84, -5.684, -3.566, -46.347
