episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min,agent2_energy_min,agent2_attention_min,agent3_energy_min,agent3_attention_min
1000, 49950, -17.465465465465467, -14.755755755755755, -15.794794794794795, -16.765765765765767, -18.706706706706708, -15.188188188188189, -19.26726726726727, -16.68768768768769
2000, 99950, -8.568, -11.263, -12.54, -18.773, -14.846, -12.705, -10.679, -24.616
3000, 149950, -22.237, -7.865, -16.156, -20.002, -26.253, -14.882, -19.382, -24.261
4000, 199950, -26.186, -4.556, -31.655, -15.001, -37.472, -6.825, -44.389, -2.836
5000, 249950, -14.622, -0.201, -41.648, -7.658, -46.54, -1.053, -49.499, -0.077
6000, 299950, -12.053, -0.23, -47.284, -2.0, -47.662, -0.784, -49.172, -0.034
7000, 349950, -30.856, -2.176, -48.647, -0.94, -48.498, -0.379, -48.944, -0.255
8000, 399950, -41.95, -0.691, -48.612, -0.757, -48.698, -0.509, -49.503, -0.062
9000, 449950, -39.629, -0.164, -48.259, -1.097, -48.835, -0.352, -49.796, -0.007
10000, 499950, -41.739, -0.026, -48.845, -0.52, -48.509, -0.389, -49.828, -0.007
11000, 549950, -37.701, -0.016, -48.025, -1.552, -48.585, -0.617, -49.809, -0.009
12000, 599950, -38.55, -0.017, -48.92, -0.881, -48.701, -0.629, -49.596, -0.016
13000, 649950, -36.293, -0.015, -48.39, -1.568, -48.827, -0.526, -49.579, -0.012
14000, 699950, -36.697, -0.021, -47.925, -1.929, -49.043, -0.518, -49.769, -0.009
15000, 749950, -40.455, -0.033, -44.461, -1.152, -48.84, -0.758, -49.707, -0.01
16000, 799950, -40.934, -0.009, -40.963, -0.335, -48.99, -0.637, -49.712, -0.01
17000, 849950, -41.231, -0.01, -42.908, -0.38, -49.131, -0.639, -49.323, -0.003
18000, 899950, -42.626, -0.012, -42.252, -1.094, -48.848, -0.752, -49.05, -0.009
19000, 949950, -41.663, -0.013, -43.664, -2.101, -48.743, -0.747, -49.862, -0.006
20000, 999950, -42.853, -0.01, -43.773, -2.01, -48.652, -0.622, -49.653, -0.01
21000, 1049950, -43.613, -0.009, -43.938, -0.497, -48.592, -0.641, -49.785, -0.005
22000, 1099950, -39.206, -0.012, -44.565, -0.919, -48.809, -0.437, -49.677, -0.016
23000, 1149950, -40.201, -0.017, -34.165, -0.836, -48.911, -0.289, -49.308, -0.036
24000, 1199950, -38.078, -3.056, -34.524, -1.349, -47.512, -0.268, -46.735, -0.295
25000, 1249950, -32.384, -0.013, -34.062, -4.134, -46.559, -0.235, -44.407, -2.106
26000, 1299950, -26.089, -1.388, -39.634, -0.435, -49.174, -0.457, -44.181, -3.078
27000, 1349950, -24.621, -1.11, -38.789, -0.571, -43.12, -0.929, -45.97, -0.074
28000, 1399950, -26.176, -0.417, -30.247, -1.666, -41.082, -0.85, -38.946, -0.154
29000, 1449950, -22.382, -0.617, -27.97, -3.942, -34.9, -3.735, -39.364, -0.051
30000, 1499950, -18.109, -2.936, -28.476, -2.291, -43.191, -2.284, -43.445, -0.454
31000, 1549950, -21.48, -1.699, -27.059, -0.603, -43.803, -1.111, -43.094, -0.054
32000, 1599950, -22.233, -1.525, -27.769, -1.517, -41.181, -3.452, -40.961, -0.042
33000, 1649950, -22.297, -1.587, -28.201, -0.898, -35.826, -4.487, -36.029, -0.042
34000, 1699950, -20.128, -1.643, -29.287, -2.146, -46.798, -1.639, -29.123, -0.211
35000, 1749950, -18.72, -2.746, -25.187, -1.117, -37.766, -0.891, -30.684, -0.047
36000, 1799950, -17.342, -0.927, -24.299, -2.597, -35.214, -1.448, -26.402, -0.017
37000, 1849950, -15.171, -0.772, -24.624, -2.309, -28.92, -1.149, -24.2, -0.016
38000, 1899950, -17.052, -0.789, -19.985, -0.087, -25.531, -3.5, -17.889, -0.036
39000, 1949950, -18.411, -0.773, -18.06, -0.261, -21.819, -1.894, -17.809, -0.02
40000, 1999950, -18.717, -0.809, -28.609, -0.113, -22.499, -2.824, -19.87, -2.298
