act0,act1,act2,episode,step
0.9996333122253418,0.00017018415383063257,0.00019647700537461787,1,0
0.9993184804916382,0.00013967703853268176,0.0005419361987151206,1,1
0.9896563291549683,0.00024074633256532252,0.010102925822138786,1,2
0.9501696825027466,0.00032339146127924323,0.049506932497024536,1,3
0.23268520832061768,0.0023658387362957,0.7649489641189575,1,4
0.15352708101272583,0.00018240950885228813,0.8462904691696167,1,5
0.9994958639144897,1.555071139591746e-05,0.0004885154194198549,1,6
0.21115538477897644,0.00011179682041984051,0.7887328267097473,1,7
0.0012674415484070778,6.119409226812422e-05,0.9986714124679565,1,8
0.9923503994941711,0.0019067904213443398,0.005742718931287527,1,9
0.5761354565620422,0.011809555813670158,0.4120549261569977,1,10
0.1145738810300827,0.009228409267961979,0.8761976957321167,1,11
0.5644570589065552,0.021768933162093163,0.4137740433216095,1,12
0.9620338678359985,0.005030019208788872,0.03293612599372864,1,13
0.07793960720300674,0.8924217224121094,0.02963862009346485,1,14
0.112958163022995,0.7447454929351807,0.14229623973369598,1,15
0.05444180592894554,0.9441536664962769,0.0014045641291886568,1,16
0.9855382442474365,0.011363126337528229,0.0030986028723418713,1,17
0.5550779104232788,0.02216547727584839,0.4227565824985504,1,18
0.0012722878018394113,0.9980389475822449,0.0006887936033308506,1,19
0.06777220964431763,0.7122673988342285,0.21996034681797028,1,20
0.4801388084888458,0.3031919300556183,0.21666927635669708,1,21
0.7595326900482178,0.011262373067438602,0.22920487821102142,1,22
0.9188076257705688,0.025598108768463135,0.05559423938393593,1,23
0.0027676585596054792,0.6711504459381104,0.32608190178871155,1,24
0.010586529970169067,0.6502893567085266,0.33912408351898193,1,25
0.9632299542427063,0.034813813865184784,0.0019561233930289745,1,26
0.00468906806781888,0.002755330875515938,0.992555558681488,1,27
4.865028677158989e-05,0.0005490069161169231,0.9994022846221924,1,28
0.2556309103965759,0.71409010887146,0.030278952792286873,1,29
0.7745086550712585,0.20609433948993683,0.019397009164094925,1,30
0.00043554737931117415,0.0007882522186264396,0.9987761378288269,1,31
9.822003630688414e-05,0.0032714558765292168,0.9966303706169128,1,32
0.7746387124061584,0.22358082234859467,0.0017804628005251288,1,33
0.0727599486708641,0.39062318205833435,0.5366169214248657,1,34
0.0011633518151938915,0.16013939678668976,0.8386972546577454,1,35
0.0060086240991950035,0.9748868346214294,0.019104521721601486,1,36
0.00010495541209820658,0.993230938911438,0.006664167623966932,1,37
0.0010882650967687368,0.9911172389984131,0.007794476579874754,1,38
0.008366554044187069,0.9891934990882874,0.0024399757385253906,1,39
0.9852826595306396,0.008692774921655655,0.006024499889463186,1,40
0.9941033720970154,0.005181071348488331,0.0007155257044360042,1,41
0.00015062718011904508,0.9993634819984436,0.0004859259643126279,1,42
0.022947432473301888,0.9672842025756836,0.009768268093466759,1,43
0.9929631352424622,0.005328483879566193,0.001708479248918593,1,44
0.9994148015975952,0.0005335462628863752,5.165419861441478e-05,1,45
0.9953641891479492,0.003584134392440319,0.001051670522429049,1,46
0.9188926815986633,0.02375238575041294,0.05735499784350395,1,47
0.6875811815261841,0.012502976693212986,0.2999158501625061,1,48
0.18819455802440643,0.3136698305606842,0.49813562631607056,1,49
0.41094717383384705,0.02079799771308899,0.5682548880577087,2,0
0.20051755011081696,0.00015048010391183197,0.7993319034576416,2,1
0.9730672240257263,1.8066451957565732e-05,0.02691466361284256,2,2
0.9996053576469421,0.0001662314753048122,0.00022845955390948802,2,3
0.9999653100967407,1.1796280887210742e-05,2.28831559070386e-05,2,4
0.9994988441467285,0.0001281068252865225,0.0003730391908902675,2,5
0.9943469166755676,0.0015306032728403807,0.004122481215745211,2,6
0.99519944190979,0.0007552994065918028,0.0040452429093420506,2,7
0.8759940266609192,0.057725321501493454,0.06628058105707169,2,8
0.0074886176735162735,0.960513710975647,0.03199763223528862,2,9
0.007239947561174631,0.8657132983207703,0.12704665958881378,2,10
0.002325977198779583,0.9952684044837952,0.0024056800175458193,2,11
0.012865927070379257,0.9865810871124268,0.0005529435584321618,2,12
0.0017687238287180662,0.9933358430862427,0.004895372316241264,2,13
0.019632847979664803,0.9677924513816833,0.012574681080877781,2,14
0.8991199731826782,0.01700773648917675,0.0838722214102745,2,15
0.7810122966766357,0.0029921531677246094,0.21599549055099487,2,16
0.014665260910987854,0.004751766566187143,0.9805830121040344,2,17
0.029242733493447304,0.2239106148481369,0.746846616268158,2,18
0.32485198974609375,0.16336628794670105,0.5117816925048828,2,19
0.5441252589225769,0.08438026905059814,0.37149450182914734,2,20
0.3056364357471466,0.17315591871738434,0.5212076902389526,2,21
0.041458915919065475,0.5097139477729797,0.44882717728614807,2,22
0.013183493167161942,0.45825937390327454,0.5285570621490479,2,23
0.3774110674858093,0.4821045696735382,0.1404843032360077,2,24
0.2745366096496582,0.08501645177602768,0.6404469609260559,2,25
0.6770308017730713,0.11455077677965164,0.20841848850250244,2,26
0.85243159532547,0.012148167937994003,0.13542021811008453,2,27
0.96584552526474,0.0052851359359920025,0.02886923961341381,2,28
0.31641891598701477,0.2135636955499649,0.4700174331665039,2,29
0.03654251620173454,0.015414445661008358,0.9480430483818054,2,30
0.3345770537853241,0.5822207927703857,0.08320213854312897,2,31
0.3081287145614624,0.4494171738624573,0.24245411157608032,2,32
0.9638186097145081,0.0036331366281956434,0.03254827857017517,2,33
0.7788318395614624,0.0059303767047822475,0.21523769199848175,2,34
0.35290372371673584,0.481867253780365,0.16522906720638275,2,35
