episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg,agent1_energy_min,agent1_energy_max,agent1_energy_avg
200, 9950, -24.256281407035175, -0.4723618090452261, -12.268442211055271, -24.175879396984925, -0.48743718592964824, -12.410050251256278
400, 19950, -24.125, -0.48, -12.250399999999997, -23.91, -0.49, -12.271599999999992
600, 29950, -23.965, -0.5, -12.286399999999992, -23.965, -0.53, -12.3625
800, 39950, -24.3, -0.49, -12.403599999999997, -23.535, -0.48, -11.982099999999992
1000, 49950, -24.355, -0.445, -12.3847, -24.235, -0.47, -12.2711
1200, 59950, -22.23, -0.54, -11.8443, -27.81, -0.485, -14.025000000000007
1400, 69950, -31.28, -0.39, -15.163899999999996, -8.2, -0.175, -4.073399999999998
1600, 79950, -21.585, -0.615, -11.7185, -6.23, -0.165, -3.3313000000000006
1800, 89950, -22.27, -0.595, -11.558299999999997, -2.395, -0.095, -1.2619999999999998
2000, 99950, -18.55, -0.54, -9.814699999999998, -3.62, -0.115, -1.9056999999999993
2200, 109950, -5.695, -0.35, -3.2093000000000007, -10.575, -0.14, -5.0841
2400, 119950, -13.05, -0.44, -6.553800000000003, -10.345, -0.095, -5.187199999999997
2600, 129950, -7.655, -0.34, -4.319899999999999, -0.85, -0.02, -0.4906000000000001
2800, 139950, -11.475, -0.505, -6.240599999999998, -3.645, -0.1, -2.0001999999999995
3000, 149950, -6.015, -0.415, -3.4116999999999984, -12.125, -0.145, -5.7882
3200, 159950, -6.6, -0.395, -3.6875000000000004, -30.02, -0.4, -14.372600000000002
3400, 169950, -7.2, -0.37, -3.9027000000000003, -33.2, -0.375, -15.66520000000001
3600, 179950, -6.44, -0.42, -3.8295000000000017, -32.08, -0.375, -15.236300000000002
3800, 189950, -5.885, -0.345, -3.305799999999999, -37.865, -0.59, -18.18670000000001
4000, 199950, -6.74, -0.34, -3.5833999999999997, -35.8, -0.59, -17.551200000000005
4200, 209950, -8.485, -0.365, -4.8867, -41.635, -0.695, -20.36829999999999
4400, 219950, -9.6, -0.395, -5.564600000000001, -38.345, -0.755, -19.121999999999993
4600, 229950, -10.175, -0.355, -5.5154, -37.17, -0.625, -18.342100000000002
4800, 239950, -8.97, -0.25, -4.693799999999999, -40.71, -0.7, -20.1225
5000, 249950, -8.87, -0.4, -5.3093, -40.17, -0.8, -20.470300000000005
5200, 259950, -11.04, -0.415, -6.073000000000002, -41.515, -0.73, -20.854400000000002
5400, 269950, -11.065, -0.375, -6.119400000000001, -41.04, -0.73, -20.67989999999999
5600, 279950, -12.57, -0.4, -6.979100000000001, -41.785, -0.68, -20.982099999999996
5800, 289950, -14.04, -0.415, -7.360199999999996, -40.865, -0.775, -20.65769999999999
6000, 299950, -14.685, -0.385, -7.511300000000005, -36.68, -0.765, -18.964799999999993
6200, 309950, -13.125, -0.315, -6.555000000000002, -44.17, -0.79, -22.417999999999996
6400, 319950, -14.83, -0.38, -8.114099999999997, -45.19, -0.815, -22.883299999999995
6600, 329950, -15.325, -0.37, -7.5448999999999975, -41.68, -0.78, -21.278000000000006
6800, 339950, -11.03, -0.275, -5.745200000000002, -41.28, -0.81, -21.189999999999976
7000, 349950, -17.73, -0.39, -8.979700000000001, -41.205, -0.81, -21.30019999999999
7200, 359950, -17.615, -0.41, -9.110399999999997, -43.87, -0.915, -22.218900000000012
7400, 369950, -13.795, -0.365, -7.151000000000005, -42.74, -0.86, -21.4315
7600, 379950, -15.47, -0.345, -7.955799999999997, -44.43, -0.9, -22.26200000000001
7800, 389950, -16.2, -0.38, -8.5096, -46.805, -0.98, -23.367699999999996
8000, 399950, -18.97, -0.36, -9.4142, -46.2, -0.94, -23.1784
8200, 409950, -23.27, -0.44, -11.5764, -46.05, -0.955, -23.1569
8400, 419950, -25.325, -0.46, -12.357799999999997, -46.15, -0.985, -22.91300000000001
8600, 429950, -25.28, -0.465, -12.208499999999999, -46.505, -0.96, -23.269499999999997
8800, 439950, -24.235, -0.43, -11.87739999999999, -41.295, -0.91, -21.151699999999995
9000, 449950, -24.285, -0.44, -11.816499999999998, -45.145, -0.965, -22.958300000000005
9200, 459950, -28.865, -0.59, -14.422299999999993, -45.475, -0.975, -23.242299999999997
9400, 469950, -25.145, -0.6, -13.1454, -45.25, -0.98, -22.87869999999999
9600, 479950, -32.79, -0.695, -16.657600000000002, -45.89, -0.965, -22.9807
9800, 489950, -34.25, -0.785, -17.2968, -46.32, -0.99, -23.144499999999994
10000, 499950, -26.385, -0.695, -14.037399999999996, -46.39, -1.0, -23.35699999999999
10200, 509950, -35.935, -0.775, -18.134999999999994, -46.445, -0.995, -23.263599999999997
10400, 519950, -35.555, -0.795, -17.9776, -45.325, -1.0, -22.835400000000014
10600, 529950, -28.065, -0.63, -14.316600000000003, -42.8, -1.0, -21.83629999999999
10800, 539950, -29.805, -0.72, -15.253899999999993, -41.595, -0.995, -21.352400000000003
11000, 549950, -35.69, -0.805, -18.117700000000003, -40.72, -0.99, -21.23219999999999
11200, 559950, -34.815, -0.835, -17.682599999999994, -45.195, -1.0, -22.886299999999995
11400, 569950, -30.97, -0.76, -16.329199999999993, -42.605, -0.99, -22.02559999999999
11600, 579950, -31.62, -0.895, -17.129299999999997, -43.19, -0.995, -22.22009999999999
11800, 589950, -26.705, -0.76, -14.386099999999999, -45.22, -0.985, -22.99460000000001
12000, 599950, -32.38, -0.745, -16.103900000000007, -45.05, -1.0, -22.891000000000005
12200, 609950, -40.035, -0.9, -19.81239999999999, -42.84, -1.0, -21.956499999999995
12400, 619950, -35.81, -0.81, -17.964799999999997, -46.165, -0.995, -23.349799999999988
12600, 629950, -36.75, -0.895, -18.49709999999999, -46.5, -0.995, -23.650499999999997
12800, 639950, -36.25, -0.77, -17.7812, -46.445, -1.0, -23.43670000000002
13000, 649950, -30.12, -0.685, -14.844199999999995, -42.925, -1.0, -22.11229999999999
13200, 659950, -32.3, -0.69, -16.521500000000003, -41.66, -1.0, -21.813099999999995
13400, 669950, -35.035, -0.705, -18.071999999999992, -45.85, -0.995, -23.386399999999995
13600, 679950, -35.235, -0.9, -18.329800000000013, -48.045, -0.995, -24.2282
13800, 689950, -30.48, -0.795, -16.843399999999992, -46.87, -0.995, -23.707500000000003
14000, 699950, -31.19, -0.81, -16.5803, -48.67, -0.995, -24.718799999999998
14200, 709950, -37.98, -0.88, -19.423699999999993, -47.945, -1.0, -24.248100000000008
14400, 719950, -30.895, -0.77, -16.514900000000004, -48.335, -0.985, -24.59210000000001
14600, 729950, -24.895, -0.665, -13.453399999999997, -48.045, -0.995, -24.46849999999999
14800, 739950, -25.4, -0.74, -14.031299999999996, -46.475, -1.0, -23.694900000000008
15000, 749950, -33.36, -0.745, -17.359000000000005, -41.74, -1.0, -21.88689999999999
15200, 759950, -33.59, -0.8, -17.539900000000006, -38.835, -1.0, -21.023100000000003
15400, 769950, -32.175, -0.8, -16.929899999999993, -42.11, -0.995, -22.180099999999996
15600, 779950, -31.06, -0.825, -16.716700000000003, -40.42, -1.0, -21.446699999999996
15800, 789950, -35.08, -0.8, -18.2791, -42.335, -1.0, -22.203999999999997
16000, 799950, -30.98, -0.815, -16.59479999999999, -38.065, -1.0, -20.73720000000001
16200, 809950, -33.285, -0.825, -17.8417, -42.585, -1.0, -22.598500000000005
16400, 819950, -26.85, -0.785, -14.9012, -36.94, -1.0, -20.112700000000014
16600, 829950, -31.35, -0.85, -17.0499, -43.375, -1.0, -22.701000000000004
16800, 839950, -32.855, -0.885, -17.916399999999996, -44.12, -1.0, -22.763700000000004
17000, 849950, -33.85, -0.845, -17.965999999999998, -42.055, -1.0, -22.125899999999998
17200, 859950, -33.91, -0.945, -18.8603, -44.425, -0.995, -23.142900000000008
17400, 869950, -31.31, -0.895, -17.662800000000008, -42.73, -1.0, -22.1094
17600, 879950, -28.105, -0.82, -16.006100000000004, -42.96, -1.0, -22.512699999999985
17800, 889950, -33.465, -0.935, -18.579000000000004, -44.185, -1.0, -22.967700000000004
18000, 899950, -32.095, -0.925, -18.0097, -47.535, -1.0, -24.195800000000023
18200, 909950, -29.725, -0.95, -17.042200000000005, -47.68, -1.0, -24.404300000000003
18400, 919950, -31.79, -0.945, -18.156500000000005, -47.22, -1.0, -24.104899999999997
18600, 929950, -28.69, -0.965, -17.062999999999995, -47.29, -1.0, -24.026700000000005
18800, 939950, -27.595, -0.98, -16.5991, -48.68, -0.995, -24.6879
19000, 949950, -25.89, -0.96, -15.690499999999991, -41.795, -0.99, -21.82170000000001
19200, 959950, -27.64, -0.91, -16.005900000000004, -47.98, -1.0, -24.314900000000012
19400, 969950, -31.395, -0.935, -17.41800000000001, -48.965, -0.99, -24.806100000000004
