episode,step,agent0_rew,agent1_rew,agent2_rew,agent3_rew,agent4_rew,agent5_rew
1000, 25408, 1.0967967057869372, 0.9591309868216003, 1.0413711266734018, 1.035299201761124, -11.786568724722498, -9.758131431768136
2000, 52660, 2.416333869279456, 2.8289161968574463, 2.295054123006831, 2.3893719155117306, -16.076340540672813, -11.57987197565086
3000, 81885, 5.345947839178916, 6.029407214440465, 6.051553537631848, 5.382090191283167, -3.080881306722693, -2.5196074968490114
4000, 113217, 9.265577635092397, 9.812471881516132, 10.13839978733766, 9.743108863768208, -4.602380585278939, -4.7052480010886475
5000, 146916, 13.437068806570572, 13.188484392973177, 13.6568314218849, 13.269086433442935, -6.416122794994982, -6.29140743044128
6000, 182997, 21.588720080640613, 21.22873183180762, 21.720624648441333, 21.065880045176005, -11.852453460151436, -8.465611618669925
7000, 221756, 19.89230706085809, 19.708458461509355, 19.945922494239106, 19.393403321841838, -11.104744536280144, -8.851207420040163
8000, 263306, 18.160383115399153, 17.938154543453596, 18.119424367601923, 17.632680369989732, -10.35643444351402, -7.664001626792866
9000, 307869, 11.788761662173263, 11.646747825798071, 11.726186839444644, 11.371868911256664, -9.06794088963966, -6.813714481510111
10000, 355637, 9.031725139250975, 9.010836772555583, 9.140961341253094, 8.649644828510032, -5.923356215006028, -4.965008519441596
11000, 406940, 8.605278662181627, 8.966962605285891, 8.779633942001379, 7.656576621436238, -6.19109490907069, -4.580597795767658
12000, 461923, 8.96778321540875, 9.043751815351534, 9.227987295436378, 7.809108801126163, -4.26311785442611, -6.61462366518041
13000, 520889, 10.254676434892948, 10.415067650131899, 10.748257551593499, 9.661406525405695, -4.423911708510527, -6.77169616768712
14000, 584098, 15.074576997111132, 15.425428628856196, 15.479664449086831, 14.843132787140812, -6.171718743432342, -9.565092283811685
15000, 651925, 15.162164225165391, 14.534672354433782, 14.698553786256468, 14.935559856552834, -6.604410087671453, -7.926262790624092
16000, 724634, 21.0533791303572, 19.98720129941715, 20.806557876650842, 20.516986964978773, -13.844009680828657, -7.105719263290252
17000, 802600, 24.699279809305875, 23.79340748840465, 24.61280021285129, 22.355470552869857, -15.268001492908535, -11.102313036202268
18000, 886188, 26.199205343024456, 25.72847440610466, 26.70047948185078, 24.577579104210198, -15.645642101070578, -10.154223762031945
19000, 975835, 28.23349901739129, 28.061186251892686, 29.00510483590529, 27.61230692238769, -13.578386895882755, -16.228965357584865
20000, 1071923, 49.8691566907333, 49.836662374922554, 50.353052057445964, 49.75729673197803, -17.786833486794546, -34.398552697329855
21000, 1174970, 56.90809651485356, 52.76040393017112, 57.546245835337906, 55.38781924939974, -22.76734532081239, -38.86499516780372
22000, 1285436, 44.99027102086182, 40.02781174341473, 44.69296034643688, 45.549560621434956, -31.501409638035753, -28.55032659102738
23000, 1403866, 60.957274494719314, 59.09491702470057, 58.87587478925532, 61.875267234325804, -42.94740542845821, -22.855063423213956
24000, 1530832, 73.16453697568944, 70.10380120859345, 69.75906274210188, 73.3481151179872, -53.33735438569878, -23.53616364401509
25000, 1666959, 133.53173178441216, 129.95043609427984, 132.12988054492251, 135.1075362866448, -111.71191197220811, -36.98042133305832
26000, 1812882, 247.35084211947233, 246.5833965555348, 248.61619315411028, 253.75742704000106, -250.8826291747096, -30.20751193557386
27000, 1969314, 140.90486687618687, 135.59215696581762, 142.54950092918236, 142.87461395001048, -128.25119085143305, -29.446860384106877
28000, 2137004, 88.12054880540707, 85.13411385435501, 87.4242294494054, 89.99926356237103, -76.14615615072454, -32.7216145387693
29000, 2316778, 72.16852198151044, 69.84479584113011, 72.8615718524587, 74.54897383214598, -60.753367949211274, -31.74077592073366
30000, 2509476, 73.80747804585467, 71.60853614866792, 74.11186939827388, 75.32933194878396, -63.12290458470114, -32.18880920566554
31000, 2709475, 74.90782464963716, 74.28588835149138, 75.24281253373258, 76.83132147203123, -62.96613648752123, -29.577970578191067
32000, 2909475, 84.9889704297109, 81.95096741274038, 83.28502695196077, 81.90402015521659, -70.54133109085183, -31.83885106876601
33000, 3109475, 118.13992039857861, 112.39532396927139, 115.07766220400354, 112.06242524578226, -125.87841121278352, -38.715193323299644
34000, 3309475, 112.21994194853254, 105.90597340592613, 109.43242228695402, 108.54876565677867, -110.18018276455811, -32.76372474857865
35000, 3509475, 110.03916079128415, 105.73516991573939, 107.74962398911394, 106.49201950172439, -102.85406971872634, -39.0643381966355
36000, 3709475, 106.36322629006379, 100.48631598986971, 102.91813507059165, 99.89647170760401, -97.59629633642517, -37.300184037673944
37000, 3909475, 118.97566081613947, 113.16931731192429, 116.1958197193836, 114.24927456882884, -111.44260928067064, -34.73573638940207
38000, 4109475, 111.54267760359873, 100.41404379840114, 110.05085306001259, 94.83812980279146, -112.43790802874643, -37.95860811156675
39000, 4309475, 111.4229205332982, 102.66895468964618, 110.13495955388723, 96.89088996625992, -105.82097026010895, -45.089888990861176
40000, 4509475, 102.56959605054176, 100.43359254107163, 100.86917317500547, 101.73439590438153, -93.48905662604555, -37.1087079139707
41000, 4709475, 104.05120842719165, 100.74392088067043, 100.7680767092497, 102.56730401456859, -95.77888815674137, -36.324922824954804
42000, 4909475, 104.43459497649243, 102.74042149730921, 102.0613770138238, 102.48249700246109, -97.81325412149303, -29.52607295929187
43000, 5109475, 101.85891804754735, 100.54176074239285, 100.60884254644417, 101.23734879094701, -95.61818376673519, -28.154665199977025
44000, 5309475, 106.58459816208968, 106.33126172760167, 105.07134099581954, 104.44796380040717, -101.89441368432965, -25.83007728972367
45000, 5509475, 113.99898029880309, 112.70892972055368, 112.52049616872488, 112.51399616932814, -108.95185407168663, -31.54589980525795
46000, 5709475, 115.84146789895993, 112.54437239464916, 113.40153754294288, 114.6054252129973, -117.86042039153176, -25.90773433041843
47000, 5909475, 113.84726016164868, 113.59167426201837, 111.40065436877181, 112.51661310138009, -119.48320047386169, -22.383871373389088
48000, 6109475, 113.77425653252817, 114.35621661298929, 111.7338025204283, 112.58872705973509, -121.98591658742113, -20.47736861847266
49000, 6309475, 110.54136653205305, 108.703698102094, 106.9146527319556, 106.73423576515549, -123.38286109645391, -18.474124724630503
50000, 6509475, 122.36332937197002, 121.30488512148575, 120.65878747707691, 105.00589976153404, -128.4931692168261, -19.97174185405236
