a0_to_a1,a1_to_a0,episode,step
A,_,1,0
A,_,1,1
A,_,1,2
A,_,1,3
A,_,1,4
A,_,1,5
C,_,1,6
C,_,1,7
C,_,1,8
C,_,1,9
D,_,1,10
D,_,1,11
D,_,1,12
B,_,1,13
C,_,1,14
C,_,1,15
C,_,1,16
C,_,1,17
C,_,1,18
A,_,1,19
C,_,1,20
C,_,1,21
C,_,1,22
C,_,1,23
C,_,1,24
C,_,1,25
E,_,1,26
E,_,1,27
E,_,1,28
E,_,1,29
C,_,1,30
D,_,1,31
B,_,1,32
C,_,1,33
B,_,1,34
B,_,1,35
C,_,1,36
C,_,1,37
C,_,1,38
C,_,1,39
C,_,1,40
C,_,1,41
C,_,1,42
C,_,1,43
C,_,1,44
C,_,1,45
C,_,1,46
C,_,1,47
C,_,1,48
_,_,2,0
E,_,2,1
E,_,2,2
E,_,2,3
E,_,2,4
E,_,2,5
E,_,2,6
D,_,2,7
D,_,2,8
D,_,2,9
D,_,2,10
D,_,2,11
D,_,2,12
E,_,2,13
E,_,2,14
E,_,2,15
E,_,2,16
E,_,2,17
E,_,2,18
C,_,2,19
C,_,2,20
C,_,2,21
A,_,2,22
B,_,2,23
A,_,2,24
B,_,2,25
C,_,2,26
C,_,2,27
C,_,2,28
C,_,2,29
C,_,2,30
C,_,2,31
C,_,2,32
C,_,2,33
C,_,2,34
C,_,2,35
C,_,2,36
C,_,2,37
C,_,2,38
A,_,2,39
A,_,2,40
A,_,2,41
C,_,2,42
C,_,2,43
C,_,2,44
C,_,2,45
C,_,2,46
C,_,2,47
C,_,2,48
C,_,2,49
_,_,3,0
A,_,3,1
A,_,3,2
A,_,3,3
A,_,3,4
A,_,3,5
C,_,3,6
C,_,3,7
C,_,3,8
C,_,3,9
C,_,3,10
C,_,3,11
D,_,3,12
C,_,3,13
C,_,3,14
B,_,3,15
B,_,3,16
B,_,3,17
C,_,3,18
C,_,3,19
C,_,3,20
C,_,3,21
C,_,3,22
C,_,3,23
C,_,3,24
C,_,3,25
C,_,3,26
C,_,3,27
C,_,3,28
C,_,3,29
C,_,3,30
C,_,3,31
C,_,3,32
C,_,3,33
C,_,3,34
D,_,3,35
C,_,3,36
C,_,3,37
C,_,3,38
C,_,3,39
C,_,3,40
C,_,3,41
C,_,3,42
C,_,3,43
C,_,3,44
C,_,3,45
C,_,3,46
C,_,3,47
C,_,3,48
C,_,3,49
