episode,step,agent0_rew,agent1_rew
1000, 49950, -76.81101701039786, -76.81101701039786
2000, 99950, -86.27843070491153, -86.27843070491153
3000, 149950, -16.97234956762594, -16.97234956762594
4000, 199950, -11.070116628375299, -11.070116628375299
5000, 249950, -11.067420701183899, -11.067420701183899
6000, 299950, -11.096994899275153, -11.096994899275153
7000, 349950, -10.313595857745717, -10.313595857745717
8000, 399950, -10.368342979006059, -10.368342979006059
9000, 449950, -10.288294577976389, -10.288294577976389
10000, 499950, -10.598630641384844, -10.598630641384844
