energy,attention,episode,step
0.0,-1.0,1,0
0.0,-2.0,1,1
0.0,-3.0,1,2
0.0,-4.0,1,3
-1.0,-4.0,1,4
-2.0,-4.0,1,5
-2.0,-5.0,1,6
-2.0,-6.0,1,7
-2.0,-7.0,1,8
-3.0,-7.0,1,9
-3.0,-8.0,1,10
-3.0,-9.0,1,11
-4.0,-9.0,1,12
-4.0,-10.0,1,13
-5.0,-10.0,1,14
-5.0,-11.0,1,15
-6.0,-11.0,1,16
-7.0,-11.0,1,17
-8.0,-11.0,1,18
-9.0,-11.0,1,19
-10.0,-11.0,1,20
-11.0,-11.0,1,21
-12.0,-11.0,1,22
-13.0,-11.0,1,23
-13.0,-12.0,1,24
-13.0,-13.0,1,25
-13.0,-14.0,1,26
-13.0,-15.0,1,27
-13.0,-16.0,1,28
-13.0,-17.0,1,29
-13.0,-18.0,1,30
-13.0,-19.0,1,31
-13.0,-20.0,1,32
-13.0,-21.0,1,33
-13.0,-22.0,1,34
-13.0,-23.0,1,35
-13.0,-24.0,1,36
-13.0,-25.0,1,37
-13.0,-26.0,1,38
-13.0,-27.0,1,39
-13.0,-28.0,1,40
-13.0,-29.0,1,41
-13.0,-30.0,1,42
-13.0,-31.0,1,43
-13.0,-32.0,1,44
-13.0,-33.0,1,45
-13.0,-34.0,1,46
-13.0,-35.0,1,47
-13.0,-36.0,1,48
-13.0,-37.0,1,49
0.0,-1.0,2,0
-1.0,-1.0,2,1
-1.0,-2.0,2,2
-2.0,-2.0,2,3
-2.0,-3.0,2,4
-3.0,-3.0,2,5
-3.0,-4.0,2,6
-4.0,-4.0,2,7
-4.0,-5.0,2,8
-5.0,-5.0,2,9
-5.0,-6.0,2,10
-6.0,-6.0,2,11
-7.0,-6.0,2,12
-8.0,-6.0,2,13
-9.0,-6.0,2,14
-10.0,-6.0,2,15
-11.0,-6.0,2,16
-12.0,-6.0,2,17
-13.0,-6.0,2,18
-14.0,-6.0,2,19
-15.0,-6.0,2,20
-15.0,-6.0,2,21
-15.0,-7.0,2,22
-15.0,-8.0,2,23
-15.0,-9.0,2,24
-15.0,-10.0,2,25
-15.0,-11.0,2,26
-15.0,-12.0,2,27
-16.0,-12.0,2,28
-17.0,-12.0,2,29
-17.0,-12.0,2,30
-17.0,-12.0,2,31
-17.0,-12.0,2,32
-17.0,-13.0,2,33
-17.0,-13.0,2,34
-17.0,-13.0,2,35
-17.0,-13.0,2,36
-17.0,-13.0,2,37
-17.0,-14.0,2,38
-17.0,-14.0,2,39
-18.0,-14.0,2,40
-18.0,-14.0,2,41
-18.0,-15.0,2,42
-18.0,-16.0,2,43
-18.0,-17.0,2,44
-18.0,-18.0,2,45
-18.0,-19.0,2,46
-18.0,-19.0,2,47
-18.0,-19.0,2,48
-19.0,-19.0,2,49
0.0,-1.0,3,0
-1.0,-1.0,3,1
-1.0,-2.0,3,2
-2.0,-2.0,3,3
-2.0,-3.0,3,4
-3.0,-3.0,3,5
-3.0,-4.0,3,6
-3.0,-5.0,3,7
-4.0,-5.0,3,8
-5.0,-5.0,3,9
-6.0,-5.0,3,10
-7.0,-5.0,3,11
-8.0,-5.0,3,12
-9.0,-5.0,3,13
-10.0,-5.0,3,14
-11.0,-5.0,3,15
-11.0,-6.0,3,16
-12.0,-6.0,3,17
-12.0,-7.0,3,18
-13.0,-7.0,3,19
-14.0,-7.0,3,20
-15.0,-7.0,3,21
-16.0,-7.0,3,22
-17.0,-7.0,3,23
-18.0,-7.0,3,24
-19.0,-7.0,3,25
-20.0,-7.0,3,26
-21.0,-7.0,3,27
-22.0,-7.0,3,28
-23.0,-7.0,3,29
-24.0,-7.0,3,30
-25.0,-7.0,3,31
-26.0,-7.0,3,32
-26.0,-8.0,3,33
