episode,step,agent0_rew
100, 4950, -74.36681397315174
200, 9950, -80.34784996798972
300, 14950, -59.92730833301711
400, 19950, -80.87959647705566
500, 24950, -82.09942701500243
600, 29950, -82.71483490063756
700, 34950, -73.03291510969525
800, 39950, -72.71994088177864
900, 44950, -76.60387676282421
1000, 49950, -73.87174213687567
1100, 54950, -506.41610987137574
1200, 59950, -152.1524029585789
1300, 64950, -237.05748467969184
1400, 69950, -161.63058792731917
1500, 74950, -124.98273349113191
1600, 79950, -118.80403114103889
1700, 84950, -81.35321632307381
1800, 89950, -68.28831274093473
1900, 94950, -52.8495199055598
2000, 99950, -66.38636253153166
2100, 104950, -66.66171970954385
2200, 109950, -87.23751514787538
2300, 114950, -92.31015282905473
2400, 119950, -76.09546148067317
2500, 124950, -47.53602336268343
2600, 129950, -44.59347319873808
2700, 134950, -52.12371884257351
2800, 139950, -51.46906070047995
2900, 144950, -59.007435129131984
3000, 149950, -36.88779156645073
3100, 154950, -42.05194439848784
3200, 159950, -44.21065758606369
3300, 164950, -41.483217803752076
3400, 169950, -52.328156126298865
3500, 174950, -59.83365294301968
3600, 179950, -48.064024834521234
3700, 184950, -36.689680880176205
3800, 189950, -40.812400947798714
3900, 194950, -45.247571602328314
4000, 199950, -44.7959981803578
4100, 204950, -35.48161099879166
4200, 209950, -28.557807635581707
4300, 214950, -32.285797789686086
4400, 219950, -32.1786608292713
4500, 224950, -41.23617995877075
4600, 229950, -34.71386654431117
4700, 234950, -40.20686164393257
4800, 239950, -27.56192408114834
4900, 244950, -31.048792755700898
5000, 249950, -31.1192394230829
5100, 254950, -31.507103796419837
5200, 259950, -28.07713976570288
5300, 264950, -26.371355408440216
5400, 269950, -32.63821406475634
5500, 274950, -27.69845753607576
5600, 279950, -38.124790564373846
5700, 284950, -38.14356335640669
5800, 289950, -29.446303284550527
5900, 294950, -38.51885135395651
6000, 299950, -40.413586761874605
6100, 304950, -37.54031034979486
6200, 309950, -39.88582753633504
6300, 314950, -34.300879172058764
6400, 319950, -32.83178326006393
6500, 324950, -31.381739957443173
6600, 329950, -34.360055639442464
6700, 334950, -26.10174888566415
6800, 339950, -28.311890452671737
6900, 344950, -27.099146429078925
7000, 349950, -32.689533073168874
7100, 354950, -29.612954115941825
7200, 359950, -26.49308799165229
7300, 364950, -29.433286814778924
7400, 369950, -26.431392539633013
7500, 374950, -33.141993140638085
7600, 379950, -30.224813916237398
7700, 384950, -35.179785598645566
7800, 389950, -26.583439502273688
7900, 394950, -33.26106981243763
8000, 399950, -23.90130186174102
8100, 404950, -32.85119631124294
8200, 409950, -33.467041543778315
8300, 414950, -42.519961322682796
8400, 419950, -31.291302094865706
8500, 424950, -21.93722147458499
8600, 429950, -40.74890382556769
8700, 434950, -27.948448922310444
8800, 439950, -30.719597420101987
8900, 444950, -26.928266475832764
9000, 449950, -30.57141684324099
9100, 454950, -29.21675875587412
9200, 459950, -34.25955600589541
9300, 464950, -25.835195050566664
9400, 469950, -26.53167536841516
9500, 474950, -27.20228341130038
9600, 479950, -25.561578570649576
9700, 484950, -37.0451458389611
9800, 489950, -25.710499894932862
9900, 494950, -25.52842924994785
10000, 499950, -40.714731304851874
