energy0,episode,step
-1.0,1,0
-2.0,1,1
-3.0,1,2
-4.0,1,3
-5.0,1,4
-6.0,1,5
-7.0,1,6
-8.0,1,7
-9.0,1,8
-10.0,1,9
-11.0,1,10
-11.0,1,11
-11.0,1,12
-12.0,1,13
-13.0,1,14
-13.0,1,15
-14.0,1,16
-15.0,1,17
-16.0,1,18
-16.0,1,19
-16.0,1,20
-16.0,1,21
-17.0,1,22
-18.0,1,23
-18.0,1,24
-19.0,1,25
-20.0,1,26
-21.0,1,27
-21.0,1,28
-22.0,1,29
-23.0,1,30
-23.0,1,31
-24.0,1,32
-25.0,1,33
-26.0,1,34
-27.0,1,35
-28.0,1,36
-29.0,1,37
-30.0,1,38
-31.0,1,39
-32.0,1,40
-33.0,1,41
-34.0,1,42
-35.0,1,43
-36.0,1,44
-37.0,1,45
-38.0,1,46
-39.0,1,47
-40.0,1,48
-41.0,1,49
-1.0,2,0
-2.0,2,1
-3.0,2,2
-4.0,2,3
-5.0,2,4
-6.0,2,5
-6.0,2,6
-7.0,2,7
-7.0,2,8
-7.0,2,9
-7.0,2,10
-7.0,2,11
-7.0,2,12
-7.0,2,13
-7.0,2,14
-7.0,2,15
-8.0,2,16
-9.0,2,17
-10.0,2,18
-11.0,2,19
-12.0,2,20
-13.0,2,21
-14.0,2,22
-15.0,2,23
-16.0,2,24
-17.0,2,25
-18.0,2,26
-19.0,2,27
-20.0,2,28
-21.0,2,29
-22.0,2,30
-23.0,2,31
-24.0,2,32
-25.0,2,33
-26.0,2,34
-27.0,2,35
-28.0,2,36
-29.0,2,37
-30.0,2,38
-31.0,2,39
-32.0,2,40
-33.0,2,41
-34.0,2,42
-35.0,2,43
-36.0,2,44
-37.0,2,45
-38.0,2,46
-39.0,2,47
-40.0,2,48
-41.0,2,49
-1.0,3,0
-2.0,3,1
-2.0,3,2
-3.0,3,3
-3.0,3,4
-4.0,3,5
-4.0,3,6
-5.0,3,7
-6.0,3,8
-7.0,3,9
-8.0,3,10
-8.0,3,11
-8.0,3,12
-9.0,3,13
-10.0,3,14
-11.0,3,15
-12.0,3,16
-13.0,3,17
-14.0,3,18
-15.0,3,19
-16.0,3,20
-17.0,3,21
-18.0,3,22
-19.0,3,23
-20.0,3,24
-21.0,3,25
-22.0,3,26
-23.0,3,27
-24.0,3,28
-25.0,3,29
-26.0,3,30
-27.0,3,31
-28.0,3,32
-29.0,3,33
-30.0,3,34
-31.0,3,35
-32.0,3,36
-33.0,3,37
-34.0,3,38
-35.0,3,39
-36.0,3,40
-37.0,3,41
-38.0,3,42
-39.0,3,43
-40.0,3,44
-41.0,3,45
-42.0,3,46
-43.0,3,47
-44.0,3,48
-45.0,3,49
-1.0,4,0
-2.0,4,1
-3.0,4,2
-4.0,4,3
-5.0,4,4
-6.0,4,5
-7.0,4,6
-8.0,4,7
-9.0,4,8
-10.0,4,9
-11.0,4,10
-12.0,4,11
-13.0,4,12
-14.0,4,13
-15.0,4,14
-16.0,4,15
-17.0,4,16
-18.0,4,17
-19.0,4,18
-20.0,4,19
-21.0,4,20
-22.0,4,21
-23.0,4,22
-24.0,4,23
-25.0,4,24
-26.0,4,25
-27.0,4,26
-28.0,4,27
-29.0,4,28
-30.0,4,29
-31.0,4,30
-32.0,4,31
-33.0,4,32
-34.0,4,33
-35.0,4,34
-36.0,4,35
-37.0,4,36
-38.0,4,37
-39.0,4,38
-39.0,4,39
-40.0,4,40
-41.0,4,41
-42.0,4,42
-43.0,4,43
-44.0,4,44
-45.0,4,45
-46.0,4,46
-47.0,4,47
-48.0,4,48
-49.0,4,49
-1.0,5,0
-2.0,5,1
-3.0,5,2
-4.0,5,3
-5.0,5,4
-6.0,5,5
-7.0,5,6
-8.0,5,7
-9.0,5,8
-10.0,5,9
-11.0,5,10
-12.0,5,11
-13.0,5,12
-14.0,5,13
-15.0,5,14
-16.0,5,15
-17.0,5,16
-18.0,5,17
-19.0,5,18
-20.0,5,19
-21.0,5,20
-22.0,5,21
-23.0,5,22
-24.0,5,23
-25.0,5,24
-26.0,5,25
-27.0,5,26
-28.0,5,27
-29.0,5,28
-30.0,5,29
-30.0,5,30
-31.0,5,31
-32.0,5,32
-33.0,5,33
-34.0,5,34
-35.0,5,35
-36.0,5,36
-37.0,5,37
-38.0,5,38
-39.0,5,39
-40.0,5,40
-41.0,5,41
-42.0,5,42
-43.0,5,43
-44.0,5,44
-45.0,5,45
-46.0,5,46
-47.0,5,47
-48.0,5,48
-49.0,5,49
