episode,step,agent0_money,agent1_money
100, 4950, -24.626262626262626, -24.151515151515152
200, 9950, -25.04, -23.79
300, 14950, -25.12, -23.62
400, 19950, -24.86, -24.51
500, 24950, -24.57, -24.5
600, 29950, -25.04, -24.45
700, 34950, -24.78, -24.28
800, 39950, -25.01, -23.93
900, 44950, -24.96, -24.25
1000, 49950, -24.6, -23.44
1100, 54950, -26.09, -30.15
1200, 59950, -6.46, -42.17
1300, 64950, -24.96, -22.22
1400, 69950, -32.5, -33.45
1500, 74950, -36.67, -31.0
1600, 79950, -34.48, -11.86
1700, 84950, -29.97, -8.33
1800, 89950, -37.65, -5.62
1900, 94950, -35.98, -6.15
2000, 99950, -32.36, -5.75
2100, 104950, -33.53, -6.35
2200, 109950, -28.07, -6.82
2300, 114950, -21.74, -16.27
2400, 119950, -27.21, -11.72
2500, 124950, -24.42, -14.71
2600, 129950, -24.4, -15.65
2700, 134950, -22.89, -12.96
2800, 139950, -27.71, -21.0
2900, 144950, -29.73, -17.44
3000, 149950, -25.33, -16.64
3100, 154950, -27.07, -23.17
3200, 159950, -29.69, -36.58
3300, 164950, -21.43, -30.16
3400, 169950, -35.26, -28.25
3500, 174950, -24.17, -25.54
3600, 179950, -25.13, -26.0
3700, 184950, -29.12, -16.75
3800, 189950, -30.42, -22.59
3900, 194950, -30.63, -14.95
4000, 199950, -36.7, -22.14
4100, 204950, -26.56, -17.71
4200, 209950, -25.68, -22.0
4300, 214950, -26.34, -16.85
4400, 219950, -45.53, -16.01
4500, 224950, -42.51, -17.93
4600, 229950, -46.17, -18.12
4700, 234950, -47.22, -16.76
4800, 239950, -45.55, -20.09
4900, 244950, -41.12, -19.46
5000, 249950, -43.55, -21.27
5100, 254950, -40.66, -23.1
5200, 259950, -48.33, -34.27
5300, 264950, -47.13, -31.26
5400, 269950, -48.81, -26.68
5500, 274950, -48.76, -32.25
5600, 279950, -48.63, -35.26
5700, 284950, -47.93, -32.68
5800, 289950, -48.93, -28.96
5900, 294950, -48.72, -33.64
6000, 299950, -48.68, -33.42
6100, 304950, -48.98, -35.58
6200, 309950, -48.84, -32.27
6300, 314950, -47.95, -34.97
6400, 319950, -48.45, -36.64
6500, 324950, -47.62, -35.84
6600, 329950, -48.62, -35.7
6700, 334950, -48.54, -37.66
6800, 339950, -48.35, -39.05
6900, 344950, -49.5, -36.18
7000, 349950, -48.76, -40.07
7100, 354950, -48.44, -45.16
7200, 359950, -48.81, -39.81
7300, 364950, -48.68, -41.12
7400, 369950, -48.68, -38.59
7500, 374950, -48.34, -41.83
7600, 379950, -49.01, -40.27
7700, 384950, -47.97, -42.74
7800, 389950, -49.13, -46.17
7900, 394950, -47.8, -41.99
8000, 399950, -47.69, -44.52
8100, 404950, -49.09, -41.98
8200, 409950, -49.16, -43.25
8300, 414950, -48.91, -43.75
8400, 419950, -48.29, -45.53
8500, 424950, -48.14, -44.45
8600, 429950, -48.01, -46.7
8700, 434950, -47.47, -42.2
8800, 439950, -47.9, -44.59
8900, 444950, -48.12, -46.35
9000, 449950, -44.02, -44.17
9100, 454950, -46.89, -46.19
9200, 459950, -47.88, -47.07
9300, 464950, -47.24, -46.92
9400, 469950, -46.54, -42.26
9500, 474950, -45.29, -46.99
9600, 479950, -46.77, -45.07
9700, 484950, -47.61, -46.64
9800, 489950, -41.93, -44.93
9900, 494950, -42.53, -47.48
10000, 499950, -47.97, -46.45
