episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg,agent1_energy_min,agent1_energy_max,agent1_energy_avg,agent2_energy_min,agent2_energy_max,agent2_energy_avg,agent3_energy_min,agent3_energy_max,agent3_energy_avg
200, 9950, -19.492462311557787, -0.4472361809045226, -10.302010050251258, -30.618090452261306, -0.6130653266331658, -15.380000000000006, -30.899497487437184, -0.5879396984924623, -15.543417085427143, -28.00502512562814, -0.6130653266331658, -14.092562814070357
400, 19950, -19.405, -0.46, -10.313499999999998, -30.69, -0.59, -15.382299999999995, -31.045, -0.595, -15.554800000000006, -27.935, -0.54, -13.930399999999997
600, 29950, -18.72, -0.455, -9.906899999999997, -30.915, -0.575, -15.595100000000008, -32.05, -0.605, -16.096699999999995, -26.805, -0.49, -13.368799999999998
800, 39950, -19.735, -0.46, -10.331900000000005, -30.78, -0.575, -15.40390000000001, -31.655, -0.68, -16.00020000000001, -27.68, -0.51, -13.757599999999993
1000, 49950, -19.295, -0.41, -10.2809, -30.945, -0.6, -15.610000000000005, -31.855, -0.535, -15.90709999999999, -27.465, -0.53, -13.789299999999999
1200, 59950, -28.67, -0.545, -14.445200000000002, -14.705, -0.295, -7.290000000000003, -13.26, -0.255, -6.835600000000002, -12.485, -0.25, -6.425900000000004
1400, 69950, -26.28, -0.25, -11.733099999999997, -14.475, -0.59, -8.5912, -24.015, -0.755, -14.160999999999996, -17.83, -0.52, -9.919899999999998
1600, 79950, -0.12, -0.01, -0.07930000000000001, -47.22, -0.97, -24.274500000000025, -39.755, -0.795, -21.0023, -32.3, -0.715, -18.157899999999998
1800, 89950, -0.655, -0.05, -0.46279999999999993, -18.015, -0.68, -10.852600000000004, -38.27, -0.775, -20.268799999999988, -34.25, -0.615, -18.619000000000003
2000, 99950, -3.715, -0.245, -2.5561000000000003, -16.07, -0.62, -9.460699999999997, -39.115, -0.785, -20.2825, -38.11, -0.59, -20.1147
2200, 109950, -7.75, -0.25, -4.245700000000002, -18.74, -0.68, -10.721900000000003, -42.62, -0.735, -21.638300000000005, -37.665, -0.645, -19.092199999999995
2400, 119950, -13.5, -0.355, -7.673900000000002, -7.38, -0.61, -5.123000000000001, -42.81, -0.775, -21.886699999999998, -33.435, -0.47, -16.3307
2600, 129950, -10.735, -0.4, -6.056399999999999, -17.045, -0.74, -10.694499999999996, -41.805, -0.69, -21.70569999999999, -23.82, -0.3, -11.183299999999997
2800, 139950, -18.97, -0.445, -10.023699999999998, -25.975, -0.79, -14.874700000000011, -39.555, -0.77, -21.169600000000006, -30.805, -0.46, -14.905500000000002
3000, 149950, -6.315, -0.21, -3.0462000000000007, -15.35, -0.695, -9.389800000000003, -41.22, -0.8, -21.710000000000004, -39.51, -0.54, -19.109699999999997
