episode,step,agent0_rew,agent1_rew,agent2_rew,agent3_rew
1000, 25408, 2.21, 2.21, 2.21, -11.978909390873302
2000, 52660, 3.63, 3.63, 3.63, -18.518436733600183
3000, 81885, 5.31, 5.31, 5.31, -5.912260793633049
4000, 113217, 24.87, 24.87, 24.87, -26.23701647164917
5000, 146916, 73.21, 73.21, 73.21, -85.74607828253019
6000, 182997, 54.14, 54.14, 54.14, -67.50736504334016
7000, 221756, 40.89, 40.89, 40.89, -58.52633703766292
8000, 263306, 33.64, 33.64, 33.64, -46.735800139232914
9000, 307869, 27.21, 27.21, 27.21, -35.8985666651215
10000, 355637, 27.07, 27.07, 27.07, -37.711484794557705
11000, 406940, 24.98, 24.98, 24.98, -39.3759510927943
12000, 461923, 23.32, 23.32, 23.32, -42.41859744279648
13000, 520889, 25.49, 25.49, 25.49, -45.49441744154389
14000, 584098, 23.31, 23.31, 23.31, -41.40501556668118
15000, 651925, 25.36, 25.36, 25.36, -41.654590929041774
16000, 724634, 23.54, 23.54, 23.54, -40.99270400446029
17000, 802600, 26.03, 26.03, 26.03, -43.95393486292237
18000, 886188, 27.66, 27.66, 27.66, -49.755991039325686
19000, 975835, 34.34, 34.34, 34.34, -60.56825761004089
20000, 1071923, 40.46, 40.46, 40.46, -66.59842800791567
21000, 1174970, 43.89, 43.89, 43.89, -83.00254327476955
22000, 1285436, 53.56, 53.56, 53.56, -98.65715063325126
23000, 1403866, 57.93, 57.93, 57.93, -102.00334368235234
24000, 1530832, 52.71, 52.71, 52.71, -104.09500204643261
25000, 1666959, 56.05, 56.05, 56.05, -99.64244582392034
26000, 1812882, 67.35, 67.35, 67.35, -105.17688282482665
27000, 1969314, 63.6, 63.6, 63.6, -106.10603220209866
28000, 2137004, 67.33, 67.33, 67.33, -122.23454515255942
29000, 2316778, 68.53, 68.53, 68.53, -121.46613067128894
30000, 2509476, 77.99, 77.99, 77.99, -139.61958124359887
31000, 2709475, 79.89, 79.89, 79.89, -149.9064771793278
32000, 2909475, 78.24, 78.24, 78.24, -149.1760223589152
33000, 3109475, 101.54, 101.54, 101.54, -179.9574893060074
34000, 3309475, 109.61, 109.61, 109.61, -200.49459783972043
35000, 3509475, 84.13, 84.13, 84.13, -175.7236319402246
36000, 3709475, 79.56, 79.56, 79.56, -170.50700489020758
37000, 3909475, 93.18, 93.18, 93.18, -165.2730428117626
38000, 4109475, 89.36, 89.36, 89.36, -156.15383513008567
39000, 4309475, 85.51, 85.51, 85.51, -150.5279820229853
40000, 4509475, 95.68, 95.68, 95.68, -166.8117662926587
41000, 4709475, 102.68, 102.68, 102.68, -178.30944181493024
42000, 4909475, 99.79, 99.79, 99.79, -181.3878285361809
43000, 5109475, 100.9, 100.9, 100.9, -170.54054769812535
44000, 5309475, 96.37, 96.37, 96.37, -158.3217657407976
45000, 5509475, 102.71, 102.71, 102.71, -168.05416442102305
46000, 5709475, 97.4, 97.4, 97.4, -168.5110952028173
47000, 5909475, 96.4, 96.4, 96.4, -160.12937422814974
48000, 6109475, 91.2, 91.2, 91.2, -145.2239049924767
49000, 6309475, 94.27, 94.27, 94.27, -147.9903583231686
50000, 6509475, 95.13, 95.13, 95.13, -152.17387386735643
51000, 6709275, 95.48, 95.48, 95.48, -143.50566231482475
52000, 6909275, 98.99, 98.99, 98.99, -154.21829363929248
53000, 7109275, 109.81, 109.81, 109.81, -166.76046523505107
54000, 7309275, 112.91, 112.91, 112.91, -175.35718828277933
55000, 7509275, 106.27, 106.27, 106.27, -170.6801983570281
56000, 7709275, 114.14, 114.14, 114.14, -179.27430026487968
57000, 7909275, 119.09, 119.09, 119.09, -182.63297369156257
58000, 8109275, 107.1, 107.1, 107.1, -163.7340179762289
59000, 8309275, 108.61, 108.61, 108.61, -168.2498255726352
60000, 8509275, 105.62, 105.62, 105.62, -178.0241832127318
61000, 8709275, 108.35, 108.35, 108.35, -169.86102094600722
62000, 8909275, 98.52, 98.52, 98.52, -154.83109324726877
63000, 9109275, 102.77, 102.77, 102.77, -162.21304341867418
64000, 9309275, 105.91, 105.91, 105.91, -167.25544076597936
65000, 9509275, 97.13, 97.13, 97.13, -154.8453360382067
66000, 9709275, 97.85, 97.85, 97.85, -160.12098072519865
67000, 9909275, 97.65, 97.65, 97.65, -151.30885177085392
68000, 10109275, 93.69, 93.69, 93.69, -146.07721658371855
69000, 10309275, 98.86, 98.86, 98.86, -146.236955336021
70000, 10509275, 95.94, 95.94, 95.94, -149.47729042083853
71000, 10709275, 101.24, 101.24, 101.24, -154.81598876565027
72000, 10909275, 104.8, 104.8, 104.8, -158.39585433383306
73000, 11109275, 109.8, 109.8, 109.8, -166.25277970916457
74000, 11309275, 104.35, 104.35, 104.35, -170.82513673801486
75000, 11509275, 100.01, 100.01, 100.01, -157.65732403424306
76000, 11709275, 100.75, 100.75, 100.75, -169.030097365498
77000, 11909275, 94.99, 94.99, 94.99, -153.76735103359962
78000, 12109275, 95.87, 95.87, 95.87, -154.6304463848112
79000, 12309275, 103.9, 103.9, 103.9, -169.11914497479532
80000, 12509275, 96.68, 96.68, 96.68, -157.7225492054279
