episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
1000, 49950, -16.336336336336338, -16.555555555555557, -15.12112112112112, -18.523523523523522
2000, 99950, -13.112, -24.573, -8.106, -16.974
3000, 149950, -10.457, -37.942, -0.457, -43.562
4000, 199950, -5.144, -44.044, -0.101, -48.106
5000, 249950, -8.315, -40.903, -0.058, -48.607
6000, 299950, -12.788, -36.92, -0.144, -46.399
7000, 349950, -16.247, -33.69, -0.396, -42.573
8000, 399950, -43.198, -6.375, -1.129, -43.258
9000, 449950, -48.45, -0.806, -2.845, -43.367
10000, 499950, -49.093, -0.41, -6.813, -41.592
11000, 549950, -48.747, -0.335, -6.783, -42.706
12000, 599950, -48.434, -0.39, -7.734, -42.032
13000, 649950, -48.861, -0.095, -9.479, -40.327
14000, 699950, -49.395, -0.047, -8.798, -41.052
15000, 749950, -49.395, -0.291, -8.33, -41.055
16000, 799950, -49.187, -0.192, -8.313, -40.647
17000, 849950, -47.284, -1.096, -8.212, -41.165
18000, 899950, -45.754, -0.707, -7.408, -41.63
19000, 949950, -45.088, -1.363, -7.331, -41.84
20000, 999950, -45.994, -2.404, -7.094, -42.2
21000, 1049950, -48.087, -1.035, -7.446, -41.855
22000, 1099950, -44.794, -1.859, -8.09, -41.484
23000, 1149950, -44.321, -1.966, -7.615, -41.979
24000, 1199950, -45.125, -2.466, -11.604, -38.136
25000, 1249950, -40.168, -6.937, -11.053, -38.331
26000, 1299950, -38.862, -5.962, -8.531, -41.222
27000, 1349950, -47.004, -2.141, -12.436, -37.222
28000, 1399950, -46.882, -2.41, -10.996, -37.528
29000, 1449950, -48.605, -0.143, -9.036, -39.99
30000, 1499950, -46.137, -1.961, -8.873, -41.021
31000, 1549950, -47.624, -0.707, -11.576, -38.106
32000, 1599950, -46.714, -2.011, -7.648, -42.049
33000, 1649950, -47.489, -1.886, -9.418, -40.509
34000, 1699950, -45.724, -3.549, -6.932, -42.742
35000, 1749950, -46.15, -1.681, -7.557, -41.294
36000, 1799950, -48.916, -0.662, -7.701, -41.851
37000, 1849950, -45.274, -1.008, -7.507, -42.252
38000, 1899950, -42.127, -0.766, -8.372, -40.726
39000, 1949950, -37.011, -8.33, -7.829, -40.962
40000, 1999950, -37.717, -6.348, -10.057, -39.682
