episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg,agent1_energy_min,agent1_energy_max,agent1_energy_avg,agent2_energy_min,agent2_energy_max,agent2_energy_avg,agent3_energy_min,agent3_energy_max,agent3_energy_avg
200, 9950, -27.7035175879397, -0.5226130653266332, -14.051658291457281, -22.231155778894472, -0.45226130653266333, -11.441306532663315, -20.28643216080402, -0.41708542713567837, -10.351557788944724, -23.7035175879397, -0.5477386934673367, -12.175477386934674
400, 19950, -26.61, -0.525, -13.436899999999989, -22.635, -0.46, -11.580400000000004, -20.795, -0.47, -10.580200000000005, -23.5, -0.48, -12.041000000000007
600, 29950, -27.41, -0.54, -13.840399999999994, -22.645, -0.455, -11.645100000000008, -21.07, -0.435, -10.838, -23.23, -0.51, -11.967400000000005
800, 39950, -26.52, -0.55, -13.464300000000001, -23.075, -0.46, -11.979999999999997, -20.365, -0.415, -10.431000000000001, -23.605, -0.475, -12.173399999999994
1000, 49950, -27.015, -0.525, -13.607700000000007, -23.455, -0.475, -11.959800000000005, -21.345, -0.385, -10.771299999999995, -23.62, -0.465, -12.164300000000003
1200, 59950, -27.945, -0.66, -14.5841, -14.13, -0.34, -7.8771, -17.255, -0.285, -8.787700000000001, -20.49, -0.475, -10.7662
1400, 69950, -34.37, -0.655, -17.3884, -20.925, -0.375, -10.7533, -15.0, -0.615, -9.037400000000003, -18.085, -0.3, -9.995099999999999
1600, 79950, -32.62, -0.72, -17.465, -14.02, -0.23, -7.174400000000003, -6.955, -0.345, -4.4552000000000005, -17.09, -0.45, -9.648000000000003
1800, 89950, -26.04, -0.69, -14.333100000000012, -12.485, -0.115, -5.7723, -9.935, -0.335, -5.024699999999999, -19.875, -0.39, -9.999199999999995
2000, 99950, -20.72, -0.71, -11.863900000000003, -3.74, -0.035, -1.6486999999999998, -7.15, -0.315, -3.868599999999998, -4.515, -0.22, -2.5800000000000005
2200, 109950, -17.2, -0.74, -10.295900000000001, -3.545, -0.02, -1.7789, -9.71, -0.31, -4.898500000000001, -3.37, -0.16, -1.9227
2400, 119950, -14.825, -0.665, -9.257800000000001, -3.79, -0.045, -2.2034999999999996, -6.39, -0.35, -3.8550999999999997, -8.46, -0.34, -4.518400000000001
2600, 129950, -14.855, -0.61, -9.2627, -1.97, -0.015, -1.1709000000000005, -7.39, -0.38, -4.233100000000002, -9.87, -0.42, -5.5188
