episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
100, 4950, -16.08080808080808, -16.565656565656564, -15.707070707070708, -17.88888888888889
200, 9950, -16.46, -16.41, -15.48, -17.93
300, 14950, -15.75, -17.03, -16.23, -18.04
400, 19950, -16.05, -16.76, -15.76, -18.03
500, 24950, -16.55, -16.94, -16.04, -17.67
600, 29950, -16.83, -16.51, -16.52, -17.38
700, 34950, -16.78, -16.73, -15.96, -18.05
800, 39950, -16.56, -16.92, -16.21, -17.15
900, 44950, -16.39, -16.63, -15.73, -17.55
1000, 49950, -16.33, -16.77, -15.84, -17.74
1100, 54950, -15.85, -22.48, -10.71, -16.52
1200, 59950, -16.94, -6.36, -27.87, -10.37
1300, 64950, -22.66, -22.72, -3.14, -3.76
1400, 69950, -10.56, -10.49, -18.19, -2.2
1500, 74950, -1.83, -0.75, -5.1, -5.18
1600, 79950, -0.88, -2.14, -2.46, -12.09
1700, 84950, -0.89, -2.26, -1.41, -20.85
1800, 89950, -0.14, -0.19, -1.99, -13.47
1900, 94950, -1.23, -2.36, -1.87, -10.27
2000, 99950, -0.38, -2.73, -0.51, -6.94
2100, 104950, -0.58, -0.13, -2.41, -10.61
2200, 109950, -0.26, -0.26, -12.59, -14.88
2300, 114950, -1.42, -0.44, -17.63, -13.77
2400, 119950, -0.14, -0.29, -30.26, -7.21
2500, 124950, -7.29, -29.6, -47.07, -1.95
2600, 129950, -8.15, -36.87, -31.54, -4.57
2700, 134950, -6.74, -38.75, -42.65, -1.87
2800, 139950, -11.41, -35.42, -40.87, -2.45
2900, 144950, -4.89, -42.6, -42.73, -1.69
3000, 149950, -8.0, -39.43, -41.53, -1.15
3100, 154950, -8.7, -37.54, -39.77, -1.26
3200, 159950, -5.67, -41.86, -41.67, -0.68
3300, 164950, -32.19, -16.43, -40.32, -0.36
3400, 169950, -15.42, -33.09, -38.28, -0.96
3500, 174950, -5.5, -41.95, -42.24, -1.58
3600, 179950, -11.73, -37.09, -45.37, -0.78
3700, 184950, -13.99, -34.03, -47.54, -1.42
3800, 189950, -12.23, -36.44, -45.85, -1.85
3900, 194950, -16.25, -32.96, -47.83, -1.81
4000, 199950, -12.6, -35.98, -47.28, -1.59
4100, 204950, -15.13, -32.86, -46.33, -3.18
4200, 209950, -17.13, -31.23, -47.62, -1.71
4300, 214950, -16.07, -31.9, -46.02, -2.83
4400, 219950, -16.1, -31.31, -47.6, -1.75
4500, 224950, -8.49, -35.25, -46.82, -1.54
4600, 229950, -16.92, -30.64, -46.0, -1.07
4700, 234950, -17.94, -29.84, -47.23, -1.24
4800, 239950, -15.9, -32.08, -47.53, -1.65
4900, 244950, -21.49, -26.48, -45.38, -2.87
5000, 249950, -22.72, -25.08, -48.1, -1.4
5100, 254950, -25.96, -22.96, -47.79, -1.5
5200, 259950, -19.68, -26.63, -48.28, -1.33
5300, 264950, -21.48, -25.43, -48.43, -1.13
5400, 269950, -21.99, -25.34, -47.74, -1.63
5500, 274950, -28.95, -20.18, -47.76, -1.93
5600, 279950, -35.81, -13.55, -48.42, -1.5
5700, 284950, -23.5, -24.6, -48.72, -1.13
5800, 289950, -29.62, -19.23, -47.56, -1.94
5900, 294950, -27.7, -21.48, -48.35, -1.0
6000, 299950, -26.95, -22.08, -48.7, -0.63
6100, 304950, -25.7, -23.11, -48.1, -1.11
6200, 309950, -26.89, -22.82, -48.4, -1.1
6300, 314950, -26.04, -23.5, -47.84, -1.2
6400, 319950, -32.26, -17.24, -48.07, -0.51
6500, 324950, -35.25, -14.46, -46.12, -0.18
6600, 329950, -36.52, -13.14, -46.4, -0.31
6700, 334950, -33.86, -16.04, -45.2, -0.97
6800, 339950, -38.88, -10.74, -48.12, -1.51
6900, 344950, -32.41, -17.01, -48.59, -1.13
