episode,step,agent0_rew,agent1_rew,agent2_rew
1000, 24975, -71.04206847266919, -35.97830092964446, -35.06376754302472
2000, 49975, -94.40226949717879, -49.003696188015084, -45.398573309163694
3000, 74975, -38.771429867369484, -20.40905135670394, -18.362378510665536
4000, 99975, -23.158911430906407, -11.785612681119153, -11.373298749787253
5000, 124975, -22.998267040484812, -11.614739634632672, -11.383527405852139
6000, 149975, -21.451195895734287, -10.922862473124262, -10.528333422610025
7000, 174975, -21.927987234272177, -11.325874204688233, -10.602113029583943
8000, 199975, -20.59966235860462, -10.650429828655462, -9.949232529949157
9000, 224975, -21.42057827653842, -10.229399415769008, -11.191178860769414
10000, 249975, -21.11868674158616, -10.658652345075476, -10.460034396510686
11000, 274975, -19.52003334143208, -10.010976114722707, -9.509057226709366
12000, 299975, -21.556890459318154, -11.706495130482008, -9.850395328836145
13000, 324975, -21.216734811482617, -11.589400119671318, -9.627334691811303
14000, 349975, -21.650135869268833, -12.344461592202412, -9.305674277066421
15000, 374975, -21.65995582071402, -11.736606770408915, -9.923349050305104
16000, 399975, -22.518256337117336, -11.805031010709005, -10.713225326408331
17000, 424975, -22.786826290248033, -11.272267288394998, -11.514559001853035
18000, 449975, -22.94007779065366, -11.908759067509544, -11.031318723144114
19000, 474975, -22.386273138874188, -11.365543431768208, -11.02072970710598
20000, 499975, -21.701087733756427, -10.526169033054655, -11.174918700701772
21000, 524975, -22.12854487418253, -10.671863440882033, -11.4566814333005
22000, 549975, -21.52381989214386, -10.574705330784528, -10.94911456135933
23000, 574975, -22.325553143128964, -11.079266341555266, -11.246286801573696
24000, 599975, -22.327223058373036, -11.09975645465944, -11.227466603713598
25000, 624975, -22.355074328571078, -10.868741149415515, -11.486333179155563
26000, 649975, -21.462375861508175, -10.505432662296927, -10.956943199211251
27000, 674975, -22.752556956993306, -11.42075916149712, -11.331797795496186
28000, 699975, -21.973978821397008, -10.848392027052514, -11.125586794344498
29000, 724975, -22.937115506851995, -12.269394228339362, -10.667721278512632
30000, 749975, -23.322099372947527, -12.35858533699279, -10.963514035954736
31000, 774975, -22.62938098008919, -11.749771296306688, -10.8796096837825
32000, 799975, -21.933538214095677, -11.48192887294912, -10.451609341146556
33000, 824975, -21.869247787350876, -10.930440132182383, -10.938807655168494
34000, 849975, -22.32140684462322, -11.480026331575068, -10.841380513048149
35000, 874975, -21.771180054754687, -11.515757555392716, -10.255422499361975
36000, 899975, -20.50796564573452, -10.459913490992173, -10.048052154742345
37000, 924975, -20.659507331703143, -10.736201675615279, -9.923305656087864
38000, 949975, -20.855502292791375, -10.869328554813052, -9.986173737978323
39000, 974975, -19.4559693406056, -9.802833247197238, -9.653136093408362
40000, 999975, -19.57945974253497, -9.685796616442293, -9.893663126092674
41000, 1024975, -20.219192012270252, -10.3331308936701, -9.886061118600152
42000, 1049975, -20.915964363302436, -10.689665721890767, -10.226298641411667
43000, 1074975, -20.54314733761224, -11.123640670760087, -9.419506666852152
44000, 1099975, -20.01625866674212, -10.178793341000194, -9.837465325741928
45000, 1124975, -20.75151595687686, -10.512756295797084, -10.238759661079778
46000, 1149975, -21.55866175124977, -11.311641715517172, -10.247020035732602
47000, 1174975, -21.023129646458017, -10.638509170538189, -10.38462047591983
48000, 1199975, -20.933051588639515, -10.533487922272812, -10.3995636663667
49000, 1224975, -20.046275586486864, -10.04382900192748, -10.002446584559385
50000, 1249975, -19.95232972468109, -10.0596600039216, -9.892669720759496
