episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
1000, 49950, -15.86886886886887, -16.62862862862863, -16.403403403403402, -16.164164164164163
2000, 99950, -11.451, -8.614, -11.001, -23.471
3000, 149950, -22.42, -5.881, -24.104, -17.792
4000, 199950, -17.483, -20.726, -44.222, -3.043
5000, 249950, -22.601, -16.655, -43.121, -2.894
6000, 299950, -39.996, -3.319, -46.123, -0.551
7000, 349950, -39.577, -0.817, -46.286, -0.575
8000, 399950, -41.906, -0.427, -47.437, -0.419
9000, 449950, -46.113, -0.203, -48.892, -0.359
10000, 499950, -44.478, -0.446, -49.387, -0.39
11000, 549950, -44.356, -0.408, -49.4, -0.406
12000, 599950, -43.924, -0.698, -49.287, -0.37
13000, 649950, -44.636, -0.512, -49.31, -0.448
14000, 699950, -45.958, -0.659, -49.223, -0.699
15000, 749950, -47.171, -0.345, -48.967, -0.998
16000, 799950, -47.624, -0.707, -46.628, -1.942
17000, 849950, -48.59, -0.283, -44.971, -2.168
18000, 899950, -48.231, -0.257, -43.48, -1.272
19000, 949950, -48.322, -0.377, -46.973, -0.893
20000, 999950, -48.513, -0.15, -46.905, -0.989
21000, 1049950, -48.652, -0.146, -43.626, -1.461
22000, 1099950, -48.67, -0.124, -43.938, -2.768
23000, 1149950, -49.232, -0.122, -47.506, -0.636
24000, 1199950, -49.312, -0.046, -46.411, -1.786
25000, 1249950, -42.399, -0.698, -43.835, -1.935
26000, 1299950, -34.962, -0.328, -48.06, -1.232
27000, 1349950, -38.798, -0.14, -47.265, -1.906
28000, 1399950, -38.802, -0.401, -46.33, -2.383
29000, 1449950, -39.423, -1.217, -41.24, -2.339
30000, 1499950, -37.204, -5.402, -45.033, -2.112
31000, 1549950, -43.227, -2.318, -39.727, -0.325
32000, 1599950, -41.065, -0.361, -38.309, -5.11
33000, 1649950, -43.488, -0.409, -38.084, -2.187
34000, 1699950, -40.186, -0.77, -33.085, -0.547
35000, 1749950, -44.487, -0.927, -27.437, -0.811
36000, 1799950, -46.307, -1.337, -28.224, -0.649
37000, 1849950, -44.417, -0.931, -23.034, -0.937
38000, 1899950, -41.546, -1.745, -23.467, -1.111
39000, 1949950, -46.525, -0.125, -25.956, -0.991
40000, 1999950, -44.25, -1.371, -25.313, -0.472
