episode,step,agent0_money,agent1_money
100, 4950, -24.606060606060606, -25.050505050505052
200, 9950, -24.09, -25.05
300, 14950, -23.45, -25.57
400, 19950, -24.56, -25.14
500, 24950, -24.08, -25.28
600, 29950, -25.33, -25.56
700, 34950, -24.19, -26.03
800, 39950, -23.99, -24.72
900, 44950, -24.1, -25.56
1000, 49950, -24.57, -25.38
1100, 54950, -15.45, -21.09
1200, 59950, -15.67, -25.1
1300, 64950, -37.13, -39.23
1400, 69950, -28.24, -27.38
1500, 74950, -19.03, -20.1
1600, 79950, -15.92, -32.68
1700, 84950, -11.44, -35.59
1800, 89950, -2.08, -38.28
1900, 94950, -1.67, -40.19
2000, 99950, -3.02, -36.8
2100, 104950, -8.58, -42.75
2200, 109950, -12.17, -35.19
2300, 114950, -6.83, -42.9
2400, 119950, -13.56, -43.94
2500, 124950, -14.33, -42.68
2600, 129950, -9.36, -44.25
2700, 134950, -6.29, -48.5
2800, 139950, -3.95, -46.21
2900, 144950, -9.57, -45.51
3000, 149950, -7.21, -45.29
3100, 154950, -5.54, -46.65
3200, 159950, -8.72, -47.67
3300, 164950, -6.66, -48.81
3400, 169950, -5.57, -47.78
3500, 174950, -7.38, -49.22
3600, 179950, -11.5, -47.2
3700, 184950, -13.53, -48.67
3800, 189950, -13.0, -46.57
3900, 194950, -9.96, -45.73
4000, 199950, -10.52, -48.32
4100, 204950, -11.75, -49.5
4200, 209950, -12.37, -47.52
4300, 214950, -17.95, -47.47
4400, 219950, -12.69, -46.7
4500, 224950, -20.13, -45.98
4600, 229950, -30.21, -46.44
4700, 234950, -29.59, -47.4
4800, 239950, -21.82, -48.55
4900, 244950, -24.44, -47.66
5000, 249950, -25.16, -48.71
5100, 254950, -30.61, -48.98
5200, 259950, -22.49, -48.03
5300, 264950, -22.14, -48.02
5400, 269950, -37.95, -48.35
5500, 274950, -31.26, -49.07
5600, 279950, -42.78, -48.9
5700, 284950, -42.69, -48.13
5800, 289950, -45.61, -47.88
5900, 294950, -30.77, -48.63
6000, 299950, -35.05, -48.96
6100, 304950, -36.92, -49.41
6200, 309950, -44.19, -48.14
6300, 314950, -44.89, -49.05
6400, 319950, -42.51, -49.27
6500, 324950, -45.85, -48.61
6600, 329950, -44.34, -48.99
6700, 334950, -45.01, -49.52
6800, 339950, -39.51, -49.66
6900, 344950, -40.5, -48.75
7000, 349950, -40.49, -49.41
7100, 354950, -44.62, -49.38
7200, 359950, -42.2, -49.23
7300, 364950, -39.07, -49.42
7400, 369950, -40.63, -48.9
7500, 374950, -44.46, -48.91
7600, 379950, -45.25, -49.03
7700, 384950, -44.17, -48.92
7800, 389950, -46.46, -49.13
7900, 394950, -48.59, -49.52
8000, 399950, -41.3, -49.15
8100, 404950, -39.9, -48.81
8200, 409950, -47.74, -48.91
8300, 414950, -48.76, -49.29
8400, 419950, -49.23, -48.68
8500, 424950, -48.64, -49.03
8600, 429950, -47.72, -49.09
8700, 434950, -49.52, -49.28
8800, 439950, -48.97, -49.34
8900, 444950, -49.26, -48.02
9000, 449950, -49.29, -48.55
9100, 454950, -49.25, -49.49
9200, 459950, -49.05, -48.81
9300, 464950, -49.08, -48.87
9400, 469950, -48.73, -48.51
9500, 474950, -49.45, -49.56
9600, 479950, -49.73, -48.72
9700, 484950, -49.31, -49.4
9800, 489950, -48.28, -49.66
9900, 494950, -48.29, -49.53
10000, 499950, -48.66, -49.5
