episode,step,agent0_rew
100, 4950, -128.98223186788687
200, 9950, -138.54947084679955
300, 14950, -134.89942496349397
400, 19950, -138.11160797400018
500, 24950, -142.26281562172397
600, 29950, -133.79696193963235
700, 34950, -146.50482401457518
800, 39950, -136.1811506861278
900, 44950, -143.40936795211417
1000, 49950, -131.4962666416878
1100, 54950, -470.60519306964665
1200, 59950, -114.5995406424683
1300, 64950, -243.5155282790269
1400, 69950, -310.01278428073977
1500, 74950, -99.9338310683149
1600, 79950, -79.65158566099625
1700, 84950, -62.30649846668851
1800, 89950, -72.65743272804141
1900, 94950, -68.22548658330935
2000, 99950, -61.94007588209866
2100, 104950, -55.61726467310018
2200, 109950, -57.712350387069115
2300, 114950, -70.22808990457561
2400, 119950, -59.94513103793004
2500, 124950, -70.82183387038125
2600, 129950, -64.52142565124262
2700, 134950, -64.7665022458288
2800, 139950, -61.162866826973506
2900, 144950, -62.23497830136001
3000, 149950, -72.68292724353567
3100, 154950, -60.02536312974491
3200, 159950, -67.25332389697498
3300, 164950, -68.042624031343
3400, 169950, -68.93359931023036
3500, 174950, -73.03517842560393
3600, 179950, -67.67177798373628
3700, 184950, -71.31539400070315
3800, 189950, -62.74499270437881
3900, 194950, -65.38688219537931
4000, 199950, -70.68917137406306
4100, 204950, -70.5861417052619
4200, 209950, -62.852885884443566
4300, 214950, -62.25395322836479
4400, 219950, -79.33226022142306
4500, 224950, -53.16042282425538
4600, 229950, -67.18017340192675
4700, 234950, -64.95065952407211
4800, 239950, -63.77043267296313
4900, 244950, -74.43540829281699
5000, 249950, -57.064252342820446
5100, 254950, -60.68240769414708
5200, 259950, -74.02365019750405
5300, 264950, -62.98728261452195
5400, 269950, -65.25448755729334
5500, 274950, -60.06681548202118
5600, 279950, -74.1072203546056
5700, 284950, -60.56895025693488
5800, 289950, -71.23957827958237
5900, 294950, -63.870688913028935
6000, 299950, -60.08783986231672
6100, 304950, -72.58069409079764
6200, 309950, -62.17838893504758
6300, 314950, -59.50960094922945
6400, 319950, -61.84366493428531
6500, 324950, -59.81200960817601
6600, 329950, -66.11062950802445
6700, 334950, -64.68498305003622
6800, 339950, -63.52305734396021
6900, 344950, -59.20171353079958
7000, 349950, -69.73994035653921
7100, 354950, -60.24924037470889
7200, 359950, -61.448813721905275
7300, 364950, -63.93369223769758
7400, 369950, -67.32555640496716
7500, 374950, -67.87551469486333
7600, 379950, -64.16580208207934
7700, 384950, -69.74249632133007
7800, 389950, -67.8107184155263
7900, 394950, -61.152286880889626
8000, 399950, -60.535646250653926
8100, 404950, -75.22122428026034
8200, 409950, -74.65182897035292
8300, 414950, -63.10790206680651
8400, 419950, -73.27079084488177
8500, 424950, -60.55677901606612
8600, 429950, -64.93179616194544
8700, 434950, -65.11370860055037
8800, 439950, -60.50762439272375
8900, 444950, -64.62705266399469
9000, 449950, -66.79157478610273
9100, 454950, -59.92709077018941
9200, 459950, -63.26000096379798
9300, 464950, -60.30829716551281
9400, 469950, -75.31405233117599
9500, 474950, -61.13592012523943
9600, 479950, -76.18608589502081
9700, 484950, -63.70242397937211
9800, 489950, -68.08688856877035
9900, 494950, -66.70974326371396
10000, 499950, -70.01211451305228
