energy0,episode,step
0.0,1,0
0.0,1,1
0.0,1,2
0.0,1,3
0.0,1,4
0.0,1,5
0.0,1,6
0.0,1,7
0.0,1,8
0.0,1,9
0.0,1,10
0.0,1,11
0.0,1,12
0.0,1,13
0.0,1,14
0.0,1,15
0.0,1,16
0.0,1,17
0.0,1,18
0.0,1,19
0.0,1,20
0.0,1,21
0.0,1,22
0.0,1,23
0.0,1,24
0.0,1,25
0.0,1,26
0.0,1,27
0.0,1,28
0.0,1,29
0.0,1,30
0.0,1,31
0.0,1,32
0.0,1,33
0.0,1,34
0.0,1,35
0.0,1,36
0.0,1,37
0.0,1,38
0.0,1,39
0.0,1,40
0.0,1,41
0.0,1,42
0.0,1,43
0.0,1,44
0.0,1,45
0.0,1,46
0.0,1,47
0.0,1,48
0.0,1,49
-1.0,2,0
-2.0,2,1
-3.0,2,2
-4.0,2,3
-4.0,2,4
-4.0,2,5
-4.0,2,6
-4.0,2,7
-4.0,2,8
-5.0,2,9
-5.0,2,10
-5.0,2,11
-5.0,2,12
-5.0,2,13
-5.0,2,14
-5.0,2,15
-5.0,2,16
-5.0,2,17
-5.0,2,18
-5.0,2,19
-5.0,2,20
-5.0,2,21
-5.0,2,22
-5.0,2,23
-5.0,2,24
-5.0,2,25
-5.0,2,26
-5.0,2,27
-5.0,2,28
-5.0,2,29
-5.0,2,30
-5.0,2,31
-5.0,2,32
-5.0,2,33
-5.0,2,34
-5.0,2,35
-5.0,2,36
-5.0,2,37
-5.0,2,38
-5.0,2,39
-5.0,2,40
-5.0,2,41
-5.0,2,42
-5.0,2,43
-5.0,2,44
-5.0,2,45
-5.0,2,46
-5.0,2,47
-5.0,2,48
-5.0,2,49
-1.0,3,0
-2.0,3,1
-3.0,3,2
-3.0,3,3
-3.0,3,4
-3.0,3,5
-3.0,3,6
-3.0,3,7
-4.0,3,8
-4.0,3,9
-4.0,3,10
-4.0,3,11
-4.0,3,12
-4.0,3,13
-4.0,3,14
-4.0,3,15
-4.0,3,16
-4.0,3,17
-4.0,3,18
-4.0,3,19
-4.0,3,20
-4.0,3,21
-4.0,3,22
-4.0,3,23
-4.0,3,24
-4.0,3,25
-4.0,3,26
-4.0,3,27
-4.0,3,28
-5.0,3,29
-5.0,3,30
-5.0,3,31
-6.0,3,32
-7.0,3,33
-7.0,3,34
-7.0,3,35
-8.0,3,36
-9.0,3,37
-9.0,3,38
-10.0,3,39
-11.0,3,40
-11.0,3,41
-11.0,3,42
-12.0,3,43
-12.0,3,44
-13.0,3,45
-13.0,3,46
-14.0,3,47
-14.0,3,48
-14.0,3,49
0.0,4,0
0.0,4,1
0.0,4,2
0.0,4,3
0.0,4,4
0.0,4,5
0.0,4,6
0.0,4,7
0.0,4,8
0.0,4,9
0.0,4,10
0.0,4,11
0.0,4,12
0.0,4,13
0.0,4,14
0.0,4,15
0.0,4,16
0.0,4,17
0.0,4,18
0.0,4,19
0.0,4,20
0.0,4,21
0.0,4,22
0.0,4,23
0.0,4,24
0.0,4,25
0.0,4,26
0.0,4,27
0.0,4,28
0.0,4,29
0.0,4,30
0.0,4,31
0.0,4,32
0.0,4,33
0.0,4,34
0.0,4,35
0.0,4,36
0.0,4,37
0.0,4,38
0.0,4,39
0.0,4,40
0.0,4,41
0.0,4,42
0.0,4,43
0.0,4,44
0.0,4,45
0.0,4,46
0.0,4,47
0.0,4,48
0.0,4,49
-1.0,5,0
-2.0,5,1
-3.0,5,2
-4.0,5,3
-5.0,5,4
-6.0,5,5
-7.0,5,6
-7.0,5,7
-8.0,5,8
-8.0,5,9
-9.0,5,10
-9.0,5,11
-9.0,5,12
-9.0,5,13
-9.0,5,14
-9.0,5,15
-9.0,5,16
-9.0,5,17
-9.0,5,18
-9.0,5,19
-9.0,5,20
-9.0,5,21
-9.0,5,22
-9.0,5,23
-9.0,5,24
-9.0,5,25
-9.0,5,26
-9.0,5,27
-9.0,5,28
-9.0,5,29
-9.0,5,30
-9.0,5,31
-9.0,5,32
-9.0,5,33
-9.0,5,34
-9.0,5,35
-9.0,5,36
-9.0,5,37
-9.0,5,38
-9.0,5,39
-9.0,5,40
-9.0,5,41
-9.0,5,42
-9.0,5,43
-9.0,5,44
-9.0,5,45
-9.0,5,46
-9.0,5,47
-9.0,5,48
-9.0,5,49
