energy0,episode,step
0.0,1,0
-1.0,1,1
-2.0,1,2
-3.0,1,3
-3.0,1,4
-3.0,1,5
-3.0,1,6
-3.0,1,7
-3.0,1,8
-3.0,1,9
-3.0,1,10
-3.0,1,11
-3.0,1,12
-3.0,1,13
-3.0,1,14
-3.0,1,15
-3.0,1,16
-3.0,1,17
-3.0,1,18
-3.0,1,19
-3.0,1,20
-3.0,1,21
-3.0,1,22
-3.0,1,23
-3.0,1,24
-3.0,1,25
-3.0,1,26
-3.0,1,27
-3.0,1,28
-3.0,1,29
-3.0,1,30
-3.0,1,31
-3.0,1,32
-3.0,1,33
-3.0,1,34
-3.0,1,35
-3.0,1,36
-3.0,1,37
-3.0,1,38
-3.0,1,39
-3.0,1,40
-3.0,1,41
-3.0,1,42
-3.0,1,43
-3.0,1,44
-3.0,1,45
-3.0,1,46
-3.0,1,47
-3.0,1,48
-3.0,1,49
0.0,2,0
0.0,2,1
0.0,2,2
-1.0,2,3
-1.0,2,4
-2.0,2,5
-2.0,2,6
-2.0,2,7
-2.0,2,8
-2.0,2,9
-2.0,2,10
-2.0,2,11
-2.0,2,12
-2.0,2,13
-2.0,2,14
-2.0,2,15
-2.0,2,16
-2.0,2,17
-2.0,2,18
-2.0,2,19
-2.0,2,20
-2.0,2,21
-2.0,2,22
-2.0,2,23
-2.0,2,24
-2.0,2,25
-2.0,2,26
-2.0,2,27
-2.0,2,28
-2.0,2,29
-2.0,2,30
-2.0,2,31
-2.0,2,32
-2.0,2,33
-2.0,2,34
-2.0,2,35
-2.0,2,36
-2.0,2,37
-2.0,2,38
-2.0,2,39
-2.0,2,40
-2.0,2,41
-2.0,2,42
-2.0,2,43
-2.0,2,44
-2.0,2,45
-2.0,2,46
-2.0,2,47
-2.0,2,48
-2.0,2,49
0.0,3,0
0.0,3,1
-1.0,3,2
-2.0,3,3
-2.0,3,4
-2.0,3,5
-2.0,3,6
-2.0,3,7
-2.0,3,8
-2.0,3,9
-2.0,3,10
-2.0,3,11
-2.0,3,12
-2.0,3,13
-2.0,3,14
-2.0,3,15
-2.0,3,16
-2.0,3,17
-2.0,3,18
-2.0,3,19
-2.0,3,20
-2.0,3,21
-2.0,3,22
-2.0,3,23
-2.0,3,24
-2.0,3,25
-2.0,3,26
-2.0,3,27
-2.0,3,28
-2.0,3,29
-2.0,3,30
-2.0,3,31
-2.0,3,32
-2.0,3,33
-2.0,3,34
-2.0,3,35
-2.0,3,36
-2.0,3,37
-2.0,3,38
-2.0,3,39
-2.0,3,40
-2.0,3,41
-2.0,3,42
-2.0,3,43
-2.0,3,44
-2.0,3,45
-2.0,3,46
-2.0,3,47
-2.0,3,48
-2.0,3,49
0.0,4,0
0.0,4,1
0.0,4,2
0.0,4,3
-1.0,4,4
-1.0,4,5
-1.0,4,6
-1.0,4,7
-1.0,4,8
-1.0,4,9
-1.0,4,10
-1.0,4,11
-1.0,4,12
-1.0,4,13
-1.0,4,14
-1.0,4,15
-1.0,4,16
-1.0,4,17
-1.0,4,18
-1.0,4,19
-1.0,4,20
-1.0,4,21
-1.0,4,22
-1.0,4,23
-1.0,4,24
-1.0,4,25
-1.0,4,26
-1.0,4,27
-1.0,4,28
-1.0,4,29
-2.0,4,30
-3.0,4,31
-3.0,4,32
-3.0,4,33
-3.0,4,34
-3.0,4,35
-3.0,4,36
-3.0,4,37
-3.0,4,38
-3.0,4,39
-3.0,4,40
-3.0,4,41
-3.0,4,42
-3.0,4,43
-3.0,4,44
-3.0,4,45
-3.0,4,46
-3.0,4,47
-3.0,4,48
-3.0,4,49
0.0,5,0
0.0,5,1
0.0,5,2
-1.0,5,3
-1.0,5,4
-1.0,5,5
-1.0,5,6
-1.0,5,7
-1.0,5,8
-1.0,5,9
-1.0,5,10
-1.0,5,11
-1.0,5,12
-1.0,5,13
-1.0,5,14
-1.0,5,15
-1.0,5,16
-1.0,5,17
-1.0,5,18
-1.0,5,19
-1.0,5,20
-1.0,5,21
-1.0,5,22
-1.0,5,23
-1.0,5,24
-1.0,5,25
-1.0,5,26
-1.0,5,27
-1.0,5,28
-1.0,5,29
-1.0,5,30
-1.0,5,31
-1.0,5,32
-1.0,5,33
-1.0,5,34
-1.0,5,35
-1.0,5,36
-1.0,5,37
-1.0,5,38
-1.0,5,39
-1.0,5,40
-1.0,5,41
-1.0,5,42
-1.0,5,43
-1.0,5,44
-1.0,5,45
-1.0,5,46
-1.0,5,47
-1.0,5,48
-1.0,5,49
