energy0,episode,step
-1.0,1,0
-2.0,1,1
-3.0,1,2
-4.0,1,3
-5.0,1,4
-6.0,1,5
-7.0,1,6
-8.0,1,7
-9.0,1,8
-10.0,1,9
-11.0,1,10
-12.0,1,11
-13.0,1,12
-14.0,1,13
-14.0,1,14
-14.0,1,15
-14.0,1,16
-14.0,1,17
-14.0,1,18
-14.0,1,19
-14.0,1,20
-14.0,1,21
-15.0,1,22
-15.0,1,23
-15.0,1,24
-15.0,1,25
-15.0,1,26
-15.0,1,27
-15.0,1,28
-15.0,1,29
-15.0,1,30
-15.0,1,31
-15.0,1,32
-16.0,1,33
-16.0,1,34
-16.0,1,35
-16.0,1,36
-16.0,1,37
-16.0,1,38
-16.0,1,39
-16.0,1,40
-16.0,1,41
-17.0,1,42
-18.0,1,43
-18.0,1,44
-18.0,1,45
-18.0,1,46
-18.0,1,47
-18.0,1,48
-18.0,1,49
-1.0,2,0
-2.0,2,1
-3.0,2,2
-4.0,2,3
-5.0,2,4
-6.0,2,5
-7.0,2,6
-8.0,2,7
-9.0,2,8
-10.0,2,9
-11.0,2,10
-12.0,2,11
-13.0,2,12
-14.0,2,13
-15.0,2,14
-16.0,2,15
-16.0,2,16
-17.0,2,17
-18.0,2,18
-19.0,2,19
-20.0,2,20
-21.0,2,21
-21.0,2,22
-21.0,2,23
-21.0,2,24
-22.0,2,25
-23.0,2,26
-24.0,2,27
-24.0,2,28
-24.0,2,29
-25.0,2,30
-25.0,2,31
-25.0,2,32
-25.0,2,33
-25.0,2,34
-25.0,2,35
-25.0,2,36
-26.0,2,37
-27.0,2,38
-28.0,2,39
-29.0,2,40
-30.0,2,41
-30.0,2,42
-30.0,2,43
-31.0,2,44
-32.0,2,45
-32.0,2,46
-32.0,2,47
-32.0,2,48
-32.0,2,49
-1.0,3,0
-2.0,3,1
-3.0,3,2
-4.0,3,3
-5.0,3,4
-6.0,3,5
-7.0,3,6
-8.0,3,7
-9.0,3,8
-10.0,3,9
-10.0,3,10
-10.0,3,11
-10.0,3,12
-11.0,3,13
-11.0,3,14
-11.0,3,15
-11.0,3,16
-11.0,3,17
-11.0,3,18
-11.0,3,19
-11.0,3,20
-11.0,3,21
-11.0,3,22
-11.0,3,23
-11.0,3,24
-11.0,3,25
-11.0,3,26
-11.0,3,27
-11.0,3,28
-11.0,3,29
-11.0,3,30
-11.0,3,31
-12.0,3,32
-12.0,3,33
-12.0,3,34
-12.0,3,35
-12.0,3,36
-12.0,3,37
-12.0,3,38
-12.0,3,39
-12.0,3,40
-12.0,3,41
-12.0,3,42
-12.0,3,43
-13.0,3,44
-13.0,3,45
-13.0,3,46
-14.0,3,47
-15.0,3,48
-16.0,3,49
-1.0,4,0
-2.0,4,1
-3.0,4,2
-4.0,4,3
-5.0,4,4
-6.0,4,5
-7.0,4,6
-8.0,4,7
-9.0,4,8
-10.0,4,9
-10.0,4,10
-10.0,4,11
-10.0,4,12
-10.0,4,13
-10.0,4,14
-10.0,4,15
-10.0,4,16
-10.0,4,17
-10.0,4,18
-10.0,4,19
-10.0,4,20
-10.0,4,21
-10.0,4,22
-10.0,4,23
-10.0,4,24
-10.0,4,25
-10.0,4,26
-10.0,4,27
-10.0,4,28
-10.0,4,29
-10.0,4,30
-10.0,4,31
-10.0,4,32
-10.0,4,33
-10.0,4,34
-10.0,4,35
-10.0,4,36
-10.0,4,37
-10.0,4,38
-10.0,4,39
-10.0,4,40
-10.0,4,41
-10.0,4,42
-10.0,4,43
-10.0,4,44
-10.0,4,45
-10.0,4,46
-10.0,4,47
-10.0,4,48
-10.0,4,49
-1.0,5,0
-2.0,5,1
-3.0,5,2
-4.0,5,3
-4.0,5,4
-4.0,5,5
-4.0,5,6
-4.0,5,7
-4.0,5,8
-4.0,5,9
-4.0,5,10
-4.0,5,11
-4.0,5,12
-4.0,5,13
-4.0,5,14
-4.0,5,15
-4.0,5,16
-4.0,5,17
-4.0,5,18
-4.0,5,19
-4.0,5,20
-4.0,5,21
-4.0,5,22
-4.0,5,23
-5.0,5,24
-6.0,5,25
-6.0,5,26
-6.0,5,27
-7.0,5,28
-7.0,5,29
-7.0,5,30
-8.0,5,31
-8.0,5,32
-8.0,5,33
-8.0,5,34
-9.0,5,35
-9.0,5,36
-9.0,5,37
-9.0,5,38
-10.0,5,39
-11.0,5,40
-11.0,5,41
-11.0,5,42
-11.0,5,43
-11.0,5,44
-12.0,5,45
-13.0,5,46
-13.0,5,47
-13.0,5,48
-13.0,5,49
