act0,act1,act2,act3,act4,act5,act6,episode,step
8.69028088964878e-14,1.0,8.359282883951824e-12,4.2316143129697906e-14,1.243676656884768e-13,0.9999996423721313,3.2091588764160406e-07,1,0
2.3160230677721216e-11,1.0,1.8263734968826384e-09,2.1291282972790704e-11,1.0590984755864952e-09,0.9999896287918091,1.0398954145784955e-05,1,1
4.970365097278773e-08,0.9999970197677612,6.562431167367322e-07,1.9876569012922118e-07,2.074774329230422e-06,0.9995170831680298,0.0004829021927434951,1,2
5.642124989435615e-08,0.9999982118606567,9.7106976681971e-07,3.208658370112971e-07,4.914622877549846e-07,0.9909109473228455,0.009089034982025623,1,3
8.871275895216968e-06,0.9968001842498779,7.060249117785133e-06,0.0029048859141767025,0.0002790331491269171,0.9975858926773071,0.0024141280446201563,1,4
4.574346235131088e-07,0.20925824344158173,2.5452786189816834e-07,0.7646968960762024,0.026044124737381935,0.9999786615371704,2.1333209588192403e-05,1,5
0.00013444131764117628,0.5746188163757324,2.4402588678640313e-06,0.4251399040222168,0.00010439172183396295,0.9999943971633911,5.589506145042833e-06,1,6
0.0035716304555535316,0.8383849263191223,0.15799622237682343,3.8773894630139694e-05,8.424318366451189e-06,0.999997615814209,2.343972028029384e-06,1,7
6.547925750055583e-06,0.20622219145298004,0.7930147051811218,0.00026386723038740456,0.0004927056143060327,0.9994983673095703,0.0005016782670281827,1,8
0.008743977174162865,0.8622357249259949,0.10872039943933487,0.00486372597515583,0.015436154790222645,0.9993745684623718,0.000625454296823591,1,9
0.0033440059050917625,0.21750302612781525,0.7538270950317383,0.024612313136458397,0.0007136168424040079,0.9984629154205322,0.001537084928713739,1,10
7.641646675438096e-07,9.987671364797279e-05,6.064464628252608e-07,1.9385151972528547e-07,0.9998985528945923,0.9999306201934814,6.934287375770509e-05,1,11
6.537061562994495e-05,0.0003553754067979753,6.492737156804651e-05,4.164473921264289e-06,0.9995101690292358,0.9979807734489441,0.0020192693918943405,1,12
0.0007939080824144185,0.001614072360098362,0.025592396035790443,0.6117072105407715,0.3602924644947052,0.9999903440475464,9.665463949204423e-06,1,13
0.00024882808793336153,0.0003974316641688347,0.8236731886863708,0.006181376054883003,0.16949914395809174,0.9961035251617432,0.003896491602063179,1,14
0.016521012410521507,0.025394191965460777,0.18924763798713684,0.004316979553550482,0.7645202279090881,0.9988849759101868,0.0011150127975270152,1,15
0.3141586184501648,0.629651665687561,0.026035616174340248,0.01068783737719059,0.01946624554693699,0.9915692210197449,0.008430825546383858,1,16
0.2958802580833435,0.00842538382858038,0.6215534806251526,0.015803102403879166,0.05833776295185089,0.9764354825019836,0.023564500734210014,1,17
0.05468808859586716,0.45239588618278503,0.007201637141406536,0.0059279631823301315,0.4797864854335785,0.9994935989379883,0.000506427139043808,1,18
0.1754702776670456,0.6052967309951782,0.1853746473789215,0.01034613698720932,0.02351219765841961,0.9986549615859985,0.0013449863763526082,1,19
0.033842429518699646,0.033558204770088196,0.9044561386108398,0.0005293067079037428,0.027613971382379532,0.9990170001983643,0.000982958939857781,1,20
0.014745458960533142,0.9703769683837891,0.006328132003545761,0.0027799445670098066,0.005769472569227219,0.999110996723175,0.0008889560704119503,1,21
0.0954204648733139,0.00674082525074482,0.8626697063446045,0.023486290127038956,0.011682688258588314,0.9998526573181152,0.00014734336582478136,1,22
0.019333599135279655,0.970874011516571,0.006950404495000839,0.001647896016947925,0.0011941514676436782,0.9855050444602966,0.014494911767542362,1,23
0.006103441584855318,0.0025901026092469692,0.32201921939849854,0.03243126720190048,0.6368560194969177,0.9999839067459106,1.604437238711398e-05,1,24
1.4176443073665723e-05,3.909848146577133e-06,0.004230932332575321,0.0002810939331538975,0.9954699277877808,0.9997615218162537,0.00023851715377531946,1,25
