episode,step,agent0_rew,agent1_rew,agent2_rew,agent3_rew
1000, 25408, 1.62, 1.62, 1.62, -8.737866409687136
2000, 52660, 5.21, 5.21, 5.21, -11.923112883721762
3000, 81885, 4.5, 4.5, 4.5, -4.834917718966417
4000, 113217, 5.61, 5.61, 5.61, -5.811835789273028
5000, 146916, 14.57, 14.57, 14.57, -15.37522479149985
6000, 182997, 56.22, 56.22, 56.22, -61.66239759889673
7000, 221756, 42.27, 42.27, 42.27, -81.60445268836699
8000, 263306, 49.37, 49.37, 49.37, -78.86491082259467
9000, 307869, 33.62, 33.62, 33.62, -55.49247919540393
10000, 355637, 20.12, 20.12, 20.12, -44.694346217503735
11000, 406940, 16.69, 16.69, 16.69, -43.69601792641851
12000, 461923, 15.29, 15.29, 15.29, -34.31549389721782
13000, 520889, 17.19, 17.19, 17.19, -39.34860032523467
14000, 584098, 14.13, 14.13, 14.13, -40.35039538663837
15000, 651925, 14.82, 14.82, 14.82, -38.950184029814196
16000, 724634, 16.13, 16.13, 16.13, -39.77953849548741
17000, 802600, 18.95, 18.95, 18.95, -37.040898065734446
18000, 886188, 22.26, 22.26, 22.26, -42.55502878030158
19000, 975835, 21.42, 21.42, 21.42, -44.15593950894495
20000, 1071923, 26.95, 26.95, 26.95, -54.15614104537725
21000, 1174970, 38.42, 38.42, 38.42, -61.34446372794402
22000, 1285436, 35.16, 35.16, 35.16, -66.80017959286998
23000, 1403866, 45.57, 45.57, 45.57, -74.72083158983723
24000, 1530832, 42.54, 42.54, 42.54, -64.61191763556073
25000, 1666959, 49.01, 49.01, 49.01, -71.23446755037256
26000, 1812882, 49.26, 49.26, 49.26, -73.81605633195706
27000, 1969314, 42.42, 42.42, 42.42, -72.26966689917766
28000, 2137004, 42.77, 42.77, 42.77, -67.29622469715719
29000, 2316778, 57.39, 57.39, 57.39, -87.53724792435085
30000, 2509476, 74.11, 74.11, 74.11, -111.19549034453941
31000, 2709475, 88.97, 88.97, 88.97, -132.3500840241613
32000, 2909475, 81.03, 81.03, 81.03, -121.04115121347857
33000, 3109475, 84.14, 84.14, 84.14, -140.78084618230722
34000, 3309475, 75.88, 75.88, 75.88, -127.75185493021858
35000, 3509475, 73.22, 73.22, 73.22, -114.30438815881585
36000, 3709475, 77.47, 77.47, 77.47, -117.97852620413542
37000, 3909475, 69.96, 69.96, 69.96, -106.2008253768984
38000, 4109475, 71.62, 71.62, 71.62, -110.08857184561799
39000, 4309475, 76.05, 76.05, 76.05, -122.65127882468275
40000, 4509475, 77.66, 77.66, 77.66, -118.74742131819582
41000, 4709475, 87.48, 87.48, 87.48, -128.20296750156226
42000, 4909475, 82.5, 82.5, 82.5, -125.81473667442076
43000, 5109475, 84.65, 84.65, 84.65, -122.06408267480225
44000, 5309475, 82.83, 82.83, 82.83, -124.64206503482016
45000, 5509475, 80.61, 80.61, 80.61, -123.63095202357441
46000, 5709475, 77.8, 77.8, 77.8, -126.83631638285964
47000, 5909475, 141.45, 141.45, 141.45, -372.69999812505307
48000, 6109475, 79.93, 79.93, 79.93, -159.08773039495
49000, 6309475, 70.96, 70.96, 70.96, -158.7138904972243
50000, 6509475, 56.41, 56.41, 56.41, -113.1368998089137
51000, 6709475, 66.74, 66.74, 66.74, -109.22452758412892
52000, 6909475, 59.17, 59.17, 59.17, -107.02621718173903
53000, 7109475, 66.25, 66.25, 66.25, -119.15912208697407
