episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min,agent2_energy_min,agent2_attention_min,agent3_energy_min,agent3_attention_min
1000, 49950, -16.84884884884885, -17.244244244244243, -15.995995995995996, -15.597597597597598, -14.807807807807809, -18.77177177177177, -17.634634634634633, -16.73273273273273
2000, 99950, -15.31, -17.323, -10.192, -18.75, -10.268, -25.521, -11.718, -18.785
3000, 149950, -8.104, -35.508, -9.903, -33.209, -8.887, -34.949, -4.705, -10.85
4000, 199950, -2.476, -45.947, -6.516, -42.279, -8.988, -38.822, -10.456, -24.155
5000, 249950, -2.596, -42.987, -6.918, -42.352, -8.861, -38.59, -12.041, -36.281
6000, 299950, -2.078, -43.428, -7.557, -41.844, -7.736, -40.276, -10.624, -38.906
7000, 349950, -3.388, -43.809, -10.047, -39.579, -7.424, -41.085, -11.65, -36.87
8000, 399950, -2.36, -45.472, -6.981, -42.504, -4.92, -43.396, -10.955, -37.909
9000, 449950, -2.892, -45.012, -8.374, -41.199, -4.543, -44.204, -13.737, -35.18
10000, 499950, -3.595, -45.124, -9.917, -39.785, -4.655, -44.788, -17.506, -30.609
11000, 549950, -4.831, -43.977, -19.299, -30.36, -5.545, -44.046, -13.398, -35.583
12000, 599950, -4.302, -44.679, -23.929, -25.747, -5.137, -44.542, -12.684, -36.458
13000, 649950, -3.353, -45.741, -31.907, -17.855, -3.349, -46.44, -16.638, -32.452
14000, 699950, -3.204, -46.286, -31.623, -17.941, -2.834, -46.871, -17.396, -31.396
15000, 749950, -2.161, -47.213, -31.924, -17.896, -2.303, -47.54, -25.398, -23.126
16000, 799950, -3.105, -45.979, -35.714, -13.862, -3.126, -46.556, -26.8, -21.598
17000, 849950, -2.947, -46.453, -39.66, -9.996, -2.12, -47.647, -24.785, -23.428
18000, 899950, -2.579, -46.834, -41.351, -8.171, -2.957, -46.775, -23.301, -22.873
19000, 949950, -1.183, -47.883, -42.896, -6.852, -2.908, -46.712, -28.091, -17.48
20000, 999950, -1.264, -48.225, -38.37, -11.435, -3.245, -46.268, -25.704, -18.916
21000, 1049950, -0.817, -48.832, -36.224, -13.581, -2.586, -46.71, -32.184, -13.073
22000, 1099950, -1.024, -48.676, -36.398, -13.47, -2.533, -46.909, -37.973, -6.12
23000, 1149950, -1.151, -48.578, -31.105, -18.323, -2.656, -46.61, -38.302, -3.691
24000, 1199950, -1.616, -48.126, -20.568, -23.088, -3.184, -46.24, -33.709, -6.546
25000, 1249950, -1.41, -48.294, -17.633, -19.756, -2.918, -46.225, -20.254, -13.241
26000, 1299950, -1.43, -48.204, -15.569, -18.658, -3.34, -45.806, -22.526, -12.503
27000, 1349950, -1.746, -48.03, -14.936, -14.821, -4.991, -44.514, -23.302, -11.341
28000, 1399950, -1.739, -47.82, -17.029, -14.464, -2.663, -45.921, -25.174, -11.736
29000, 1449950, -2.323, -47.265, -19.367, -11.883, -3.953, -45.307, -16.539, -15.161
30000, 1499950, -1.225, -48.36, -16.27, -11.427, -3.966, -45.954, -15.418, -18.74
31000, 1549950, -1.649, -47.817, -19.532, -11.776, -5.8, -44.172, -17.071, -17.864
32000, 1599950, -1.799, -47.841, -18.082, -11.425, -5.16, -44.815, -17.911, -19.498
33000, 1649950, -1.984, -47.812, -17.35, -12.3, -3.578, -46.34, -16.431, -21.668
34000, 1699950, -2.931, -46.938, -19.325, -6.996, -4.511, -45.454, -16.389, -18.636
35000, 1749950, -2.376, -47.562, -19.596, -4.859, -3.999, -45.941, -15.139, -18.755
36000, 1799950, -1.932, -48.042, -17.839, -4.595, -4.429, -45.016, -15.836, -15.623
37000, 1849950, -3.035, -46.809, -21.999, -3.712, -6.965, -42.791, -23.621, -8.742
38000, 1899950, -1.407, -48.506, -18.715, -8.006, -2.849, -47.139, -21.961, -11.874
39000, 1949950, -1.449, -48.419, -17.16, -13.573, -2.812, -47.171, -25.039, -6.602
40000, 1999950, -1.923, -47.635, -17.106, -11.986, -2.839, -47.15, -18.942, -10.641
