episode,step,agent0_money,agent1_money
200, 9950, -26.256281407035175, -30.70854271356784
400, 19950, -26.44, -30.825
600, 29950, -26.435, -31.04
800, 39950, -26.63, -30.655
1000, 49950, -26.025, -31.055
1200, 59950, -29.91, -33.765
1400, 69950, -29.59, -36.655
1600, 79950, -15.97, -29.045
1800, 89950, -2.88, -10.775
2000, 99950, -1.95, -8.03
2200, 109950, -0.44, -10.425
2400, 119950, -1.13, -7.19
2600, 129950, -0.305, -10.955
2800, 139950, -0.365, -12.265
3000, 149950, -0.34, -9.94
3200, 159950, -1.86, -9.055
3400, 169950, -4.835, -6.73
3600, 179950, -4.51, -9.32
3800, 189950, -5.44, -9.76
4000, 199950, -4.34, -7.845
4200, 209950, -13.345, -10.07
4400, 219950, -8.76, -7.195
4600, 229950, -12.185, -11.82
4800, 239950, -11.36, -9.925
5000, 249950, -30.155, -16.425
5200, 259950, -37.8, -22.32
5400, 269950, -41.09, -21.41
5600, 279950, -44.445, -18.48
5800, 289950, -39.475, -24.795
6000, 299950, -43.22, -23.07
6200, 309950, -47.8, -25.245
6400, 319950, -46.695, -18.635
6600, 329950, -46.25, -17.42
6800, 339950, -45.445, -13.05
7000, 349950, -44.19, -15.995
7200, 359950, -46.01, -15.845
7400, 369950, -45.4, -14.84
7600, 379950, -44.805, -12.54
7800, 389950, -44.94, -12.83
8000, 399950, -45.275, -12.725
8200, 409950, -45.35, -11.64
8400, 419950, -45.965, -12.28
8600, 429950, -46.27, -13.68
8800, 439950, -44.535, -16.89
9000, 449950, -41.93, -13.345
9200, 459950, -39.335, -13.035
9400, 469950, -40.57, -13.96
9600, 479950, -42.68, -12.87
9800, 489950, -44.155, -19.23
10000, 499950, -44.285, -14.87
10200, 509950, -40.78, -14.805
10400, 519950, -43.305, -16.195
10600, 529950, -41.945, -16.96
10800, 539950, -45.73, -16.045
11000, 549950, -46.815, -15.135
11200, 559950, -46.94, -12.705
11400, 569950, -47.64, -11.58
11600, 579950, -46.805, -13.295
11800, 589950, -46.355, -15.76
12000, 599950, -45.315, -12.72
12200, 609950, -42.09, -13.735
12400, 619950, -46.565, -10.86
12600, 629950, -47.405, -10.34
12800, 639950, -46.835, -11.07
13000, 649950, -43.09, -11.6
13200, 659950, -43.315, -10.99
13400, 669950, -44.44, -15.5
13600, 679950, -42.4, -14.38
13800, 689950, -38.75, -13.535
14000, 699950, -45.475, -15.445
14200, 709950, -39.975, -13.21
14400, 719950, -40.405, -18.91
14600, 729950, -41.92, -17.55
14800, 739950, -42.635, -16.765
15000, 749950, -38.325, -15.77
15200, 759950, -40.0, -18.495
15400, 769950, -43.985, -15.865
15600, 779950, -42.02, -20.445
15800, 789950, -38.905, -14.855
16000, 799950, -30.625, -13.0
16200, 809950, -26.855, -14.86
16400, 819950, -31.035, -12.125
16600, 829950, -33.785, -11.18
16800, 839950, -34.535, -13.75
17000, 849950, -31.55, -13.335
17200, 859950, -38.62, -15.0
17400, 869950, -37.54, -17.275
17600, 879950, -34.665, -18.055
17800, 889950, -35.655, -15.53
18000, 899950, -36.68, -19.07
18200, 909950, -37.035, -16.23
18400, 919950, -33.885, -16.445
18600, 929950, -39.96, -16.47
18800, 939950, -35.47, -15.53
19000, 949950, -34.595, -17.52
19200, 959950, -36.415, -22.2
19400, 969950, -38.99, -17.695
19600, 979950, -39.18, -19.165
19800, 989950, -40.745, -21.245
20000, 999950, -39.47, -23.59
