episode,step,agent0_money,agent1_money
100, 4950, -30.19191919191919, -22.818181818181817
200, 9950, -29.74, -22.61
300, 14950, -30.09, -23.37
400, 19950, -30.65, -23.13
500, 24950, -29.82, -22.85
600, 29950, -31.19, -23.03
700, 34950, -29.9, -23.37
800, 39950, -30.38, -23.66
900, 44950, -30.7, -23.11
1000, 49950, -30.34, -23.67
1100, 54950, -32.92, -24.26
1200, 59950, -35.39, -13.46
1300, 64950, -23.99, -21.97
1400, 69950, -32.41, -32.82
1500, 74950, -36.54, -34.86
1600, 79950, -32.4, -28.24
1700, 84950, -33.89, -31.21
1800, 89950, -17.96, -31.58
1900, 94950, -31.16, -28.83
2000, 99950, -36.04, -39.04
2100, 104950, -36.86, -39.7
2200, 109950, -29.85, -40.15
2300, 114950, -39.85, -41.03
2400, 119950, -22.54, -45.28
2500, 124950, -29.32, -46.31
2600, 129950, -26.76, -48.04
2700, 134950, -28.31, -47.36
2800, 139950, -26.34, -47.98
2900, 144950, -22.47, -46.64
3000, 149950, -28.04, -48.72
3100, 154950, -28.06, -48.72
3200, 159950, -27.07, -46.23
3300, 164950, -24.63, -47.41
3400, 169950, -27.38, -46.16
3500, 174950, -16.67, -47.01
3600, 179950, -20.37, -47.79
3700, 184950, -25.55, -48.71
3800, 189950, -15.06, -48.1
3900, 194950, -10.18, -48.28
4000, 199950, -16.49, -48.44
4100, 204950, -15.12, -48.97
4200, 209950, -22.75, -49.22
4300, 214950, -19.52, -49.38
4400, 219950, -18.41, -48.7
4500, 224950, -16.52, -49.61
4600, 229950, -17.03, -49.24
4700, 234950, -12.42, -49.2
4800, 239950, -12.4, -49.7
4900, 244950, -11.52, -49.53
5000, 249950, -11.95, -49.55
5100, 254950, -13.08, -49.56
5200, 259950, -12.14, -47.88
5300, 264950, -10.58, -47.64
5400, 269950, -13.5, -49.4
5500, 274950, -18.37, -48.89
5600, 279950, -17.45, -48.78
5700, 284950, -14.73, -49.69
5800, 289950, -23.68, -49.82
5900, 294950, -28.0, -49.4
6000, 299950, -19.42, -46.1
6100, 304950, -21.4, -49.33
6200, 309950, -17.58, -47.55
6300, 314950, -34.08, -42.3
6400, 319950, -12.35, -49.49
6500, 324950, -17.53, -49.51
6600, 329950, -13.99, -48.09
6700, 334950, -16.28, -49.76
6800, 339950, -8.14, -49.07
6900, 344950, -17.73, -42.47
7000, 349950, -20.93, -34.49
7100, 354950, -28.14, -36.09
7200, 359950, -16.68, -37.78
7300, 364950, -20.74, -40.73
7400, 369950, -17.78, -34.78
7500, 374950, -22.62, -43.46
7600, 379950, -19.74, -40.98
7700, 384950, -18.82, -38.64
7800, 389950, -19.08, -37.67
7900, 394950, -17.64, -40.37
8000, 399950, -22.88, -36.23
8100, 404950, -21.28, -38.15
8200, 409950, -19.25, -37.64
8300, 414950, -17.31, -37.44
8400, 419950, -23.2, -37.07
8500, 424950, -20.63, -41.59
8600, 429950, -24.24, -38.12
8700, 434950, -21.6, -37.29
8800, 439950, -16.76, -38.77
8900, 444950, -25.72, -37.95
9000, 449950, -26.45, -37.4
9100, 454950, -22.78, -33.99
9200, 459950, -27.8, -32.5
9300, 464950, -21.39, -36.05
9400, 469950, -23.07, -38.44
9500, 474950, -17.03, -37.93
9600, 479950, -18.71, -36.71
9700, 484950, -24.92, -39.25
9800, 489950, -14.46, -37.71
9900, 494950, -19.04, -39.55
10000, 499950, -20.13, -38.18
