episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
100, 4950, -15.505050505050505, -18.09090909090909, -14.777777777777779, -20.555555555555557
200, 9950, -16.09, -17.49, -15.16, -20.93
300, 14950, -15.79, -17.5, -15.34, -20.63
400, 19950, -15.71, -17.93, -15.49, -20.21
500, 24950, -15.51, -18.4, -15.28, -19.95
600, 29950, -15.94, -17.66, -15.04, -20.85
700, 34950, -15.57, -18.46, -15.42, -20.24
800, 39950, -16.02, -17.82, -15.0, -19.84
900, 44950, -15.38, -18.23, -15.27, -21.35
1000, 49950, -15.61, -17.87, -15.56, -20.11
1100, 54950, -22.35, -12.98, -14.71, -22.23
1200, 59950, -23.45, -14.34, -8.18, -20.17
1300, 64950, -10.95, -3.17, -27.35, -9.1
1400, 69950, -28.31, -6.12, -15.45, -4.25
1500, 74950, -25.24, -6.02, -5.97, -9.18
1600, 79950, -15.47, -6.45, -2.51, -23.04
1700, 84950, -24.51, -5.52, -17.85, -19.78
1800, 89950, -27.15, -2.14, -19.64, -13.93
1900, 94950, -27.55, -1.25, -21.89, -12.71
2000, 99950, -25.47, -1.39, -14.57, -26.75
2100, 104950, -32.16, -0.54, -15.78, -22.73
2200, 109950, -26.42, -2.6, -15.8, -26.59
2300, 114950, -31.41, -1.18, -11.36, -24.44
2400, 119950, -41.47, -0.3, -14.64, -28.72
2500, 124950, -41.29, -0.23, -23.24, -23.86
2600, 129950, -44.82, -0.37, -13.38, -31.71
2700, 134950, -46.49, -0.15, -27.26, -16.58
2800, 139950, -44.92, -0.14, -29.03, -17.89
2900, 144950, -46.76, -0.16, -22.56, -24.94
3000, 149950, -47.58, -0.16, -19.74, -29.58
3100, 154950, -47.71, -0.15, -21.94, -27.06
3200, 159950, -45.23, -0.18, -41.52, -5.03
3300, 164950, -44.79, -0.07, -40.96, -7.59
3400, 169950, -45.75, -0.07, -33.55, -16.2
3500, 174950, -47.98, -0.11, -35.13, -14.03
3600, 179950, -48.13, -0.06, -42.84, -6.41
3700, 184950, -48.69, -0.05, -43.49, -5.81
