episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
100, 4950, -16.444444444444443, -16.444444444444443, -17.292929292929294, -16.707070707070706
200, 9950, -17.3, -16.05, -16.86, -16.69
300, 14950, -16.59, -16.77, -17.16, -16.34
400, 19950, -16.78, -15.98, -17.37, -16.25
500, 24950, -16.42, -16.43, -16.68, -17.22
600, 29950, -16.72, -16.56, -17.96, -16.43
700, 34950, -16.11, -16.63, -17.64, -16.21
800, 39950, -16.74, -16.3, -17.82, -16.25
900, 44950, -16.37, -16.54, -17.7, -16.0
1000, 49950, -16.65, -16.64, -17.83, -16.31
1100, 54950, -14.46, -18.23, -29.79, -6.72
1200, 59950, -19.87, -29.46, -1.28, -30.25
1300, 64950, -21.55, -24.07, -22.43, -15.7
1400, 69950, -28.31, -5.41, -12.74, -11.96
1500, 74950, -25.87, -5.84, -17.64, -0.36
1600, 79950, -0.59, -35.02, -29.39, -3.44
1700, 84950, -0.24, -31.36, -1.78, -20.75
1800, 89950, -0.26, -42.86, -2.56, -20.86
1900, 94950, -0.34, -49.15, -1.12, -24.61
2000, 99950, -1.97, -47.42, -0.82, -17.19
2100, 104950, -2.45, -46.05, -0.94, -17.24
2200, 109950, -4.22, -43.39, -5.79, -19.85
2300, 114950, -6.15, -41.31, -6.59, -30.15
2400, 119950, -4.38, -44.29, -9.37, -26.42
2500, 124950, -6.87, -41.32, -7.12, -22.0
2600, 129950, -6.07, -41.74, -4.94, -36.79
2700, 134950, -3.67, -43.87, -7.31, -31.87
2800, 139950, -9.7, -39.59, -8.19, -34.03
2900, 144950, -3.26, -45.6, -8.29, -34.76
3000, 149950, -6.47, -43.18, -9.71, -31.74
3100, 154950, -4.48, -45.1, -1.01, -42.01
3200, 159950, -2.2, -47.58, -5.38, -41.23
3300, 164950, -5.08, -44.4, -9.35, -38.94
3400, 169950, -10.1, -39.5, -13.06, -34.01
3500, 174950, -10.22, -39.31, -23.51, -23.36
3600, 179950, -10.41, -39.06, -16.16, -31.35
3700, 184950, -12.3, -36.66, -18.58, -29.25
3800, 189950, -13.08, -36.08, -22.44, -24.9
3900, 194950, -12.08, -36.57, -29.84, -15.95
4000, 199950, -20.77, -28.22, -37.13, -8.71
4100, 204950, -17.04, -31.82, -37.49, -6.2
