episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg,agent1_energy_min,agent1_energy_max,agent1_energy_avg
200, 9950, -19.99497487437186, -0.45226130653266333, -10.600000000000005, -22.7035175879397, -0.457286432160804, -11.75095477386934
400, 19950, -20.005, -0.435, -10.4166, -22.66, -0.505, -11.764100000000006
600, 29950, -19.79, -0.435, -10.360199999999997, -22.17, -0.495, -11.485499999999996
800, 39950, -19.75, -0.46, -10.298599999999997, -22.52, -0.55, -11.593899999999993
1000, 49950, -20.095, -0.415, -10.425499999999998, -22.365, -0.515, -11.477399999999996
1200, 59950, -28.72, -0.62, -15.060699999999992, -21.945, -0.49, -11.223899999999997
1400, 69950, -22.46, -0.25, -10.759499999999997, -31.795, -0.66, -16.364200000000004
1600, 79950, -10.685, -0.115, -4.576899999999999, -12.73, -0.135, -5.070499999999997
1800, 89950, -17.09, -0.15, -6.905100000000004, -7.91, -0.115, -3.3328000000000015
2000, 99950, -6.05, -0.02, -2.3612000000000006, -5.78, -0.075, -2.4750999999999994
2200, 109950, -4.385, -0.025, -1.713, -1.74, -0.065, -1.0807
2400, 119950, -8.285, -0.075, -3.5294000000000016, -2.91, -0.07, -1.6601000000000001
2600, 129950, -4.425, -0.055, -2.0536, -1.125, -0.075, -0.7482999999999997
2800, 139950, -4.985, -0.075, -2.3998999999999997, -4.56, -0.145, -2.3376000000000006
3000, 149950, -6.535, -0.085, -2.9612999999999983, -2.38, -0.095, -1.3560000000000003
3200, 159950, -7.04, -0.085, -3.2525999999999993, -4.85, -0.085, -2.3864999999999994
3400, 169950, -10.645, -0.09, -4.5717000000000025, -8.08, -0.165, -3.885300000000001
3600, 179950, -12.69, -0.115, -5.7806000000000015, -13.845, -0.215, -6.409099999999998
3800, 189950, -20.575, -0.225, -9.379899999999997, -6.185, -0.1, -2.9212999999999996
4000, 199950, -21.19, -0.2, -9.594699999999996, -10.98, -0.135, -4.989500000000001
4200, 209950, -32.27, -0.325, -14.874399999999998, -9.12, -0.155, -4.048500000000001
4400, 219950, -30.15, -0.43, -14.127099999999992, -5.38, -0.115, -2.745999999999999
4600, 229950, -39.005, -0.62, -18.92549999999999, -13.635, -0.22, -6.132600000000002
4800, 239950, -40.86, -0.735, -20.124099999999984, -9.75, -0.13, -4.3763999999999985
5000, 249950, -41.07, -0.63, -19.84499999999999, -15.555, -0.25, -7.2973
5200, 259950, -43.295, -0.62, -20.797099999999986, -17.86, -0.31, -8.259799999999998
5400, 269950, -44.065, -0.785, -21.810499999999994, -21.625, -0.405, -10.4813
5600, 279950, -46.885, -0.88, -23.45699999999999, -20.865, -0.37, -10.082299999999998
5800, 289950, -46.5, -0.88, -23.163200000000003, -29.15, -0.475, -13.963299999999998
6000, 299950, -46.82, -0.9, -23.5409, -30.035, -0.48, -14.448299999999993
6200, 309950, -46.655, -0.86, -23.3517, -36.36, -0.565, -16.9711
6400, 319950, -46.305, -0.93, -23.48229999999999, -38.73, -0.55, -18.267900000000004
6600, 329950, -47.055, -0.91, -23.649100000000004, -40.27, -0.54, -19.090499999999988
6800, 339950, -47.5, -0.94, -24.028399999999998, -42.18, -0.625, -20.2216
7000, 349950, -45.51, -0.905, -22.933099999999996, -40.65, -0.605, -19.354200000000013
7200, 359950, -47.11, -0.875, -23.538800000000002, -41.635, -0.555, -19.8697
7400, 369950, -47.59, -0.875, -23.7018, -42.01, -0.59, -19.994999999999997
7600, 379950, -47.26, -0.88, -23.672199999999993, -41.87, -0.6, -19.76759999999999
7800, 389950, -46.715, -0.885, -23.274099999999994, -44.46, -0.615, -21.2717
8000, 399950, -47.795, -0.91, -24.000399999999996, -45.64, -0.675, -22.370100000000008
8200, 409950, -47.97, -0.955, -24.201999999999998, -41.62, -0.635, -19.9457
8400, 419950, -48.41, -0.925, -24.393399999999993, -42.21, -0.63, -20.22689999999999
8600, 429950, -48.14, -0.95, -24.26959999999999, -43.335, -0.8, -21.104
8800, 439950, -47.61, -0.945, -23.925400000000014, -44.24, -0.77, -21.808600000000002
9000, 449950, -47.885, -0.955, -24.054299999999994, -44.955, -0.745, -21.976100000000006
9200, 459950, -48.235, -0.975, -24.442900000000005, -44.525, -0.81, -21.953900000000004
9400, 469950, -47.105, -0.965, -23.84660000000001, -44.245, -0.745, -21.617000000000004
9600, 479950, -46.35, -0.98, -23.383799999999997, -43.735, -0.78, -21.439899999999998
9800, 489950, -47.705, -0.95, -24.2291, -41.99, -0.68, -20.305900000000005
10000, 499950, -48.385, -0.99, -24.6748, -44.66, -0.685, -21.93419999999999
10200, 509950, -48.785, -1.0, -24.781599999999997, -41.665, -0.635, -19.8916
10400, 519950, -48.62, -0.975, -24.6298, -43.455, -0.64, -20.969499999999993
10600, 529950, -48.535, -1.0, -24.614600000000006, -44.615, -0.77, -21.948800000000002
10800, 539950, -48.795, -0.98, -24.784799999999997, -42.285, -0.745, -20.48739999999999
11000, 549950, -47.745, -0.985, -24.229000000000006, -43.36, -0.775, -21.1813
11200, 559950, -49.04, -0.995, -24.92409999999999, -42.445, -0.66, -20.321199999999994
11400, 569950, -48.2, -0.975, -24.362099999999995, -45.21, -0.69, -21.958700000000004
11600, 579950, -48.85, -0.99, -24.838699999999996, -47.66, -0.965, -24.2275
11800, 589950, -48.85, -0.955, -24.7142, -45.49, -0.69, -22.18979999999999
12000, 599950, -48.72, -0.97, -24.696000000000005, -45.605, -0.725, -22.357499999999995
12200, 609950, -48.8, -0.94, -24.6956, -46.64, -0.83, -22.975599999999996
12400, 619950, -48.965, -0.945, -24.7608, -47.485, -0.94, -23.654500000000006
12600, 629950, -49.46, -0.97, -25.135299999999994, -43.305, -0.625, -20.546899999999997
12800, 639950, -48.89, -0.975, -24.77030000000001, -48.005, -0.96, -24.091400000000007
13000, 649950, -49.375, -0.995, -25.10460000000001, -47.26, -0.94, -23.403499999999998
13200, 659950, -49.225, -0.995, -24.981699999999993, -47.07, -0.995, -23.61080000000001
13400, 669950, -49.585, -0.995, -25.227999999999998, -47.94, -0.985, -23.947799999999987
13600, 679950, -45.66, -1.0, -23.541600000000003, -47.43, -0.965, -23.642899999999994
13800, 689950, -49.69, -1.0, -25.300299999999993, -48.67, -1.0, -24.568299999999994
14000, 699950, -49.6, -0.99, -25.2366, -48.54, -1.0, -24.51369999999999
14200, 709950, -49.275, -1.0, -25.0102, -47.555, -0.995, -23.96239999999999
