episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min,agent2_energy_min,agent2_attention_min,agent3_energy_min,agent3_attention_min
1000, 49950, -18.62862862862863, -14.60960960960961, -18.016016016016017, -14.674674674674675, -17.32032032032032, -17.595595595595597, -16.695695695695697, -15.274274274274275
2000, 99950, -9.295, -25.685, -14.124, -22.321, -10.245, -18.798, -10.781, -28.699
3000, 149950, -4.087, -44.19, -3.945, -43.913, -12.314, -23.849, -5.24, -43.617
4000, 199950, -5.59, -43.454, -3.26, -45.148, -23.075, -18.849, -5.369, -43.986
5000, 249950, -3.532, -45.839, -2.614, -46.34, -23.637, -20.139, -7.762, -42.051
6000, 299950, -1.637, -47.982, -2.588, -46.314, -24.696, -17.889, -10.285, -39.547
7000, 349950, -1.925, -47.501, -2.226, -46.517, -27.654, -16.22, -10.212, -39.576
8000, 399950, -1.833, -47.953, -2.237, -46.788, -29.809, -14.622, -17.699, -31.932
9000, 449950, -1.689, -47.717, -2.612, -46.306, -34.235, -13.56, -24.745, -24.74
10000, 499950, -2.787, -46.79, -2.09, -46.977, -31.831, -17.183, -26.957, -22.286
11000, 549950, -6.6, -43.087, -2.373, -46.884, -33.535, -15.462, -23.962, -25.018
12000, 599950, -5.394, -44.266, -1.746, -47.75, -41.6, -7.521, -22.596, -26.463
13000, 649950, -5.272, -44.205, -1.437, -48.107, -48.251, -0.939, -15.619, -34.355
14000, 699950, -4.581, -44.94, -1.684, -48.259, -48.568, -0.349, -19.275, -30.698
15000, 749950, -3.54, -45.809, -1.621, -48.247, -48.705, -0.65, -26.796, -23.018
16000, 799950, -3.06, -46.117, -1.685, -48.233, -48.68, -0.657, -28.012, -20.609
17000, 849950, -2.879, -47.026, -2.116, -47.809, -48.047, -0.502, -28.503, -20.208
18000, 899950, -3.178, -46.617, -2.871, -47.098, -48.13, -1.258, -37.108, -11.994
19000, 949950, -3.424, -46.46, -3.047, -46.79, -45.205, -3.767, -28.844, -20.597
20000, 999950, -3.977, -45.835, -3.039, -46.617, -45.904, -1.436, -26.116, -23.759
21000, 1049950, -2.87, -47.009, -2.278, -47.225, -48.698, -0.79, -26.541, -23.399
22000, 1099950, -3.504, -46.41, -2.7, -46.876, -48.868, -0.938, -24.552, -25.412
23000, 1149950, -6.331, -43.54, -3.059, -46.463, -47.565, -2.219, -31.276, -17.32
24000, 1199950, -5.973, -43.374, -3.088, -46.081, -46.675, -2.828, -28.088, -14.411
25000, 1249950, -3.895, -46.047, -2.849, -46.747, -44.343, -3.507, -25.253, -15.711
26000, 1299950, -3.241, -46.68, -3.662, -46.263, -38.341, -4.637, -23.971, -17.925
27000, 1349950, -3.566, -46.162, -3.556, -46.376, -38.517, -5.967, -29.429, -11.06
28000, 1399950, -3.208, -46.631, -2.16, -47.817, -40.221, -3.656, -29.403, -13.032
29000, 1449950, -3.952, -45.949, -2.271, -47.706, -38.399, -5.581, -34.513, -11.517
30000, 1499950, -4.581, -45.315, -2.775, -47.18, -39.185, -5.203, -28.846, -15.065
31000, 1549950, -6.742, -42.65, -2.944, -47.022, -35.765, -4.995, -22.594, -15.458
32000, 1599950, -5.002, -43.566, -3.306, -46.609, -34.554, -4.644, -16.122, -21.349
33000, 1649950, -3.876, -45.456, -3.116, -46.408, -34.754, -3.925, -16.395, -24.695
34000, 1699950, -4.524, -44.96, -3.262, -46.557, -26.178, -3.66, -20.391, -14.516
35000, 1749950, -5.651, -43.841, -3.629, -46.298, -22.158, -3.524, -24.916, -13.1
36000, 1799950, -4.713, -44.922, -3.138, -46.817, -22.439, -5.974, -23.276, -16.945
37000, 1849950, -4.222, -45.367, -2.89, -47.051, -22.839, -5.463, -18.838, -19.271
38000, 1899950, -4.544, -45.084, -2.909, -46.887, -17.915, -4.188, -18.337, -16.609
39000, 1949950, -4.395, -45.464, -3.007, -46.863, -20.651, -5.306, -26.837, -14.411
40000, 1999950, -4.432, -45.374, -3.866, -45.83, -17.447, -4.9, -21.122, -15.126
