a0_to_a1,a0_to_a2,a1_to_a0,a1_to_a2,a2_to_a0,a2_to_a1,episode,step
D,D,_,_,_,_,1,0
D,D,_,_,_,_,1,1
D,D,_,_,_,_,1,2
D,D,_,_,_,_,1,3
D,D,_,_,_,_,1,4
B,B,_,_,_,_,1,5
D,D,_,_,_,_,1,6
B,B,_,_,_,_,1,7
D,D,_,_,_,_,1,8
D,D,_,_,_,_,1,9
A,A,_,_,_,_,1,10
A,A,_,_,_,_,1,11
E,E,_,_,_,_,1,12
A,A,_,_,_,_,1,13
B,B,_,_,_,_,1,14
C,C,_,_,_,_,1,15
C,C,_,_,_,_,1,16
C,C,_,_,_,_,1,17
A,A,_,_,_,_,1,18
D,D,_,_,_,_,1,19
D,D,_,_,_,_,1,20
D,D,_,_,_,_,1,21
D,D,_,_,_,_,1,22
C,C,_,_,_,_,1,23
E,E,_,_,_,_,1,24
E,E,_,_,_,_,1,25
D,D,_,_,_,_,1,26
D,D,_,_,_,_,1,27
E,E,_,_,_,_,1,28
C,C,_,_,_,_,1,29
C,C,_,_,_,_,1,30
C,C,_,_,_,_,1,31
C,C,_,_,_,_,1,32
D,D,_,_,_,_,1,33
D,D,_,_,_,_,1,34
D,D,_,_,_,_,1,35
A,A,_,_,_,_,1,36
A,A,_,_,_,_,1,37
D,D,_,_,_,_,1,38
D,D,_,_,_,_,1,39
D,D,_,_,_,_,1,40
B,B,_,_,_,_,1,41
C,C,_,_,_,_,1,42
A,A,_,_,_,_,1,43
C,C,_,_,_,_,1,44
C,C,_,_,_,_,1,45
C,C,_,_,_,_,1,46
D,D,_,_,_,_,1,47
D,D,_,_,_,_,1,48
_,_,_,_,_,_,2,0
C,C,_,_,_,_,2,1
C,C,_,_,_,_,2,2
C,C,_,_,_,_,2,3
B,B,_,_,_,_,2,4
B,B,_,_,_,_,2,5
B,B,_,_,_,_,2,6
B,B,_,_,_,_,2,7
E,E,_,_,_,_,2,8
E,E,_,_,_,_,2,9
E,E,_,_,_,_,2,10
E,E,_,_,_,_,2,11
F,F,_,_,_,_,2,12
E,E,_,_,_,_,2,13
C,C,_,_,_,_,2,14
D,D,_,_,_,_,2,15
F,F,_,_,_,_,2,16
D,D,_,_,_,_,2,17
F,F,_,_,_,_,2,18
