energy,attention,episode,step
-1.0,0.0,1,0
-1.0,0.0,1,1
-1.0,0.0,1,2
-1.0,0.0,1,3
-1.0,0.0,1,4
-1.0,0.0,1,5
-1.0,0.0,1,6
-2.0,0.0,1,7
-2.0,0.0,1,8
-2.0,0.0,1,9
-2.0,0.0,1,10
-2.0,0.0,1,11
-3.0,0.0,1,12
-4.0,0.0,1,13
-5.0,0.0,1,14
-6.0,0.0,1,15
-7.0,0.0,1,16
-8.0,0.0,1,17
-8.0,0.0,1,18
-8.0,0.0,1,19
-9.0,0.0,1,20
-10.0,0.0,1,21
-10.0,0.0,1,22
-11.0,0.0,1,23
-12.0,0.0,1,24
-13.0,0.0,1,25
-13.0,0.0,1,26
-13.0,0.0,1,27
-14.0,0.0,1,28
-15.0,0.0,1,29
-15.0,0.0,1,30
-15.0,0.0,1,31
-15.0,0.0,1,32
-15.0,0.0,1,33
-15.0,0.0,1,34
-16.0,0.0,1,35
-17.0,0.0,1,36
-18.0,0.0,1,37
-19.0,0.0,1,38
-20.0,0.0,1,39
-20.0,0.0,1,40
-21.0,0.0,1,41
-21.0,0.0,1,42
-21.0,0.0,1,43
-22.0,0.0,1,44
-22.0,0.0,1,45
-23.0,0.0,1,46
-24.0,0.0,1,47
-25.0,0.0,1,48
-26.0,0.0,1,49
-1.0,0.0,2,0
-2.0,0.0,2,1
-2.0,0.0,2,2
-3.0,0.0,2,3
-3.0,0.0,2,4
-3.0,0.0,2,5
-4.0,0.0,2,6
-4.0,0.0,2,7
-4.0,0.0,2,8
-4.0,0.0,2,9
-4.0,0.0,2,10
-4.0,0.0,2,11
-4.0,0.0,2,12
-4.0,0.0,2,13
-4.0,0.0,2,14
-4.0,0.0,2,15
-4.0,0.0,2,16
-4.0,0.0,2,17
-4.0,0.0,2,18
-5.0,0.0,2,19
-5.0,0.0,2,20
-5.0,0.0,2,21
-6.0,0.0,2,22
-7.0,0.0,2,23
-8.0,0.0,2,24
-9.0,0.0,2,25
-10.0,0.0,2,26
-11.0,0.0,2,27
-12.0,0.0,2,28
-13.0,0.0,2,29
-14.0,0.0,2,30
-15.0,0.0,2,31
-16.0,0.0,2,32
-17.0,0.0,2,33
-18.0,0.0,2,34
-19.0,0.0,2,35
-20.0,0.0,2,36
-21.0,0.0,2,37
-22.0,0.0,2,38
-22.0,0.0,2,39
-23.0,0.0,2,40
-24.0,0.0,2,41
-25.0,0.0,2,42
-26.0,0.0,2,43
-27.0,0.0,2,44
-28.0,0.0,2,45
-29.0,0.0,2,46
-30.0,0.0,2,47
-31.0,0.0,2,48
-32.0,0.0,2,49
-1.0,0.0,3,0
-2.0,0.0,3,1
-3.0,0.0,3,2
-4.0,0.0,3,3
-5.0,0.0,3,4
-5.0,0.0,3,5
-6.0,0.0,3,6
-7.0,0.0,3,7
-8.0,0.0,3,8
-9.0,0.0,3,9
-10.0,0.0,3,10
-11.0,0.0,3,11
-12.0,0.0,3,12
-13.0,0.0,3,13
-14.0,0.0,3,14
-15.0,0.0,3,15
-15.0,0.0,3,16
-16.0,0.0,3,17
-17.0,0.0,3,18
-18.0,0.0,3,19
-19.0,0.0,3,20
-19.0,0.0,3,21
-20.0,0.0,3,22
-21.0,0.0,3,23
-22.0,0.0,3,24
-22.0,0.0,3,25
-23.0,0.0,3,26
-24.0,0.0,3,27
-25.0,0.0,3,28
-26.0,0.0,3,29
-27.0,0.0,3,30
-27.0,0.0,3,31
-28.0,0.0,3,32
-29.0,0.0,3,33
-30.0,0.0,3,34
-31.0,0.0,3,35
-32.0,0.0,3,36
-33.0,0.0,3,37
-34.0,0.0,3,38
-35.0,0.0,3,39
-36.0,0.0,3,40
-37.0,0.0,3,41
-38.0,0.0,3,42
-39.0,0.0,3,43
-40.0,0.0,3,44
-41.0,0.0,3,45
-42.0,0.0,3,46
-43.0,0.0,3,47
-44.0,0.0,3,48
-45.0,0.0,3,49
-1.0,0.0,4,0
-2.0,0.0,4,1
-3.0,0.0,4,2
-4.0,0.0,4,3
-5.0,0.0,4,4
-6.0,0.0,4,5
-7.0,0.0,4,6
-8.0,0.0,4,7
-9.0,0.0,4,8
-10.0,0.0,4,9
-11.0,0.0,4,10
-12.0,0.0,4,11
-13.0,0.0,4,12
-14.0,0.0,4,13
-15.0,0.0,4,14
-16.0,0.0,4,15
-17.0,0.0,4,16
-18.0,0.0,4,17
-19.0,0.0,4,18
-19.0,0.0,4,19
-20.0,0.0,4,20
-20.0,0.0,4,21
-21.0,0.0,4,22
-22.0,0.0,4,23
-23.0,0.0,4,24
-24.0,0.0,4,25
-25.0,0.0,4,26
-26.0,0.0,4,27
-26.0,0.0,4,28
-26.0,0.0,4,29
-27.0,0.0,4,30
-27.0,0.0,4,31
-27.0,0.0,4,32
-28.0,0.0,4,33
-29.0,0.0,4,34
-30.0,0.0,4,35
-31.0,0.0,4,36
-32.0,0.0,4,37
-33.0,0.0,4,38
-34.0,0.0,4,39
-35.0,0.0,4,40
-35.0,0.0,4,41
-36.0,0.0,4,42
-36.0,0.0,4,43
-36.0,0.0,4,44
-37.0,0.0,4,45
-38.0,0.0,4,46
-39.0,0.0,4,47
-40.0,0.0,4,48
-41.0,0.0,4,49
0.0,0.0,5,0
0.0,0.0,5,1
-1.0,0.0,5,2
-1.0,0.0,5,3
-2.0,0.0,5,4
-3.0,0.0,5,5
-4.0,0.0,5,6
-4.0,0.0,5,7
-4.0,0.0,5,8
-5.0,0.0,5,9
-6.0,0.0,5,10
-6.0,0.0,5,11
-7.0,0.0,5,12
-8.0,0.0,5,13
-9.0,0.0,5,14
-10.0,0.0,5,15
-11.0,0.0,5,16
-12.0,0.0,5,17
-13.0,0.0,5,18
-14.0,0.0,5,19
-15.0,0.0,5,20
-16.0,0.0,5,21
-17.0,0.0,5,22
-18.0,0.0,5,23
-19.0,0.0,5,24
-20.0,0.0,5,25
-21.0,0.0,5,26
-22.0,0.0,5,27
-23.0,0.0,5,28
-24.0,0.0,5,29
-25.0,0.0,5,30
-26.0,0.0,5,31
-27.0,0.0,5,32
-28.0,0.0,5,33
-29.0,0.0,5,34
-30.0,0.0,5,35
-31.0,0.0,5,36
-32.0,0.0,5,37
-33.0,0.0,5,38
-34.0,0.0,5,39
-34.0,0.0,5,40
-35.0,0.0,5,41
-36.0,0.0,5,42
-37.0,0.0,5,43
-38.0,0.0,5,44
-39.0,0.0,5,45
-40.0,0.0,5,46
-41.0,0.0,5,47
-42.0,0.0,5,48
-43.0,0.0,5,49
