step, total_reward
1000, -27.176947
2000, -8.549467
3000, 16.290757
4000, 59.115580
5000, 78.605281
6000, 36.279836
7000, 45.176214
8000, 47.171809
9000, 36.234602
10000, 46.658391
11000, 47.971773
12000, 41.195975
13000, 35.998779
14000, 67.915577
15000, 113.028628
16000, 143.632206
17000, 89.358623
18000, 102.698259
19000, 135.645965
20000, 102.344811
21000, 63.962847
22000, 27.545328
23000, 25.903488
24000, 34.660016
25000, 32.053880
26000, 37.829227
27000, 34.725446
28000, 32.467629
29000, 29.733551
30000, 29.719067
31000, 28.800208
32000, 27.989885
33000, 27.979965
34000, 29.125180
35000, 29.632514
36000, 25.971878
37000, 28.722625
38000, 29.020885
39000, 28.639580
40000, 25.702656
41000, 26.622064
42000, 26.362030
43000, 36.178338
44000, 37.425376
45000, 35.418142
46000, 27.520917
47000, 32.278329
48000, 37.931275
49000, 37.228852
50000, 33.217452
51000, 33.329460
52000, 37.058205
53000, 37.210551
54000, 36.166805
55000, 39.084430
56000, 39.301166
57000, 36.930989
58000, 35.543575
59000, 36.996359
60000, 39.187710
