episode,step,agent0_money,agent1_money
100, 4950, -24.19191919191919, -26.727272727272727
200, 9950, -25.15, -26.36
300, 14950, -24.53, -26.97
400, 19950, -24.13, -27.13
500, 24950, -23.97, -27.35
600, 29950, -24.51, -27.19
700, 34950, -24.54, -27.49
800, 39950, -24.71, -26.92
900, 44950, -24.42, -27.25
1000, 49950, -24.94, -27.33
1100, 54950, -28.58, -19.24
1200, 59950, -19.48, -28.3
1300, 64950, -29.99, -10.76
1400, 69950, -28.32, -10.71
1500, 74950, -25.86, -25.46
1600, 79950, -24.85, -31.0
1700, 84950, -23.5, -10.05
1800, 89950, -26.43, -3.97
1900, 94950, -29.54, -10.31
2000, 99950, -21.94, -3.31
2100, 104950, -25.81, -1.94
2200, 109950, -33.1, -1.21
2300, 114950, -36.92, -1.89
2400, 119950, -34.6, -3.28
2500, 124950, -32.68, -4.14
2600, 129950, -21.83, -2.1
2700, 134950, -19.16, -1.01
2800, 139950, -14.57, -1.55
2900, 144950, -19.74, -1.71
3000, 149950, -18.94, -2.64
3100, 154950, -12.56, -3.87
3200, 159950, -14.26, -13.18
3300, 164950, -24.65, -19.89
3400, 169950, -15.08, -11.92
3500, 174950, -29.51, -17.64
3600, 179950, -41.53, -15.91
3700, 184950, -42.8, -19.44
3800, 189950, -40.47, -15.48
3900, 194950, -41.06, -22.8
4000, 199950, -38.97, -4.12
4100, 204950, -36.37, -11.09
4200, 209950, -41.11, -25.79
4300, 214950, -44.05, -23.03
4400, 219950, -37.59, -24.76
4500, 224950, -35.14, -34.71
4600, 229950, -37.75, -20.54
4700, 234950, -39.37, -25.21
4800, 239950, -42.41, -35.8
4900, 244950, -44.88, -34.19
5000, 249950, -44.97, -39.22
5100, 254950, -45.37, -37.73
5200, 259950, -45.59, -42.23
5300, 264950, -45.63, -34.71
5400, 269950, -46.48, -36.66
5500, 274950, -47.58, -43.2
5600, 279950, -44.67, -34.42
5700, 284950, -46.6, -36.62
5800, 289950, -46.41, -38.81
5900, 294950, -48.61, -37.83
6000, 299950, -48.15, -36.73
6100, 304950, -47.71, -34.92
6200, 309950, -48.75, -37.66
6300, 314950, -48.78, -39.36
6400, 319950, -48.17, -37.39
6500, 324950, -48.3, -39.08
6600, 329950, -48.38, -41.17
6700, 334950, -48.9, -42.89
6800, 339950, -48.39, -43.47
6900, 344950, -47.6, -36.45
7000, 349950, -47.73, -33.48
7100, 354950, -47.22, -40.43
7200, 359950, -49.09, -34.8
7300, 364950, -48.18, -42.09
7400, 369950, -47.83, -41.06
7500, 374950, -48.46, -40.15
7600, 379950, -48.77, -37.82
7700, 384950, -48.41, -34.69
7800, 389950, -48.14, -32.96
7900, 394950, -47.58, -31.84
8000, 399950, -48.84, -41.81
8100, 404950, -49.31, -35.39
8200, 409950, -48.37, -39.17
8300, 414950, -49.18, -36.43
8400, 419950, -49.25, -44.75
8500, 424950, -49.29, -41.19
8600, 429950, -48.09, -38.91
8700, 434950, -47.43, -38.73
8800, 439950, -48.27, -36.54
8900, 444950, -49.19, -33.21
9000, 449950, -48.02, -40.16
9100, 454950, -49.31, -40.0
9200, 459950, -49.36, -39.45
9300, 464950, -48.78, -39.43
9400, 469950, -48.37, -43.06
9500, 474950, -49.2, -42.9
9600, 479950, -48.97, -42.01
9700, 484950, -48.99, -39.95
9800, 489950, -49.52, -41.9
9900, 494950, -48.73, -43.03
10000, 499950, -48.87, -41.71
