episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min,agent2_energy_min,agent2_attention_min,agent3_energy_min,agent3_attention_min
1000, 49950, -16.4974974974975, -16.325325325325327, -16.70970970970971, -16.473473473473472, -14.481481481481481, -16.91991991991992, -17.25725725725726, -16.4994994994995
2000, 99950, -17.667, -21.365, -8.442, -30.673, -7.659, -29.53, -18.836, -18.532
3000, 149950, -15.137, -32.772, -6.631, -40.086, -5.856, -42.633, -11.301, -35.699
4000, 199950, -18.685, -30.05, -8.153, -40.629, -4.268, -44.988, -23.397, -23.96
5000, 249950, -30.183, -18.859, -9.437, -38.843, -4.408, -44.356, -25.023, -22.97
6000, 299950, -29.235, -20.234, -11.122, -38.171, -6.754, -42.837, -22.767, -23.925
7000, 349950, -36.044, -13.471, -14.666, -34.99, -6.191, -43.291, -23.892, -23.172
8000, 399950, -47.412, -2.492, -13.428, -36.104, -5.493, -43.559, -24.746, -23.982
9000, 449950, -49.022, -0.959, -15.46, -33.846, -8.812, -40.496, -20.846, -26.95
10000, 499950, -48.645, -1.11, -20.075, -29.196, -10.54, -38.763, -16.819, -30.808
11000, 549950, -49.952, -0.026, -23.428, -25.404, -13.132, -36.359, -14.125, -33.6
12000, 599950, -49.822, -0.165, -26.374, -22.584, -13.182, -36.502, -16.173, -32.169
13000, 649950, -47.748, -2.218, -26.846, -22.433, -12.253, -37.475, -15.853, -32.407
14000, 699950, -48.117, -1.866, -33.112, -15.529, -16.322, -32.904, -18.989, -28.662
15000, 749950, -49.696, -0.167, -34.017, -15.228, -22.027, -26.925, -16.915, -30.786
16000, 799950, -47.333, -2.069, -35.495, -13.59, -16.671, -32.893, -16.627, -32.357
17000, 849950, -47.955, -1.421, -37.123, -11.783, -18.568, -31.2, -23.592, -24.843
18000, 899950, -49.618, -0.044, -37.912, -11.35, -33.769, -15.699, -32.385, -16.847
19000, 949950, -49.175, -0.456, -35.919, -13.506, -19.608, -30.088, -31.967, -17.337
20000, 999950, -49.812, -0.07, -37.881, -11.684, -17.035, -32.789, -35.114, -14.363
21000, 1049950, -49.631, -0.199, -40.542, -8.938, -18.462, -31.353, -36.267, -12.402
22000, 1099950, -45.261, -0.393, -38.933, -10.402, -16.485, -33.358, -24.688, -24.768
23000, 1149950, -39.806, -0.175, -38.261, -11.103, -13.943, -35.796, -37.073, -12.554
24000, 1199950, -41.839, -0.498, -24.836, -24.459, -13.512, -36.17, -35.185, -14.626
25000, 1249950, -46.705, -0.538, -28.294, -21.001, -15.782, -33.752, -27.032, -19.649
26000, 1299950, -47.195, -0.018, -27.859, -21.952, -13.574, -35.992, -41.237, -8.536
27000, 1349950, -46.352, -0.011, -23.069, -26.184, -13.35, -36.373, -42.966, -6.89
28000, 1399950, -41.487, -1.387, -26.406, -22.947, -13.061, -36.596, -36.871, -12.851
29000, 1449950, -40.101, -3.238, -28.751, -20.853, -14.249, -34.977, -41.158, -8.434
30000, 1499950, -43.444, -0.413, -31.466, -15.034, -14.584, -35.129, -44.559, -5.397
31000, 1549950, -34.205, -4.163, -38.659, -11.205, -10.362, -39.588, -45.327, -4.667
32000, 1599950, -29.704, -7.663, -26.94, -22.867, -10.888, -38.985, -41.803, -5.092
33000, 1649950, -32.787, -3.827, -30.524, -18.325, -13.585, -35.954, -45.323, -2.858
34000, 1699950, -37.879, -4.881, -37.258, -10.698, -8.852, -40.855, -46.221, -1.726
35000, 1749950, -38.345, -5.449, -36.932, -11.421, -6.392, -43.342, -43.845, -2.573
36000, 1799950, -31.112, -5.043, -31.601, -16.992, -12.301, -37.317, -42.68, -4.254
37000, 1849950, -27.544, -3.363, -37.694, -11.806, -8.939, -40.599, -43.119, -3.941
38000, 1899950, -33.421, -3.554, -27.048, -19.534, -8.005, -41.665, -41.288, -2.328
39000, 1949950, -33.152, -3.591, -26.004, -9.982, -9.557, -40.239, -37.7, -2.577
40000, 1999950, -34.548, -3.374, -33.999, -5.641, -12.673, -37.169, -34.525, -2.681
