episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min,agent2_energy_min,agent2_attention_min,agent3_energy_min,agent3_attention_min
1000, 49950, -19.216216216216218, -15.19019019019019, -16.36736736736737, -14.895895895895896, -16.63763763763764, -17.10910910910911, -16.872872872872872, -16.4024024024024
2000, 99950, -11.571, -16.484, -9.115, -28.433, -3.779, -37.311, -21.841, -13.87
3000, 149950, -14.215, -30.174, -2.584, -44.825, -0.941, -42.648, -6.641, -37.325
4000, 199950, -16.769, -26.267, -0.685, -48.608, -3.177, -41.963, -9.37, -35.198
5000, 249950, -13.753, -29.833, -0.1, -49.269, -2.832, -44.904, -19.311, -27.379
6000, 299950, -23.144, -22.681, -0.046, -49.032, -6.288, -41.772, -23.968, -22.744
7000, 349950, -29.701, -18.067, -0.224, -48.457, -14.433, -34.827, -35.842, -11.106
8000, 399950, -33.046, -15.468, -0.411, -48.603, -25.085, -24.595, -43.055, -4.143
9000, 449950, -36.09, -12.882, -0.294, -48.948, -38.591, -10.944, -40.688, -6.502
10000, 499950, -42.145, -7.236, -0.549, -48.668, -46.056, -3.456, -43.469, -3.607
11000, 549950, -43.967, -5.342, -0.987, -48.55, -46.278, -3.243, -44.51, -2.686
12000, 599950, -45.433, -4.003, -1.793, -47.95, -44.592, -4.201, -43.02, -4.001
13000, 649950, -43.062, -6.427, -2.575, -46.999, -46.156, -2.85, -47.124, -0.163
14000, 699950, -45.052, -4.507, -3.489, -46.183, -46.861, -2.575, -46.361, -0.268
15000, 749950, -48.069, -1.715, -2.1, -47.692, -46.04, -3.457, -47.392, -1.44
16000, 799950, -48.636, -0.977, -1.989, -47.861, -46.652, -2.715, -48.358, -0.454
17000, 849950, -48.181, -1.246, -1.952, -47.759, -44.095, -5.243, -46.003, -0.67
18000, 899950, -45.562, -3.412, -1.557, -48.237, -41.703, -6.409, -46.344, -1.196
19000, 949950, -45.747, -2.705, -1.784, -47.985, -40.895, -7.301, -47.304, -0.493
20000, 999950, -46.251, -2.491, -1.262, -48.65, -34.158, -14.694, -46.291, -1.529
21000, 1049950, -45.709, -3.255, -1.377, -48.353, -30.746, -18.226, -47.274, -1.122
22000, 1099950, -46.435, -2.978, -2.057, -47.745, -30.426, -18.278, -44.611, -3.489
23000, 1149950, -45.925, -2.884, -2.476, -47.433, -35.822, -12.536, -48.444, -0.287
24000, 1199950, -48.254, -0.512, -2.227, -47.724, -38.087, -10.364, -47.473, -0.065
25000, 1249950, -48.977, -0.323, -2.256, -47.713, -35.951, -12.5, -46.171, -0.638
26000, 1299950, -48.628, -0.084, -1.896, -48.094, -33.025, -12.541, -46.91, -0.663
27000, 1349950, -48.212, -0.325, -2.766, -47.131, -31.096, -16.375, -45.33, -0.781
28000, 1399950, -44.918, -2.022, -2.197, -47.744, -33.604, -13.669, -44.684, -0.239
29000, 1449950, -43.196, -5.743, -2.61, -47.294, -36.4, -10.338, -45.187, -0.345
30000, 1499950, -44.569, -4.543, -1.473, -48.486, -38.353, -9.777, -46.039, -1.336
31000, 1549950, -46.299, -1.258, -2.356, -47.399, -40.651, -6.552, -44.393, -3.19
32000, 1599950, -44.976, -1.678, -1.473, -48.355, -31.554, -7.542, -40.79, -5.541
33000, 1649950, -46.098, -0.669, -0.957, -49.004, -25.229, -8.565, -38.99, -4.216
34000, 1699950, -40.496, -2.262, -1.448, -48.398, -17.813, -15.324, -37.564, -4.306
35000, 1749950, -38.659, -3.202, -1.815, -47.949, -16.666, -16.608, -37.093, -3.148
36000, 1799950, -33.602, -5.015, -2.881, -46.974, -16.872, -17.305, -35.945, -2.231
37000, 1849950, -28.099, -12.171, -2.351, -47.513, -18.272, -13.22, -34.481, -4.063
38000, 1899950, -35.524, -5.416, -2.288, -47.495, -22.57, -8.637, -36.322, -3.181
39000, 1949950, -32.574, -5.862, -1.875, -47.946, -19.44, -12.614, -26.251, -2.805
40000, 1999950, -32.751, -4.848, -2.66, -47.059, -18.447, -18.825, -23.243, -3.7
