episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
1000, 49950, -15.931931931931931, -16.583583583583582, -19.49249249249249, -15.821821821821821
2000, 99950, -7.64, -8.485, -14.969, -14.701
3000, 149950, -0.198, -0.038, -4.406, -3.633
4000, 199950, -0.059, -0.026, -12.488, -2.994
5000, 249950, -0.55, -0.039, -34.127, -1.273
6000, 299950, -0.308, -0.036, -37.678, -3.885
7000, 349950, -6.367, -0.088, -37.18, -4.266
8000, 399950, -42.0, -0.412, -40.022, -1.756
9000, 449950, -43.006, -0.225, -44.059, -0.647
10000, 499950, -49.763, -0.041, -46.246, -0.815
11000, 549950, -49.328, -0.346, -37.836, -1.194
12000, 599950, -49.733, -0.037, -31.438, -0.97
13000, 649950, -49.604, -0.291, -36.268, -0.953
14000, 699950, -49.867, -0.081, -37.631, -0.626
15000, 749950, -49.968, -0.017, -37.412, -0.879
16000, 799950, -49.958, -0.027, -35.09, -0.604
17000, 849950, -49.948, -0.036, -33.212, -1.296
18000, 899950, -49.976, -0.016, -31.543, -0.605
19000, 949950, -49.978, -0.006, -31.283, -0.308
20000, 999950, -49.941, -0.022, -29.474, -0.901
21000, 1049950, -46.784, -0.015, -31.543, -1.202
22000, 1099950, -38.52, -0.031, -29.362, -5.104
23000, 1149950, -35.269, -0.042, -34.453, -1.025
24000, 1199950, -35.203, -0.636, -27.401, -1.283
25000, 1249950, -36.091, -1.47, -29.827, -1.717
26000, 1299950, -37.996, -3.328, -14.17, -11.226
27000, 1349950, -37.104, -5.093, -26.526, -0.721
28000, 1399950, -41.217, -3.253, -17.011, -5.478
29000, 1449950, -40.899, -0.923, -14.577, -2.88
30000, 1499950, -35.562, -2.259, -15.535, -7.936
31000, 1549950, -28.667, -0.4, -14.76, -4.499
32000, 1599950, -19.782, -0.402, -14.579, -5.778
33000, 1649950, -20.115, -0.478, -16.0, -4.447
34000, 1699950, -20.115, -0.799, -16.033, -3.957
35000, 1749950, -19.534, -2.769, -17.093, -6.688
36000, 1799950, -19.026, -0.627, -16.569, -5.376
37000, 1849950, -21.674, -1.017, -16.587, -3.408
38000, 1899950, -22.487, -0.622, -15.005, -1.61
39000, 1949950, -18.869, -1.01, -14.19, -1.451
40000, 1999950, -18.995, -1.443, -14.671, -2.395
