episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
1000, 49950, -16.475475475475477, -18.42842842842843, -17.514514514514513, -14.40940940940941
2000, 99950, -10.213, -20.484, -15.89, -22.762
3000, 149950, -3.936, -32.604, -11.5, -37.741
4000, 199950, -14.047, -34.379, -8.1, -41.23
5000, 249950, -33.565, -13.896, -29.94, -19.176
6000, 299950, -47.638, -0.982, -48.798, -0.663
7000, 349950, -49.493, -0.433, -48.773, -0.651
8000, 399950, -49.278, -0.69, -49.229, -0.186
9000, 449950, -49.302, -0.667, -49.47, -0.18
10000, 499950, -49.272, -0.697, -49.63, -0.083
11000, 549950, -49.807, -0.176, -49.837, -0.015
12000, 599950, -49.828, -0.16, -49.605, -0.094
13000, 649950, -49.816, -0.142, -49.571, -0.125
14000, 699950, -49.905, -0.009, -49.771, -0.071
15000, 749950, -49.556, -0.024, -48.543, -0.028
16000, 799950, -48.72, -0.779, -45.547, -0.084
17000, 849950, -49.462, -0.31, -49.003, -0.083
18000, 899950, -49.195, -0.02, -47.031, -0.112
19000, 949950, -49.353, -0.011, -48.365, -0.075
20000, 999950, -48.886, -0.014, -49.349, -0.006
21000, 1049950, -49.437, -0.012, -49.512, -0.005
22000, 1099950, -49.164, -0.006, -49.03, -0.02
23000, 1149950, -46.781, -0.161, -46.618, -0.617
24000, 1199950, -46.854, -0.021, -37.456, -0.626
25000, 1249950, -44.076, -0.178, -37.33, -1.35
26000, 1299950, -46.737, -1.385, -39.75, -0.145
27000, 1349950, -47.965, -1.286, -42.866, -0.046
28000, 1399950, -46.733, -2.574, -44.888, -0.022
29000, 1449950, -48.643, -0.023, -45.506, -0.046
30000, 1499950, -49.925, -0.019, -44.273, -0.035
31000, 1549950, -41.34, -0.405, -37.539, -0.835
32000, 1599950, -46.075, -0.27, -37.524, -0.054
33000, 1649950, -46.066, -0.892, -37.161, -0.401
34000, 1699950, -40.843, -0.417, -34.514, -2.337
35000, 1749950, -44.487, -0.026, -29.413, -12.349
36000, 1799950, -43.942, -1.938, -24.556, -10.372
37000, 1849950, -36.646, -0.44, -27.179, -8.503
38000, 1899950, -40.959, -1.118, -31.058, -12.552
39000, 1949950, -32.662, -8.332, -30.621, -4.644
40000, 1999950, -36.546, -2.773, -26.541, -10.305
