episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
1000, 49950, -17.74774774774775, -17.594594594594593, -15.802802802802804, -15.936936936936936
2000, 99950, -18.295, -17.847, -9.505, -23.472
3000, 149950, -4.399, -41.197, -7.307, -38.723
4000, 199950, -7.965, -39.319, -20.938, -26.358
5000, 249950, -10.714, -36.652, -34.758, -12.966
6000, 299950, -14.065, -34.576, -41.519, -7.236
7000, 349950, -17.991, -30.956, -44.764, -4.42
8000, 399950, -21.128, -27.904, -44.233, -5.368
9000, 449950, -24.935, -24.023, -43.545, -6.093
10000, 499950, -29.267, -17.662, -43.938, -5.692
11000, 549950, -38.005, -10.504, -46.394, -3.319
12000, 599950, -43.911, -5.341, -46.444, -3.183
13000, 649950, -42.289, -6.901, -45.785, -3.995
14000, 699950, -34.013, -5.448, -46.769, -3.052
15000, 749950, -29.7, -9.976, -46.93, -3.012
16000, 799950, -36.18, -8.175, -47.588, -2.358
17000, 849950, -40.635, -7.279, -47.035, -2.904
18000, 899950, -38.269, -9.331, -47.066, -2.735
19000, 949950, -40.917, -8.498, -47.272, -2.323
20000, 999950, -32.767, -9.212, -47.208, -2.679
21000, 1049950, -26.652, -6.26, -46.862, -3.111
22000, 1099950, -33.673, -8.124, -45.716, -4.187
23000, 1149950, -32.381, -10.612, -44.96, -4.492
24000, 1199950, -21.518, -19.188, -45.686, -3.254
25000, 1249950, -21.792, -13.988, -47.122, -1.711
26000, 1299950, -29.546, -3.557, -45.069, -4.29
27000, 1349950, -29.695, -4.759, -41.062, -1.069
28000, 1399950, -25.906, -8.599, -42.331, -1.162
29000, 1449950, -22.475, -8.943, -33.277, -7.508
30000, 1499950, -21.326, -7.533, -35.877, -4.599
31000, 1549950, -22.699, -4.529, -42.407, -2.462
32000, 1599950, -22.582, -5.136, -39.754, -3.624
33000, 1649950, -22.4, -5.32, -37.4, -3.255
34000, 1699950, -21.561, -3.514, -37.414, -2.04
35000, 1749950, -20.443, -5.679, -37.786, -2.576
36000, 1799950, -25.283, -5.307, -35.668, -2.417
37000, 1849950, -19.336, -3.681, -34.335, -1.517
38000, 1899950, -19.2, -3.13, -37.932, -1.612
39000, 1949950, -18.675, -6.51, -33.647, -1.43
40000, 1999950, -19.668, -5.072, -31.413, -3.152
