act0,act1,episode,step
0.9994910955429077,0.0005088978796266019,1,0
0.8682169318199158,0.13178303837776184,1,1
0.998664379119873,0.0013355654664337635,1,2
0.9324231147766113,0.0675768330693245,1,3
0.992506206035614,0.007493766024708748,1,4
0.229436457157135,0.7705636024475098,1,5
0.9997228980064392,0.00027703712112270296,1,6
0.025644350796937943,0.9743556976318359,1,7
0.07798320055007935,0.9220167398452759,1,8
0.7460282444953918,0.25397175550460815,1,9
0.9337687492370605,0.06623116880655289,1,10
0.8147358298301697,0.1852641999721527,1,11
0.5719027519226074,0.42809727787971497,1,12
0.002095493022352457,0.9979045391082764,1,13
0.003686090698465705,0.9963138699531555,1,14
0.4555419087409973,0.5444580912590027,1,15
0.9968544840812683,0.003145509632304311,1,16
0.07943601906299591,0.9205639958381653,1,17
0.9760575890541077,0.023942356929183006,1,18
0.9159870147705078,0.08401305228471756,1,19
0.00163172441534698,0.9983683228492737,1,20
0.0899263471364975,0.9100736975669861,1,21
0.9947012662887573,0.005298747681081295,1,22
0.7637726068496704,0.2362273782491684,1,23
0.002856998471543193,0.9971429705619812,1,24
0.9152039885520935,0.08479604125022888,1,25
0.9761236906051636,0.023876268416643143,1,26
0.05186467617750168,0.9481353163719177,1,27
0.1073775440454483,0.8926224708557129,1,28
0.994458794593811,0.005541154649108648,1,29
0.6950348615646362,0.30496513843536377,1,30
0.8631023168563843,0.1368977129459381,1,31
0.0027738064527511597,0.9972261786460876,1,32
0.17016609013080597,0.8298338651657104,1,33
0.9543830752372742,0.045616935938596725,1,34
0.7815338969230652,0.21846607327461243,1,35
0.754334032535553,0.24566595256328583,1,36
0.015594410710036755,0.9844055771827698,1,37
0.9829081296920776,0.017091812565922737,1,38
0.8985235691070557,0.10147643834352493,1,39
0.07663574069738388,0.9233642220497131,1,40
0.20385205745697021,0.7961479425430298,1,41
0.9962717294692993,0.0037282223347574472,1,42
0.9664174914360046,0.03358249366283417,1,43
0.9480600357055664,0.0519399419426918,1,44
0.6407432556152344,0.35925671458244324,1,45
0.03638198971748352,0.9636180400848389,1,46
0.9742151498794556,0.025784919038414955,1,47
0.972030758857727,0.02796929143369198,1,48
0.8704157471656799,0.12958432734012604,1,49
6.592503632418811e-05,0.9999340772628784,2,0
0.00112402462400496,0.9988759160041809,2,1
0.0020602899603545666,0.9979396462440491,2,2
0.9953120946884155,0.004687861073762178,2,3
0.0008330604177899659,0.9991669654846191,2,4
0.0006306742434389889,0.9993693232536316,2,5
0.0031444376800209284,0.9968554973602295,2,6
0.4901668131351471,0.5098331570625305,2,7
0.9928414821624756,0.0071585513651371,2,8
0.0006866398616693914,0.9993133544921875,2,9
0.9722352623939514,0.027764786034822464,2,10
0.8954284191131592,0.10457161068916321,2,11
0.021438302472233772,0.9785617589950562,2,12
0.11919748783111572,0.8808025121688843,2,13
0.994491696357727,0.005508312489837408,2,14
0.9963490962982178,0.00365081918425858,2,15
0.022003721445798874,0.9779963493347168,2,16
0.030522730201482773,0.9694772958755493,2,17
0.9990170001983643,0.0009829350747168064,2,18
0.8968241810798645,0.10317587107419968,2,19
0.00424211286008358,0.9957578778266907,2,20
0.07509518414735794,0.9249047636985779,2,21
0.9944266080856323,0.00557343615218997,2,22
0.998531699180603,0.0014682875480502844,2,23
0.5964359641075134,0.40356406569480896,2,24
0.09040732681751251,0.9095927476882935,2,25
0.167266845703125,0.832733154296875,2,26
0.3698112964630127,0.6301887035369873,2,27
0.9957128763198853,0.0042871697805821896,2,28
0.8372744917869568,0.16272544860839844,2,29
0.9888727068901062,0.011127336882054806,2,30
0.9149499535560608,0.08505000919103622,2,31
0.6819347143173218,0.31806525588035583,2,32
0.15507887303829193,0.8449211716651917,2,33
0.9630406498908997,0.03695930168032646,2,34
0.9363754987716675,0.06362446397542953,2,35
0.4480699300765991,0.5519301295280457,2,36
0.9472823739051819,0.05271758884191513,2,37
0.14501184225082397,0.854988157749176,2,38
0.13095244765281677,0.8690475225448608,2,39
