act0,act1,episode,step
0.9995635151863098,0.0004364833002910018,1,0
0.9996825456619263,0.0003174442972522229,1,1
0.999337375164032,0.0006625758251175284,1,2
0.9998003840446472,0.00019961566431447864,1,3
0.9958380460739136,0.004162013065069914,1,4
0.9811681509017944,0.01883184351027012,1,5
0.12659303843975067,0.8734070062637329,1,6
0.9958005547523499,0.0041994391940534115,1,7
0.9531028270721436,0.04689719155430794,1,8
0.11974586546421051,0.8802541494369507,1,9
0.08672509342432022,0.913274884223938,1,10
0.9748079180717468,0.025192106142640114,1,11
0.638359010219574,0.3616410493850708,1,12
0.1432274878025055,0.8567724823951721,1,13
0.07855109125375748,0.9214488863945007,1,14
0.9981033802032471,0.0018965380731970072,1,15
0.9805337190628052,0.019466307014226913,1,16
0.081952765583992,0.9180472493171692,1,17
0.17459191381931305,0.8254080414772034,1,18
0.9870465993881226,0.012953377328813076,1,19
0.6582580208778381,0.3417419493198395,1,20
0.3457368016242981,0.6542631983757019,1,21
0.8805386424064636,0.11946142464876175,1,22
0.46072232723236084,0.5392776727676392,1,23
0.06425543129444122,0.9357446432113647,1,24
0.5620065331459045,0.4379935562610626,1,25
0.9988237023353577,0.0011763311922550201,1,26
0.9907537698745728,0.00924623478204012,1,27
0.17810578644275665,0.8218941688537598,1,28
0.8042070269584656,0.1957930028438568,1,29
0.29975825548171997,0.70024174451828,1,30
0.06741901487112045,0.9325810074806213,1,31
0.8701139092445374,0.12988606095314026,1,32
0.912514328956604,0.08748569339513779,1,33
0.24573183059692383,0.7542681694030762,1,34
0.3023469150066376,0.6976531744003296,1,35
0.9186102151870728,0.08138974010944366,1,36
0.9948230981826782,0.0051769050769507885,1,37
0.4950270354747772,0.5049729347229004,1,38
0.31748300790786743,0.6825170516967773,1,39
0.8526689410209656,0.14733107388019562,1,40
0.9913702011108398,0.008629760704934597,1,41
0.14997904002666473,0.8500210046768188,1,42
0.4476011395454407,0.5523988604545593,1,43
0.999473512172699,0.0005265149520710111,1,44
0.9974461793899536,0.0025538187474012375,1,45
0.27242565155029297,0.727574348449707,1,46
0.055910300463438034,0.9440897107124329,1,47
0.9851062297821045,0.014893750660121441,1,48
0.8436135649681091,0.15638646483421326,1,49
0.001926043420098722,0.998073935508728,2,0
0.9979439377784729,0.002056029625236988,2,1
0.0001713009987724945,0.9998286962509155,2,2
0.9941316246986389,0.005868395324796438,2,3
0.015219942666590214,0.9847800731658936,2,4
0.9958975315093994,0.004102472681552172,2,5
0.0009328293963335454,0.9990672469139099,2,6
0.9776676297187805,0.022332342341542244,2,7
0.05906810611486435,0.9409318566322327,2,8
0.2667260468006134,0.7332739233970642,2,9
0.557925820350647,0.442074179649353,2,10
0.0006370370392687619,0.9993630051612854,2,11
0.9273229837417603,0.07267704606056213,2,12
0.0017367250984534621,0.9982632994651794,2,13
0.4146210551261902,0.585378885269165,2,14
0.33046820759773254,0.6695317625999451,2,15
0.03747885301709175,0.9625211954116821,2,16
0.9717267751693726,0.028273237869143486,2,17
0.004001733381301165,0.9959982633590698,2,18
0.9450055360794067,0.05499446019530296,2,19
0.00014924407878424972,0.9998507499694824,2,20
0.16721290349960327,0.8327870965003967,2,21
0.9987995624542236,0.001200442318804562,2,22
0.020875733345746994,0.9791242480278015,2,23
0.011342336423695087,0.9886576533317566,2,24
0.8636931777000427,0.13630683720111847,2,25
0.8893020153045654,0.11069795489311218,2,26
0.9624460935592651,0.037553876638412476,2,27
0.26525425910949707,0.7347457408905029,2,28
0.001600835588760674,0.9983991980552673,2,29
0.967271089553833,0.0327288955450058,2,30
0.9988877177238464,0.0011123048607259989,2,31
0.0617079883813858,0.9382919669151306,2,32
