a0_to_a1,a1_to_a0,episode,step
D,_,1,0
D,_,1,1
D,_,1,2
D,_,1,3
D,_,1,4
D,_,1,5
D,_,1,6
D,_,1,7
D,_,1,8
D,_,1,9
B,_,1,10
B,_,1,11
B,_,1,12
B,_,1,13
B,_,1,14
B,_,1,15
B,_,1,16
B,_,1,17
B,_,1,18
B,_,1,19
A,_,1,20
A,_,1,21
A,_,1,22
A,_,1,23
B,_,1,24
B,_,1,25
B,_,1,26
B,_,1,27
B,_,1,28
B,_,1,29
B,_,1,30
B,_,1,31
E,_,1,32
E,_,1,33
E,_,1,34
C,_,1,35
A,_,1,36
B,_,1,37
B,_,1,38
B,_,1,39
B,_,1,40
B,_,1,41
B,_,1,42
B,_,1,43
E,_,1,44
E,_,1,45
E,_,1,46
E,_,1,47
E,_,1,48
_,_,2,0
D,_,2,1
D,_,2,2
D,_,2,3
B,_,2,4
B,_,2,5
B,_,2,6
B,_,2,7
B,_,2,8
B,_,2,9
B,_,2,10
B,_,2,11
B,_,2,12
B,_,2,13
B,_,2,14
B,_,2,15
B,_,2,16
B,_,2,17
B,_,2,18
B,_,2,19
B,_,2,20
B,_,2,21
E,_,2,22
E,_,2,23
E,_,2,24
E,_,2,25
B,_,2,26
B,_,2,27
B,_,2,28
B,_,2,29
B,_,2,30
B,_,2,31
B,_,2,32
B,_,2,33
E,_,2,34
E,_,2,35
E,_,2,36
E,_,2,37
E,_,2,38
E,_,2,39
B,_,2,40
B,_,2,41
B,_,2,42
A,_,2,43
A,_,2,44
A,_,2,45
A,_,2,46
A,_,2,47
B,_,2,48
B,_,2,49
_,_,3,0
B,_,3,1
B,_,3,2
B,_,3,3
B,_,3,4
B,_,3,5
B,_,3,6
B,_,3,7
B,_,3,8
B,_,3,9
B,_,3,10
B,_,3,11
B,_,3,12
B,_,3,13
B,_,3,14
B,_,3,15
B,_,3,16
B,_,3,17
B,_,3,18
B,_,3,19
B,_,3,20
B,_,3,21
B,_,3,22
B,_,3,23
E,_,3,24
E,_,3,25
E,_,3,26
E,_,3,27
A,_,3,28
A,_,3,29
B,_,3,30
B,_,3,31
B,_,3,32
B,_,3,33
B,_,3,34
B,_,3,35
B,_,3,36
B,_,3,37
B,_,3,38
B,_,3,39
B,_,3,40
E,_,3,41
E,_,3,42
A,_,3,43
A,_,3,44
A,_,3,45
A,_,3,46
B,_,3,47
B,_,3,48
B,_,3,49
