episode,step,agent0_money
100, 4950, -25.252525252525253
200, 9950, -25.84
300, 14950, -24.58
400, 19950, -25.54
500, 24950, -25.17
600, 29950, -25.58
700, 34950, -25.24
800, 39950, -25.32
900, 44950, -25.85
1000, 49950, -25.43
1100, 54950, -35.0
1200, 59950, -13.98
1300, 64950, -34.38
1400, 69950, -4.67
1500, 74950, -30.33
1600, 79950, -34.81
1700, 84950, -24.09
1800, 89950, -23.78
1900, 94950, -30.15
2000, 99950, -26.32
2100, 104950, -37.93
2200, 109950, -35.26
2300, 114950, -34.2
2400, 119950, -27.08
2500, 124950, -35.47
2600, 129950, -37.93
2700, 134950, -37.65
2800, 139950, -40.75
2900, 144950, -46.48
3000, 149950, -42.52
3100, 154950, -44.9
3200, 159950, -48.94
3300, 164950, -49.56
3400, 169950, -48.95
3500, 174950, -49.22
3600, 179950, -48.82
3700, 184950, -49.4
3800, 189950, -48.68
3900, 194950, -49.2
4000, 199950, -48.94
4100, 204950, -48.64
4200, 209950, -49.59
4300, 214950, -49.52
4400, 219950, -49.37
4500, 224950, -49.38
4600, 229950, -49.22
4700, 234950, -48.14
4800, 239950, -48.48
4900, 244950, -49.08
5000, 249950, -47.65
5100, 254950, -47.19
5200, 259950, -48.25
5300, 264950, -48.49
5400, 269950, -48.07
5500, 274950, -48.99
5600, 279950, -48.99
5700, 284950, -48.8
5800, 289950, -49.25
5900, 294950, -47.83
6000, 299950, -48.07
6100, 304950, -47.32
6200, 309950, -47.96
6300, 314950, -47.61
6400, 319950, -47.12
6500, 324950, -48.17
6600, 329950, -46.88
6700, 334950, -48.64
6800, 339950, -48.07
6900, 344950, -48.29
7000, 349950, -49.1
7100, 354950, -49.77
7200, 359950, -49.6
7300, 364950, -49.62
7400, 369950, -49.27
7500, 374950, -48.67
7600, 379950, -49.13
7700, 384950, -48.68
7800, 389950, -49.08
7900, 394950, -48.69
8000, 399950, -49.94
8100, 404950, -49.43
8200, 409950, -48.59
8300, 414950, -49.47
8400, 419950, -48.89
8500, 424950, -48.6
8600, 429950, -49.08
8700, 434950, -48.7
8800, 439950, -48.27
8900, 444950, -48.55
9000, 449950, -48.64
9100, 454950, -47.95
9200, 459950, -48.1
9300, 464950, -47.59
9400, 469950, -47.72
9500, 474950, -47.61
9600, 479950, -48.66
9700, 484950, -47.21
9800, 489950, -48.35
9900, 494950, -47.96
10000, 499950, -48.23
