episode,step,agent0_money,agent1_money
200, 9950, -22.733668341708544, -24.12060301507538
400, 19950, -23.045, -23.955
600, 29950, -22.655, -24.58
800, 39950, -23.585, -23.66
1000, 49950, -22.685, -24.205
1200, 59950, -29.795, -24.585
1400, 69950, -21.51, -18.535
1600, 79950, -31.12, -34.41
1800, 89950, -29.56, -20.245
2000, 99950, -33.395, -46.2
2200, 109950, -44.055, -47.035
2400, 119950, -44.765, -48.685
2600, 129950, -45.68, -48.51
2800, 139950, -45.47, -48.015
3000, 149950, -45.84, -48.52
3200, 159950, -46.92, -48.86
3400, 169950, -48.015, -48.515
3600, 179950, -49.035, -49.285
3800, 189950, -49.36, -49.32
4000, 199950, -48.91, -48.79
4200, 209950, -49.115, -49.13
4400, 219950, -48.575, -49.175
4600, 229950, -49.28, -49.415
4800, 239950, -48.995, -49.125
5000, 249950, -49.22, -49.535
5200, 259950, -48.96, -49.51
5400, 269950, -48.955, -49.445
5600, 279950, -48.46, -48.85
5800, 289950, -48.48, -49.12
6000, 299950, -48.24, -49.015
6200, 309950, -48.665, -48.865
6400, 319950, -45.78, -49.585
6600, 329950, -40.195, -49.125
6800, 339950, -37.33, -48.985
7000, 349950, -38.51, -49.27
7200, 359950, -41.74, -49.37
7400, 369950, -44.115, -49.545
7600, 379950, -48.015, -49.525
7800, 389950, -45.33, -49.695
8000, 399950, -41.445, -49.835
8200, 409950, -41.475, -49.545
8400, 419950, -39.54, -49.57
8600, 429950, -40.5, -49.755
8800, 439950, -38.04, -49.805
9000, 449950, -42.01, -49.67
9200, 459950, -40.645, -49.705
9400, 469950, -41.115, -49.68
9600, 479950, -39.97, -49.835
9800, 489950, -40.915, -49.35
10000, 499950, -39.5, -49.465
10200, 509950, -39.23, -49.855
10400, 519950, -39.7, -49.715
10600, 529950, -42.36, -49.335
10800, 539950, -41.2, -49.05
11000, 549950, -40.125, -48.93
11200, 559950, -42.015, -48.64
11400, 569950, -40.88, -48.21
11600, 579950, -41.525, -49.33
11800, 589950, -40.78, -47.88
12000, 599950, -40.29, -46.935
12200, 609950, -42.22, -45.84
12400, 619950, -39.505, -49.19
12600, 629950, -40.895, -49.105
12800, 639950, -40.24, -48.62
13000, 649950, -40.15, -48.965
13200, 659950, -37.925, -46.665
13400, 669950, -40.97, -47.62
13600, 679950, -40.075, -46.85
13800, 689950, -33.665, -46.53
14000, 699950, -43.385, -42.395
14200, 709950, -43.555, -46.54
14400, 719950, -42.02, -43.62
14600, 729950, -48.33, -45.57
14800, 739950, -48.48, -44.72
15000, 749950, -44.935, -46.07
15200, 759950, -41.315, -48.005
15400, 769950, -42.23, -48.46
15600, 779950, -39.035, -46.43
15800, 789950, -41.78, -45.89
16000, 799950, -43.785, -45.435
16200, 809950, -41.405, -41.27
16400, 819950, -44.72, -35.375
16600, 829950, -46.85, -39.735
16800, 839950, -46.17, -40.585
17000, 849950, -46.315, -42.45
17200, 859950, -46.265, -41.82
17400, 869950, -48.24, -45.55
17600, 879950, -47.815, -43.515
17800, 889950, -45.395, -41.775
18000, 899950, -46.6, -43.82
18200, 909950, -47.37, -45.88
18400, 919950, -47.205, -46.605
18600, 929950, -47.945, -44.24
18800, 939950, -44.79, -43.905
19000, 949950, -46.06, -47.555
19200, 959950, -45.175, -48.615
19400, 969950, -46.2, -48.49
19600, 979950, -45.035, -48.07
19800, 989950, -45.79, -48.455
20000, 999950, -39.93, -46.58
