episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min,agent2_energy_min,agent2_attention_min,agent3_energy_min,agent3_attention_min
1000, 49950, -16.08908908908909, -15.544544544544545, -17.445445445445447, -16.616616616616618, -15.24124124124124, -20.25725725725726, -16.28828828828829, -17.07207207207207
2000, 99950, -12.245, -21.412, -10.67, -31.115, -14.63, -21.659, -8.531, -25.748
3000, 149950, -4.65, -42.201, -12.113, -30.858, -17.34, -25.915, -17.161, -25.554
4000, 199950, -3.789, -44.938, -13.717, -32.608, -25.742, -22.577, -12.247, -35.506
5000, 249950, -2.849, -45.007, -8.857, -37.8, -30.399, -17.969, -13.235, -35.682
6000, 299950, -1.679, -47.559, -13.743, -33.252, -35.106, -13.347, -11.925, -36.986
7000, 349950, -1.896, -47.582, -18.179, -29.904, -42.047, -6.802, -15.215, -33.515
8000, 399950, -2.136, -47.205, -25.867, -23.391, -45.923, -3.829, -16.257, -32.756
9000, 449950, -2.123, -47.21, -28.688, -20.254, -46.254, -3.45, -16.716, -32.546
10000, 499950, -1.594, -48.151, -36.842, -11.935, -47.254, -2.206, -17.838, -31.232
11000, 549950, -1.84, -47.789, -42.833, -6.423, -46.576, -2.059, -19.423, -29.331
12000, 599950, -1.204, -48.464, -42.308, -7.634, -48.208, -0.953, -20.446, -28.203
13000, 649950, -0.91, -48.925, -38.442, -11.33, -47.307, -1.967, -23.287, -25.434
14000, 699950, -1.204, -48.662, -39.923, -9.261, -48.479, -0.739, -16.709, -31.355
15000, 749950, -1.14, -48.639, -44.377, -4.65, -48.849, -0.542, -17.485, -31.274
16000, 799950, -0.711, -49.151, -36.935, -11.813, -49.158, -0.405, -9.959, -39.277
17000, 849950, -0.546, -49.265, -34.756, -14.201, -49.142, -0.209, -10.217, -38.709
18000, 899950, -0.758, -48.913, -37.181, -11.878, -49.529, -0.054, -9.213, -39.383
19000, 949950, -0.998, -48.525, -44.712, -4.145, -49.209, -0.152, -11.271, -37.626
20000, 999950, -1.125, -48.6, -45.489, -2.616, -49.231, -0.218, -13.562, -35.507
21000, 1049950, -0.909, -48.762, -42.665, -6.474, -44.865, -0.356, -13.659, -35.776
22000, 1099950, -1.078, -48.706, -43.668, -5.367, -49.296, -0.373, -13.655, -36.173
23000, 1149950, -3.18, -46.536, -44.176, -4.257, -46.249, -0.605, -16.898, -32.786
24000, 1199950, -1.766, -47.634, -46.978, -2.647, -44.894, -3.978, -30.786, -18.857
25000, 1249950, -1.227, -48.456, -46.122, -3.458, -45.559, -2.311, -28.802, -21.032
26000, 1299950, -1.364, -48.512, -46.611, -3.223, -38.921, -4.39, -26.282, -23.582
27000, 1349950, -2.209, -47.667, -46.375, -3.519, -37.44, -6.027, -31.049, -18.897
28000, 1399950, -1.285, -48.433, -39.321, -10.483, -38.857, -1.484, -27.068, -22.9
29000, 1449950, -1.572, -47.962, -42.76, -6.562, -27.282, -1.347, -30.839, -19.145
30000, 1499950, -1.598, -48.24, -45.204, -1.7, -26.826, -1.753, -27.05, -22.929
31000, 1549950, -1.34, -48.45, -44.255, -2.88, -35.828, -1.696, -27.997, -20.675
32000, 1599950, -1.367, -48.221, -45.422, -1.962, -37.675, -6.749, -29.548, -20.026
33000, 1649950, -1.372, -48.314, -44.596, -3.063, -44.171, -3.768, -37.616, -11.754
34000, 1699950, -1.491, -48.445, -47.254, -1.167, -42.401, -4.732, -37.558, -11.545
35000, 1749950, -1.509, -48.354, -43.601, -2.922, -34.112, -7.952, -37.387, -11.526
36000, 1799950, -1.225, -48.717, -42.599, -2.664, -37.45, -4.068, -38.368, -10.776
37000, 1849950, -0.854, -48.916, -45.108, -3.222, -35.547, -6.22, -37.0, -12.466
38000, 1899950, -0.801, -49.124, -46.167, -3.099, -29.904, -8.707, -39.76, -9.835
39000, 1949950, -1.667, -48.279, -43.755, -3.087, -32.203, -10.094, -38.55, -10.831
40000, 1999950, -0.927, -48.999, -44.616, -3.293, -31.974, -8.842, -37.953, -11.345
