episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg,agent1_energy_min,agent1_energy_max,agent1_energy_avg,agent2_energy_min,agent2_energy_max,agent2_energy_avg,agent3_energy_min,agent3_energy_max,agent3_energy_avg
200, 9950, -23.899497487437184, -0.542713567839196, -12.629547738693464, -15.984924623115578, -0.31155778894472363, -8.463618090452258, -23.185929648241206, -0.49246231155778897, -11.799899497487436, -20.748743718592966, -0.3869346733668342, -10.595577889447238
400, 19950, -24.025, -0.46, -12.509399999999996, -15.585, -0.325, -8.3277, -23.935, -0.49, -12.2313, -20.535, -0.485, -10.627699999999997
600, 29950, -23.29, -0.405, -12.081700000000001, -16.185, -0.38, -8.689099999999991, -23.005, -0.48, -11.818100000000001, -20.835, -0.455, -10.747999999999989
800, 39950, -23.745, -0.545, -12.445799999999997, -15.135, -0.32, -8.0979, -23.63, -0.455, -12.159300000000007, -20.61, -0.435, -10.689400000000001
1000, 49950, -24.1, -0.495, -12.615199999999998, -16.265, -0.385, -8.644499999999995, -23.34, -0.455, -11.917899999999996, -21.24, -0.46, -10.987599999999997
1200, 59950, -25.045, -0.61, -13.323300000000007, -18.91, -0.195, -8.582600000000003, -42.62, -0.74, -21.16779999999999, -30.975, -0.57, -15.1668
1400, 69950, -17.045, -0.59, -10.002500000000003, -17.42, -0.38, -8.991700000000002, -29.975, -0.365, -14.549299999999993, -18.56, -0.295, -8.983999999999991
1600, 79950, -6.3, -0.34, -3.9545, -17.275, -0.41, -9.149699999999998, -18.835, -0.35, -9.181800000000004, -18.35, -0.35, -8.986699999999999
1800, 89950, -14.9, -0.43, -7.879700000000002, -3.99, -0.135, -2.3252999999999986, -21.07, -0.535, -11.152399999999998, -15.425, -0.34, -7.8983000000000025
2000, 99950, -13.72, -0.485, -6.8749, -0.215, -0.085, -0.1844, -22.75, -0.555, -12.272299999999996, -29.935, -0.485, -14.423200000000003
2200, 109950, -16.785, -0.47, -8.322799999999999, -0.275, -0.05, -0.20360000000000003, -30.7, -0.665, -16.25150000000001, -31.49, -0.61, -15.69619999999999
2400, 119950, -28.615, -0.495, -14.004000000000001, -0.345, -0.06, -0.26819999999999994, -34.895, -0.765, -17.878, -31.645, -0.665, -15.745099999999995
2600, 129950, -32.425, -0.41, -16.033099999999994, -0.34, -0.03, -0.22670000000000004, -35.995, -0.735, -18.53170000000001, -28.27, -0.6, -14.243799999999997
2800, 139950, -30.59, -0.44, -14.977099999999998, -0.365, -0.075, -0.2688999999999999, -35.96, -0.73, -18.38619999999999, -30.61, -0.51, -14.2631
3000, 149950, -34.25, -0.47, -16.893800000000002, -0.665, -0.08, -0.4518, -33.975, -0.725, -18.051599999999997, -34.9, -0.66, -16.964200000000005
3200, 159950, -24.52, -0.365, -11.6973, -0.425, -0.08, -0.3521, -32.81, -0.715, -17.575099999999992, -40.165, -0.72, -19.29379999999998
3400, 169950, -21.72, -0.3, -10.558600000000002, -0.265, -0.06, -0.22699999999999992, -28.47, -0.77, -15.894200000000005, -41.08, -0.855, -20.178899999999995
