a0_to_a1,a1_to_a0,episode,step
A,B,1,0
A,A,1,1
A,B,1,2
A,A,1,3
A,B,1,4
A,A,1,5
A,B,1,6
A,C,1,7
A,B,1,8
A,A,1,9
A,A,1,10
A,A,1,11
A,C,1,12
A,C,1,13
A,C,1,14
A,A,1,15
A,B,1,16
A,A,1,17
A,A,1,18
A,A,1,19
A,A,1,20
A,A,1,21
A,A,1,22
A,C,1,23
A,C,1,24
A,B,1,25
C,A,1,26
C,C,1,27
A,A,1,28
C,B,1,29
C,B,1,30
C,C,1,31
C,C,1,32
C,B,1,33
C,A,1,34
C,C,1,35
C,B,1,36
C,A,1,37
C,B,1,38
C,A,1,39
C,C,1,40
C,B,1,41
C,A,1,42
C,B,1,43
C,A,1,44
C,C,1,45
C,C,1,46
C,B,1,47
C,B,1,48
_,_,2,0
A,B,2,1
A,A,2,2
A,C,2,3
A,C,2,4
A,C,2,5
A,C,2,6
A,A,2,7
A,C,2,8
A,C,2,9
A,C,2,10
A,C,2,11
A,C,2,12
A,C,2,13
A,C,2,14
A,C,2,15
A,C,2,16
A,C,2,17
A,A,2,18
A,C,2,19
B,A,2,20
A,A,2,21
A,C,2,22
A,C,2,23
A,C,2,24
A,C,2,25
A,C,2,26
A,C,2,27
A,C,2,28
A,C,2,29
A,C,2,30
A,C,2,31
A,C,2,32
A,C,2,33
A,C,2,34
A,C,2,35
A,C,2,36
A,C,2,37
A,C,2,38
A,C,2,39
A,C,2,40
A,C,2,41
A,C,2,42
A,C,2,43
A,C,2,44
A,B,2,45
A,C,2,46
A,C,2,47
A,C,2,48
A,C,2,49
_,_,3,0
A,B,3,1
A,B,3,2
A,B,3,3
A,A,3,4
A,A,3,5
A,A,3,6
A,A,3,7
A,B,3,8
A,B,3,9
A,B,3,10
A,B,3,11
A,B,3,12
A,B,3,13
A,B,3,14
A,B,3,15
A,B,3,16
A,B,3,17
A,B,3,18
A,B,3,19
A,B,3,20
A,B,3,21
A,B,3,22
A,B,3,23
A,B,3,24
A,B,3,25
A,B,3,26
A,B,3,27
A,B,3,28
A,B,3,29
A,B,3,30
A,B,3,31
A,B,3,32
A,B,3,33
A,B,3,34
A,B,3,35
A,B,3,36
A,B,3,37
A,B,3,38
A,B,3,39
A,B,3,40
A,B,3,41
A,B,3,42
A,B,3,43
A,B,3,44
A,B,3,45
A,B,3,46
A,B,3,47
A,B,3,48
A,B,3,49
_,_,4,0
A,B,4,1
A,A,4,2
A,B,4,3
A,A,4,4
A,B,4,5
A,A,4,6
A,A,4,7
A,A,4,8
A,A,4,9
A,A,4,10
A,A,4,11
A,A,4,12
A,A,4,13
A,C,4,14
A,C,4,15
A,C,4,16
A,B,4,17
A,B,4,18
A,C,4,19
A,B,4,20
A,B,4,21
A,A,4,22
A,B,4,23
A,C,4,24
A,C,4,25
B,B,4,26
A,B,4,27
A,A,4,28
A,B,4,29
A,C,4,30
B,B,4,31
A,C,4,32
A,B,4,33
A,B,4,34
A,C,4,35
A,C,4,36
A,B,4,37
A,A,4,38
A,C,4,39
A,B,4,40
A,C,4,41
A,C,4,42
A,C,4,43
A,B,4,44
A,C,4,45
A,B,4,46
A,A,4,47
A,B,4,48
A,B,4,49
_,_,5,0
A,B,5,1
A,A,5,2
A,B,5,3
A,A,5,4
A,B,5,5
A,A,5,6
A,B,5,7
A,B,5,8
A,B,5,9
A,B,5,10
C,B,5,11
A,A,5,12
A,A,5,13
C,A,5,14
A,A,5,15
A,A,5,16
A,A,5,17
C,A,5,18
A,A,5,19
C,A,5,20
A,A,5,21
A,A,5,22
A,A,5,23
A,A,5,24
A,A,5,25
A,A,5,26
A,A,5,27
A,A,5,28
A,A,5,29
A,A,5,30
A,A,5,31
A,C,5,32
A,C,5,33
A,B,5,34
A,B,5,35
A,B,5,36
A,B,5,37
A,C,5,38
A,B,5,39
A,B,5,40
A,A,5,41
A,B,5,42
A,B,5,43
A,A,5,44
A,C,5,45
A,B,5,46
A,A,5,47
A,B,5,48
A,A,5,49
