energy,attention,episode,step
-1.0,0.0,1,0
-2.0,0.0,1,1
-3.0,0.0,1,2
-4.0,0.0,1,3
-5.0,0.0,1,4
-6.0,0.0,1,5
-7.0,0.0,1,6
-8.0,0.0,1,7
-9.0,0.0,1,8
-10.0,0.0,1,9
-11.0,0.0,1,10
-12.0,0.0,1,11
-13.0,0.0,1,12
-14.0,0.0,1,13
-15.0,0.0,1,14
-16.0,0.0,1,15
-17.0,0.0,1,16
-18.0,0.0,1,17
-19.0,0.0,1,18
-20.0,0.0,1,19
-21.0,0.0,1,20
-22.0,0.0,1,21
-23.0,0.0,1,22
-24.0,0.0,1,23
-25.0,0.0,1,24
-26.0,0.0,1,25
-26.0,0.0,1,26
-26.0,0.0,1,27
-27.0,0.0,1,28
-27.0,0.0,1,29
-27.0,0.0,1,30
-27.0,0.0,1,31
-27.0,0.0,1,32
-27.0,0.0,1,33
-27.0,0.0,1,34
-27.0,0.0,1,35
-27.0,0.0,1,36
-27.0,0.0,1,37
-27.0,0.0,1,38
-27.0,0.0,1,39
-27.0,0.0,1,40
-27.0,0.0,1,41
-27.0,0.0,1,42
-27.0,0.0,1,43
-27.0,0.0,1,44
-27.0,0.0,1,45
-27.0,0.0,1,46
-27.0,0.0,1,47
-27.0,0.0,1,48
-27.0,0.0,1,49
-1.0,0.0,2,0
-2.0,0.0,2,1
-3.0,0.0,2,2
-4.0,0.0,2,3
-5.0,0.0,2,4
-6.0,0.0,2,5
-7.0,0.0,2,6
-8.0,0.0,2,7
-9.0,0.0,2,8
-10.0,0.0,2,9
-11.0,0.0,2,10
-12.0,0.0,2,11
-13.0,0.0,2,12
-14.0,0.0,2,13
-15.0,0.0,2,14
-16.0,0.0,2,15
-17.0,0.0,2,16
-18.0,0.0,2,17
-19.0,0.0,2,18
-19.0,-1.0,2,19
-20.0,-1.0,2,20
-21.0,-1.0,2,21
-22.0,-1.0,2,22
-23.0,-1.0,2,23
-24.0,-1.0,2,24
-25.0,-1.0,2,25
-26.0,-1.0,2,26
-27.0,-1.0,2,27
-28.0,-1.0,2,28
-29.0,-1.0,2,29
-30.0,-1.0,2,30
-31.0,-1.0,2,31
-32.0,-1.0,2,32
-33.0,-1.0,2,33
-34.0,-1.0,2,34
-35.0,-1.0,2,35
-36.0,-1.0,2,36
-37.0,-1.0,2,37
-38.0,-1.0,2,38
-39.0,-1.0,2,39
-40.0,-1.0,2,40
