episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
1000, 49950, -18.157157157157158, -16.605605605605607, -17.57757757757758, -16.34034034034034
2000, 99950, -14.564, -16.977, -21.71, -8.57
3000, 149950, -11.275, -34.897, -32.082, -3.281
4000, 199950, -26.231, -22.882, -44.038, -0.479
5000, 249950, -45.157, -3.938, -43.688, -0.232
6000, 299950, -48.676, -0.48, -43.868, -0.128
7000, 349950, -49.126, -0.084, -42.167, -0.184
8000, 399950, -49.514, -0.018, -40.775, -0.075
9000, 449950, -49.438, -0.007, -41.061, -0.065
10000, 499950, -49.77, -0.015, -42.287, -0.11
11000, 549950, -49.482, -0.019, -42.717, -0.061
12000, 599950, -49.837, -0.01, -43.947, -0.071
13000, 649950, -49.888, -0.01, -42.627, -0.051
14000, 699950, -46.829, -0.009, -43.248, -0.269
15000, 749950, -47.114, -0.011, -43.371, -0.299
16000, 799950, -44.031, -0.162, -44.848, -0.266
17000, 849950, -45.338, -0.465, -43.822, -0.379
18000, 899950, -44.768, -0.268, -43.625, -0.39
19000, 949950, -44.351, -0.903, -41.669, -3.107
20000, 999950, -39.327, -2.575, -43.931, -0.99
21000, 1049950, -37.96, -0.516, -43.899, -0.438
22000, 1099950, -38.963, -0.461, -43.677, -1.886
23000, 1149950, -37.117, -3.13, -36.507, -0.263
24000, 1199950, -36.467, -3.15, -42.567, -1.797
25000, 1249950, -30.904, -3.692, -44.373, -1.706
26000, 1299950, -30.58, -2.115, -44.779, -0.747
27000, 1349950, -26.432, -1.296, -47.461, -0.595
28000, 1399950, -30.951, -0.475, -46.516, -1.454
29000, 1449950, -24.533, -2.646, -44.588, -1.163
30000, 1499950, -26.718, -0.146, -43.511, -0.848
31000, 1549950, -26.447, -0.089, -41.656, -1.804
32000, 1599950, -23.355, -0.036, -43.329, -2.632
33000, 1649950, -23.783, -0.047, -35.703, -9.617
34000, 1699950, -23.529, -0.681, -35.921, -9.045
35000, 1749950, -23.748, -0.797, -33.742, -4.849
36000, 1799950, -20.806, -0.911, -38.119, -5.178
37000, 1849950, -19.812, -0.771, -35.936, -3.387
38000, 1899950, -20.454, -0.086, -34.702, -1.428
39000, 1949950, -22.799, -0.078, -35.215, -2.524
40000, 1999950, -23.428, -0.045, -31.512, -3.602
