episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
1000, 49950, -15.443443443443444, -17.62062062062062, -14.976976976976976, -15.954954954954955
2000, 99950, -15.787, -19.9, -5.938, -6.689
3000, 149950, -7.425, -36.925, -0.047, -0.012
4000, 199950, -6.874, -35.89, -0.09, -0.015
5000, 249950, -22.364, -23.41, -11.585, -0.186
6000, 299950, -45.722, -1.185, -4.172, -0.032
7000, 349950, -47.205, -0.934, -4.024, -0.241
8000, 399950, -47.285, -1.521, -5.618, -0.709
9000, 449950, -47.481, -0.678, -19.812, -0.628
10000, 499950, -47.166, -0.399, -14.634, -0.462
11000, 549950, -45.428, -0.262, -34.828, -0.086
12000, 599950, -44.104, -0.325, -41.202, -0.07
13000, 649950, -45.905, -0.249, -45.535, -0.304
14000, 699950, -45.951, -0.31, -45.355, -0.226
15000, 749950, -47.347, -0.194, -45.111, -0.083
16000, 799950, -47.345, -0.105, -46.701, -0.238
17000, 849950, -46.211, -0.149, -46.118, -0.315
18000, 899950, -44.345, -0.257, -47.081, -0.029
19000, 949950, -41.029, -0.704, -46.956, -0.111
20000, 999950, -38.61, -1.885, -47.432, -0.01
21000, 1049950, -40.212, -1.633, -48.3, -0.009
22000, 1099950, -37.155, -2.362, -42.261, -0.012
23000, 1149950, -36.226, -2.991, -45.159, -0.019
24000, 1199950, -32.439, -6.509, -45.184, -0.052
25000, 1249950, -32.1, -3.723, -40.27, -0.905
26000, 1299950, -34.118, -2.146, -38.359, -0.089
27000, 1349950, -33.23, -6.307, -34.625, -0.274
28000, 1399950, -33.94, -3.614, -23.672, -0.434
29000, 1449950, -35.39, -2.373, -26.704, -0.793
30000, 1499950, -36.501, -4.466, -32.033, -0.763
31000, 1549950, -35.314, -6.467, -23.968, -4.212
32000, 1599950, -32.571, -3.004, -26.429, -0.567
33000, 1649950, -30.743, -3.744, -21.323, -0.312
34000, 1699950, -27.065, -7.046, -20.658, -0.494
35000, 1749950, -31.746, -3.135, -22.995, -0.1
36000, 1799950, -28.37, -1.836, -21.118, -0.985
37000, 1849950, -24.285, -1.474, -16.856, -1.96
38000, 1899950, -25.259, -3.572, -18.93, -1.432
39000, 1949950, -23.149, -4.359, -18.78, -0.424
40000, 1999950, -27.596, -3.855, -16.945, -0.35
