episode,step,agent0_rew,agent1_rew,agent2_rew,agent3_rew
1000, 25408, 2.46, 2.46, 2.46, -9.00648410628047
2000, 52660, 3.93, 3.93, 3.93, -15.62580980636411
3000, 81885, 5.99, 5.99, 5.99, -6.454612796534007
4000, 113217, 25.75, 25.75, 25.75, -26.160155175072564
5000, 146916, 40.8, 40.8, 40.8, -53.959018888099656
6000, 182997, 38.84, 38.84, 38.84, -53.74996819083374
7000, 221756, 65.21, 65.21, 65.21, -72.53937708188279
8000, 263306, 65.9, 65.9, 65.9, -78.45137857972979
9000, 307869, 53.47, 53.47, 53.47, -74.92491759734897
10000, 355637, 48.86, 48.86, 48.86, -80.17848319388807
11000, 406940, 52.38, 52.38, 52.38, -85.83612239373971
12000, 461923, 45.24, 45.24, 45.24, -79.92935451672564
13000, 520889, 41.64, 41.64, 41.64, -79.03604886406127
14000, 584098, 36.92, 36.92, 36.92, -70.62865229302464
15000, 651925, 43.08, 43.08, 43.08, -73.45726450838269
16000, 724634, 44.27, 44.27, 44.27, -75.15979528836941
17000, 802600, 49.23, 49.23, 49.23, -82.31806662338685
18000, 886188, 44.88, 44.88, 44.88, -84.40035333872429
19000, 975835, 44.71, 44.71, 44.71, -83.53926857388744
20000, 1071923, 45.9, 45.9, 45.9, -79.67254447069038
21000, 1174970, 46.99, 46.99, 46.99, -81.72002071058748
22000, 1285436, 49.37, 49.37, 49.37, -85.80770654117259
23000, 1403866, 59.42, 59.42, 59.42, -109.17520817929002
24000, 1530832, 63.02, 63.02, 63.02, -115.40959282043676
25000, 1666959, 59.94, 59.94, 59.94, -128.5947354644587
26000, 1812882, 68.51, 68.51, 68.51, -131.4000574901519
27000, 1969314, 52.78, 52.78, 52.78, -117.28724219759889
28000, 2137004, 59.87, 59.87, 59.87, -125.42370221795139
29000, 2316778, 97.43, 97.43, 97.43, -155.45891296960983
30000, 2509476, 115.08, 115.08, 115.08, -178.4920562868173
31000, 2709475, 122.38, 122.38, 122.38, -190.2520038844289
32000, 2909475, 117.42, 117.42, 117.42, -180.67372180346973
33000, 3109475, 113.54, 113.54, 113.54, -174.88745207190152
34000, 3309475, 100.73, 100.73, 100.73, -170.5503343485761
35000, 3509475, 87.71, 87.71, 87.71, -145.66144511796392
36000, 3709475, 107.2, 107.2, 107.2, -195.15084832523195
37000, 3909475, 109.24, 109.24, 109.24, -181.5542342033513
38000, 4109475, 110.45, 110.45, 110.45, -171.0957158964936
39000, 4309475, 126.78, 126.78, 126.78, -185.8679848807945
40000, 4509475, 126.31, 126.31, 126.31, -189.40860075448387
41000, 4709475, 121.25, 121.25, 121.25, -176.89530851606006
42000, 4909475, 107.42, 107.42, 107.42, -161.2479926448769
43000, 5109475, 117.38, 117.38, 117.38, -177.68596952026076
44000, 5309475, 111.77, 111.77, 111.77, -176.60143146143218
45000, 5509475, 113.86, 113.86, 113.86, -173.57030449172137
46000, 5709475, 107.52, 107.52, 107.52, -178.16555059439077
47000, 5909475, 100.81, 100.81, 100.81, -189.81619230177245
48000, 6109475, 89.31, 89.31, 89.31, -189.96969266411813
49000, 6309475, 128.91, 128.91, 128.91, -203.0567816348895
50000, 6509475, 136.8, 136.8, 136.8, -208.3551698852213
51000, 6709475, 105.65, 105.65, 105.65, -159.99044171328094
52000, 6909475, 88.47, 88.47, 88.47, -146.95951263027416
