energy,attention,episode,step
-1.0,0.0,1,0
-2.0,0.0,1,1
-3.0,0.0,1,2
-4.0,0.0,1,3
-5.0,0.0,1,4
-6.0,0.0,1,5
-7.0,0.0,1,6
-8.0,0.0,1,7
-8.0,0.0,1,8
-8.0,0.0,1,9
-8.0,0.0,1,10
-8.0,0.0,1,11
-8.0,0.0,1,12
-8.0,0.0,1,13
-8.0,0.0,1,14
-8.0,0.0,1,15
-8.0,0.0,1,16
-8.0,0.0,1,17
-8.0,0.0,1,18
-8.0,0.0,1,19
-8.0,0.0,1,20
-8.0,0.0,1,21
-8.0,0.0,1,22
-8.0,0.0,1,23
-8.0,0.0,1,24
-8.0,0.0,1,25
-8.0,0.0,1,26
-8.0,0.0,1,27
-8.0,0.0,1,28
-8.0,0.0,1,29
-8.0,0.0,1,30
-8.0,0.0,1,31
-8.0,0.0,1,32
-8.0,0.0,1,33
-8.0,0.0,1,34
-8.0,0.0,1,35
-8.0,0.0,1,36
-8.0,0.0,1,37
-8.0,0.0,1,38
-8.0,0.0,1,39
-8.0,0.0,1,40
-8.0,0.0,1,41
-8.0,0.0,1,42
-8.0,0.0,1,43
-8.0,0.0,1,44
-8.0,0.0,1,45
-8.0,0.0,1,46
-8.0,0.0,1,47
-8.0,0.0,1,48
-9.0,0.0,1,49
-1.0,0.0,2,0
-2.0,0.0,2,1
-3.0,0.0,2,2
-4.0,0.0,2,3
-5.0,0.0,2,4
-6.0,0.0,2,5
-7.0,0.0,2,6
-8.0,0.0,2,7
-9.0,0.0,2,8
-10.0,0.0,2,9
-11.0,0.0,2,10
-12.0,0.0,2,11
-13.0,0.0,2,12
-14.0,0.0,2,13
-15.0,0.0,2,14
-16.0,0.0,2,15
-17.0,0.0,2,16
-18.0,0.0,2,17
-19.0,0.0,2,18
-20.0,0.0,2,19
-21.0,0.0,2,20
-22.0,0.0,2,21
-23.0,0.0,2,22
-24.0,0.0,2,23
-25.0,0.0,2,24
-26.0,0.0,2,25
-27.0,0.0,2,26
-28.0,0.0,2,27
-29.0,0.0,2,28
-30.0,0.0,2,29
-31.0,0.0,2,30
-32.0,0.0,2,31
-32.0,0.0,2,32
-32.0,0.0,2,33
-33.0,0.0,2,34
-34.0,0.0,2,35
-35.0,0.0,2,36
-36.0,0.0,2,37
-37.0,0.0,2,38
-37.0,0.0,2,39
-38.0,0.0,2,40
-39.0,0.0,2,41
