a0_to_a1,a1_to_a0,episode,step
B,A,1,0
B,A,1,1
B,B,1,2
B,A,1,3
B,A,1,4
B,A,1,5
B,B,1,6
B,A,1,7
B,A,1,8
B,B,1,9
B,A,1,10
B,A,1,11
B,B,1,12
B,A,1,13
B,B,1,14
B,B,1,15
B,B,1,16
B,A,1,17
B,B,1,18
B,B,1,19
B,B,1,20
B,B,1,21
B,B,1,22
B,B,1,23
B,A,1,24
B,B,1,25
B,B,1,26
B,B,1,27
B,B,1,28
B,B,1,29
B,B,1,30
B,B,1,31
B,B,1,32
B,B,1,33
B,B,1,34
B,B,1,35
B,B,1,36
B,A,1,37
B,B,1,38
B,B,1,39
B,B,1,40
B,B,1,41
B,B,1,42
B,B,1,43
B,B,1,44
B,B,1,45
B,B,1,46
B,B,1,47
B,B,1,48
_,_,2,0
B,A,2,1
B,A,2,2
B,A,2,3
B,A,2,4
B,A,2,5
B,A,2,6
B,A,2,7
B,A,2,8
B,A,2,9
B,A,2,10
B,A,2,11
A,A,2,12
A,A,2,13
A,A,2,14
A,A,2,15
A,A,2,16
A,A,2,17
A,A,2,18
A,A,2,19
A,B,2,20
A,B,2,21
A,B,2,22
A,B,2,23
B,B,2,24
B,B,2,25
B,B,2,26
B,B,2,27
B,B,2,28
B,B,2,29
B,B,2,30
B,B,2,31
B,B,2,32
B,B,2,33
B,B,2,34
B,B,2,35
B,B,2,36
B,B,2,37
B,B,2,38
B,B,2,39
B,B,2,40
B,B,2,41
B,B,2,42
B,B,2,43
B,B,2,44
B,B,2,45
B,B,2,46
B,B,2,47
B,B,2,48
B,B,2,49
_,_,3,0
B,A,3,1
A,A,3,2
A,A,3,3
A,A,3,4
A,A,3,5
A,B,3,6
A,A,3,7
A,A,3,8
A,B,3,9
A,A,3,10
A,B,3,11
A,B,3,12
A,B,3,13
A,B,3,14
A,B,3,15
A,B,3,16
A,A,3,17
A,A,3,18
B,B,3,19
B,B,3,20
B,B,3,21
B,B,3,22
B,B,3,23
B,B,3,24
B,B,3,25
B,B,3,26
B,B,3,27
B,B,3,28
B,B,3,29
B,B,3,30
B,B,3,31
B,B,3,32
B,B,3,33
B,B,3,34
B,B,3,35
B,B,3,36
B,B,3,37
B,B,3,38
B,B,3,39
B,B,3,40
B,B,3,41
B,B,3,42
B,B,3,43
B,B,3,44
B,B,3,45
B,B,3,46
B,B,3,47
B,B,3,48
B,B,3,49
_,_,4,0
A,A,4,1
A,A,4,2
A,A,4,3
A,A,4,4
A,A,4,5
A,A,4,6
B,A,4,7
A,A,4,8
A,B,4,9
A,A,4,10
B,B,4,11
A,A,4,12
B,B,4,13
A,B,4,14
B,A,4,15
A,B,4,16
B,A,4,17
B,B,4,18
B,B,4,19
B,A,4,20
A,B,4,21
A,B,4,22
A,B,4,23
B,B,4,24
B,B,4,25
B,B,4,26
B,B,4,27
B,B,4,28
B,B,4,29
B,B,4,30
B,B,4,31
B,B,4,32
B,B,4,33
B,B,4,34
B,B,4,35
B,B,4,36
B,B,4,37
B,B,4,38
B,B,4,39
B,B,4,40
B,B,4,41
B,B,4,42
B,B,4,43
B,B,4,44
B,B,4,45
B,B,4,46
B,B,4,47
B,B,4,48
B,B,4,49
_,_,5,0
B,A,5,1
B,A,5,2
B,A,5,3
B,A,5,4
B,A,5,5
B,A,5,6
B,A,5,7
B,A,5,8
B,A,5,9
B,A,5,10
B,A,5,11
B,A,5,12
B,A,5,13
B,A,5,14
A,A,5,15
A,A,5,16
A,A,5,17
A,B,5,18
A,B,5,19
A,B,5,20
A,B,5,21
A,B,5,22
B,B,5,23
A,B,5,24
B,B,5,25
B,B,5,26
B,B,5,27
B,B,5,28
B,B,5,29
B,B,5,30
B,B,5,31
B,B,5,32
B,B,5,33
B,B,5,34
B,B,5,35
B,B,5,36
B,B,5,37
B,B,5,38
B,B,5,39
B,B,5,40
B,B,5,41
B,B,5,42
B,B,5,43
B,B,5,44
B,B,5,45
B,B,5,46
B,A,5,47
B,B,5,48
B,B,5,49
