episode,step,agent0_money,agent1_money
200, 9950, -25.899497487437184, -28.065326633165828
400, 19950, -25.63, -27.835
600, 29950, -25.68, -28.21
800, 39950, -25.73, -27.74
1000, 49950, -26.36, -27.76
1200, 59950, -31.165, -40.615
1400, 69950, -26.67, -26.945
1600, 79950, -15.625, -13.575
1800, 89950, -1.145, -5.01
2000, 99950, -1.56, -5.005
2200, 109950, -1.295, -3.63
2400, 119950, -4.665, -3.035
2600, 129950, -2.625, -2.07
2800, 139950, -4.67, -0.76
3000, 149950, -2.075, -1.045
3200, 159950, -1.48, -0.85
3400, 169950, -1.475, -1.43
3600, 179950, -1.62, -2.46
3800, 189950, -1.335, -2.565
4000, 199950, -0.73, -2.57
4200, 209950, -2.07, -1.285
4400, 219950, -1.365, -0.585
4600, 229950, -1.67, -1.685
4800, 239950, -1.22, -2.025
5000, 249950, -3.87, -1.855
5200, 259950, -14.395, -1.29
5400, 269950, -6.17, -1.99
5600, 279950, -23.235, -2.985
5800, 289950, -35.94, -3.115
6000, 299950, -32.27, -4.41
6200, 309950, -16.76, -4.795
6400, 319950, -18.675, -5.505
6600, 329950, -11.395, -2.185
6800, 339950, -20.22, -1.705
7000, 349950, -13.75, -3.16
7200, 359950, -12.53, -3.485
7400, 369950, -5.275, -5.095
7600, 379950, -9.29, -9.05
7800, 389950, -6.915, -9.245
8000, 399950, -14.345, -7.01
8200, 409950, -16.625, -10.375
8400, 419950, -16.06, -11.575
8600, 429950, -8.315, -11.56
8800, 439950, -8.545, -8.875
9000, 449950, -23.705, -4.495
9200, 459950, -18.84, -8.915
9400, 469950, -22.91, -15.565
9600, 479950, -19.72, -10.01
9800, 489950, -16.31, -18.28
10000, 499950, -22.415, -16.45
10200, 509950, -12.965, -27.955
10400, 519950, -13.555, -26.53
10600, 529950, -12.985, -21.015
10800, 539950, -16.38, -26.895
11000, 549950, -17.755, -14.76
11200, 559950, -15.245, -14.47
11400, 569950, -14.785, -10.995
11600, 579950, -17.35, -13.91
11800, 589950, -8.59, -17.29
12000, 599950, -21.415, -28.795
12200, 609950, -12.215, -32.79
12400, 619950, -12.96, -25.495
12600, 629950, -15.985, -25.735
12800, 639950, -23.015, -28.46
13000, 649950, -18.535, -39.915
13200, 659950, -15.87, -28.87
13400, 669950, -23.73, -28.06
13600, 679950, -21.615, -28.355
13800, 689950, -24.295, -25.63
14000, 699950, -22.77, -22.43
14200, 709950, -31.745, -24.645
14400, 719950, -27.715, -21.45
14600, 729950, -31.815, -25.29
14800, 739950, -27.69, -19.225
15000, 749950, -29.05, -19.385
15200, 759950, -26.875, -14.4
15400, 769950, -29.835, -15.915
15600, 779950, -32.745, -13.955
15800, 789950, -29.53, -9.965
16000, 799950, -32.095, -10.765
16200, 809950, -33.865, -14.41
16400, 819950, -29.505, -12.9
16600, 829950, -30.75, -10.43
16800, 839950, -32.18, -12.715
17000, 849950, -35.15, -13.765
17200, 859950, -30.865, -10.835
17400, 869950, -30.955, -14.695
17600, 879950, -32.65, -10.99
17800, 889950, -36.385, -11.13
18000, 899950, -34.47, -12.065
18200, 909950, -36.84, -12.4
18400, 919950, -30.875, -18.175
18600, 929950, -30.085, -9.41
18800, 939950, -33.74, -9.14
19000, 949950, -36.725, -11.23
19200, 959950, -31.33, -11.28
19400, 969950, -32.46, -11.21
19600, 979950, -34.885, -10.235
19800, 989950, -33.845, -10.09
20000, 999950, -32.87, -9.265
